taxon	code	order	family	count_out_of_63430_gene_trees
Acanthisitta_chloris	ACACHL	Passeriformes	Acanthisittidae	57464
Acrocephalus_arundinaceus	ACRARU	Passeriformes	Acrocephalidae	57897
Aegithalos_caudatus	AEGCAU	Passeriformes	Aegithalidae	56763
Aegotheles_bennettii	AEGBEN	Caprimulgiformes	Aegothelidae	58828
Agapornis_roseicollis	AGAROS	Psittaciformes	Psittaculidae	58529
Agelaius_phoeniceus	AGEPHO	Passeriformes	Icteridae	57534
Alaudala_cheleensis	ALACHE	Passeriformes	Alaudidae	57274
Alca_torda	ALCTOR	Charadriiformes	Alcidae	61683
Aleadryas_rufinucha	ALERUF	Passeriformes	Oreoicidae	58919
Alectura_lathami	ALELAT	Galliformes	Megapodiidae	60767
Alopecoenas_beccarii	ALOBEC	Columbiformes	Columbidae	59868
Amazona_guildingii	AMAGUI	Psittaciformes	Psittacidae	58990
Anas_platyrhynchos	ANAPLA	Anseriformes	Anatidae	60417
Anas_zonorhyncha	ANAZON	Anseriformes	Anatidae	60417
Anhinga_anhinga	ANHANH	Pelecaniformes	Anhingidae	60954
Anhinga_rufa	ANHRUF	Pelecaniformes	Anhingidae	51196
Anser_cygnoid	ANSCYG	Anseriformes	Anatidae	60925
Anseranas_semipalmata	ANSSEM	Anseriformes	Anseranatidae	62065
Anthoscopus_minutus	ANTMIN	Passeriformes	Remizidae	55546
Antrostomus_carolinensis	ANTCAR	Caprimulgiformes	Caprimulgidae	59959
Apaloderma_vittatum	APAVIT	Trogoniformes	Trogonidae	59146
Aphelocoma_coerulescens	APHCOE	Passeriformes	Corvidae	58973
Aptenodytes_forsteri	APTFOR	Sphenisciformes	Spheniscidae	62080
Apteryx_australis	APTAUS	Apterygiformes	Apterygidae	60829
Apteryx_haastii	APTHAA	Apterygiformes	Apterygidae	60883
Apteryx_owenii	APTOWE	Apterygiformes	Apterygidae	60916
Apteryx_rowi	APTROW	Apterygiformes	Apterygidae	60908
Aquila_chrysaetos	AQUCHR	Accipitriformes	Accipitridae	62131
Aramus_guarauna	ARAGUA	Gruiformes	Aramidae	61738
Ardeotis_kori	ARDKOR	Otidiformes	Otididae	60203
Arenaria_interpres	AREINT	Charadriiformes	Scolopacidae	60598
Asarcornis_scutulata	ASASCU	Anseriformes	Anatidae	60347
Atlantisia_rogersi	ATLROG	Gruiformes	Rallidae	59934
Atrichornis_clamosus	ATRCLA	Passeriformes	Atrichornithidae	59555
Balaeniceps_rex	BALREX	Pelecaniformes	Balaenicipitidae	55602
Balearica_regulorum	BALREG	Gruiformes	Gruidae	61482
Baryphthengus_martii	BARMAR	Coraciiformes	Momotidae	58533
Bombycilla_garrulus	BOMGAR	Passeriformes	Bombycillidae	57725
Brachypodius_atriceps	BRAATR	Passeriformes	Pycnonotidae	52934
Brachypteracias_leptosomus	BRALEP	Coraciiformes	Brachypteraciidae	56402
Bucco_capensis	BUCCAP	Piciformes	Bucconidae	50205
Buceros_rhinoceros	BUCRHI	Bucerotiformes	Bucerotidae	58575
Bucorvus_abyssinicus	BUCABY	Bucerotiformes	Bucerotidae	59481
Buphagus_erythrorhynchus	BUPERY	Passeriformes	Buphagidae	55002
Burhinus_bistriatus	BURBIS	Charadriiformes	Burhinidae	62093
Cairina_moschata	CAIMOS	Anseriformes	Anatidae	60192
Calcarius_ornatus	CALORN	Passeriformes	Plectrophenacidae	56817
Calidris_pugnax	CALPUG	Charadriiformes	Scolopacidae	60314
Callaeas_wilsoni	CALWIL	Passeriformes	Callaeidae	59131
Callipepla_squamata	CALSQU	Galliformes	Odontophoridae	60632
Caloenas_nicobarica	CALNIC	Columbiformes	Columbidae	56260
Calonectris_borealis	CALBOR	Procellariiformes	Procellariidae	61968
Calypte_anna	CALANN	Caprimulgiformes	Trochilidae	56300
Calyptomena_viridis	CALVIR	Passeriformes	Calyptomenidae	56084
Campylorhamphus_procurvoides	CAMPRO	Passeriformes	Dendrocolaptidae	58169
Cardinalis_cardinalis	CARCAR	Passeriformes	Cardinalidae	57831
Cariama_cristata	CARCRI	Cariamiformes	Cariamidae	61310
Casuarius_casuarius	CASCAS	Casuariiformes	Casuariidae	60724
Cathartes_aura	CATAUR	Accipitriformes	Cathartidae	62019
Catharus_fuscescens	CATFUS	Passeriformes	Turdidae	57630
Centropus_bengalensis	CENBEN	Cuculiformes	Cuculidae	55065
Centropus_unirufus	CENUNI	Cuculiformes	Cuculidae	56673
Cephalopterus_ornatus	CEPORN	Passeriformes	Cotingidae	59160
Cepphus_grylle	CEPGRY	Charadriiformes	Alcidae	61639
Cercotrichas_coryphaeus	CERCOR	Passeriformes	Muscicapidae	56853
Certhia_brachydactyla	CERBRA	Passeriformes	Certhiidae	58145
Certhia_familiaris	CERFAM	Passeriformes	Certhiidae	57437
Cettia_cetti	CETCET	Passeriformes	Scotocercidae	58073
Ceuthmochares_aereus	CEUAER	Cuculiformes	Cuculidae	56715
Ceyx_cyanopectus	CEYCYA	Coraciiformes	Alcedinidae	49284
Chaetops_frenatus	CHAFRE	Passeriformes	Eupetidae	57611
Chaetorhynchus_papuensis	CHAPAP	Passeriformes	Rhipiduridae	58441
Chaetura_pelagica	CHAPEL	Caprimulgiformes	Apodidae	57198
Charadrius_alexandrinus	CHAALE	Charadriiformes	Charadriidae	62038
Charadrius_vociferus	CHAVOC	Charadriiformes	Charadriidae	61777
Chauna_torquata	CHATOR	Anseriformes	Anhimidae	61479
Chionis_minor	CHIMIN	Charadriiformes	Chionidae	61667
Chlamydotis_macqueenii	CHLMAC	Otidiformes	Otididae	60166
Chloroceryle_aenea	CHLAEN	Coraciiformes	Alcedinidae	56857
Chlorodrepanis_virens	CHLVIR	Passeriformes	Fringillidae	57767
Chloropsis_cyanopogon	CHLCYA	Passeriformes	Irenidae	53734
Chloropsis_hardwickii	CHLHAR	Passeriformes	Irenidae	56971
Chordeiles_acutipennis	CHOACU	Caprimulgiformes	Caprimulgidae	59653
Chroicocephalus_maculipennis	CHRMAC	Charadriiformes	Laridae	59965
Chunga_burmeisteri	CHUBUR	Cariamiformes	Cariamidae	61476
Ciccaba_nigrolineata	CICNIG	Strigiformes	Strigidae	61858
Ciconia_maguari	CICMAG	Pelecaniformes	Ciconiidae	62192
Cinclus_mexicanus	CINMEX	Passeriformes	Cinclidae	56820
Circaetus_pectoralis	CIRPEC	Accipitriformes	Accipitridae	61613
Cisticola_juncidis	CISJUN	Passeriformes	Cisticolidae	57450
Climacteris_rufus	CLIRUF	Passeriformes	Climacteridae	59263
Cnemophilus_loriae	CNELOR	Passeriformes	Cnemophilidae	59023
Cochlearius_cochlearius	COCCOC	Pelecaniformes	Ardeidae	61654
Colinus_virginianus	COLVIR	Galliformes	Odontophoridae	60548
Colius_striatus	COLSTR	Coliiformes	Coliidae	58521
Columba_livia	COLLIV	Columbiformes	Columbidae	59528
Columbina_picui	COLPIC	Columbiformes	Columbidae	57564
Copsychus_sechellarum	COPSEC	Passeriformes	Muscicapidae	56890
Corvus_brachyrhynchos	CORBRA	Passeriformes	Corvidae	58897
Corvus_cornix	CORCOR	Passeriformes	Corvidae	58549
Corvus_moneduloides	CORMON	Passeriformes	Corvidae	58932
Corythaeola_cristata	CORCRI	Musophagiformes	Musophagidae	52415
Corythaixoides_concolor	CORCON	Musophagiformes	Musophagidae	60973
