species,tab
Callipepla_squamata,0.012756
Colinus_virginianus,0.01391
Odontophorus_gujanensis,0.051878999999999995
Gallus_gallus,0.141312
Coturnix_japonica,0.167632
Phasianus_colchicus,0.146464
Meleagris_gallopavo,0.148782
Tympanuchus_cupido,0.15814
Numida_meleagris,0.130402
Penelope_pileata,0.2267
Alectura_lathami,0.246599
Chauna_torquata,0.247653
Anseranas_semipalmata,0.245054
Anser_cygnoid,0.27875
Cairina_moschata,0.295603
Asarcornis_scutulata,0.296454
Anas_platyrhynchos,0.296671
Anas_zonorhyncha,0.296682
Phoenicopterus_ruber,0.311419
Podiceps_cristatus,0.342134
Podilymbus_podiceps,0.348913
Acanthisitta_chloris,0.404219
Cnemophilus_loriae,0.422546
Melanocharis_versteri,0.424569
Promerops_cafer,0.436446
Dicaeum_eximium,0.447377
Leptocoma_aspasia,0.43967
Chloropsis_cyanopogon,0.445016
Chloropsis_hardwickii,0.448866
Irena_cyanogastra,0.449123
Peucedramus_taeniatus,0.445609
Prunella_fulvescens,0.449411
Prunella_himalayana,0.447095
Passer_domesticus,0.457055
Hypocryptadius_cinnamomeus,0.448122
Motacilla_alba,0.455314
Chlorodrepanis_virens,0.458339
Hemignathus_wilsoni,0.457983
Serinus_canaria,0.463084
Loxia_curvirostra,0.462563
Loxia_leucoptera,0.462335
Rhodinocichla_rosea,0.454446
Calcarius_ornatus,0.461152
Emberiza_fucata,0.463144
Pheucticus_melanocephalus,0.460585
Cardinalis_cardinalis,0.463588
Passerina_amoena,0.461926
Nesospiza_acunhae,0.462534
Geospiza_fortis,0.460227
Sporophila_hypoxantha,0.459913
Spizella_passerina,0.465435
Melospiza_melodia,0.466636
Junco_hyemalis,0.467169
Zonotrichia_albicollis,0.46786099999999997
Setophaga_coronata,0.467074
Setophaga_kirtlandii,0.468047
Agelaius_phoeniceus,0.459516
Molothrus_ater,0.460622
Quiscalus_mexicanus,0.461002
Urocynchramus_pylzowi,0.447364
Ploceus_nigricollis,0.441656
Vidua_chalybeata,0.449543
Vidua_macroura,0.449068
Lonchura_striata,0.463056
Taeniopygia_guttata,0.461562
Bombycilla_garrulus,0.456179
Phainopepla_nitens,0.448604
Regulus_satrapa,0.46753
Tichodroma_muraria,0.445871
Sitta_europaea,0.458101
Polioptila_caerulea,0.454187
Thryothorus_ludovicianus,0.459351
Certhia_brachydactyla,0.455374
Certhia_familiaris,0.455404
Elachura_formosa,0.478572
Buphagus_erythrorhynchus,0.445503
Toxostoma_redivivum,0.45234
Rhabdornis_inornatus,0.448498
Leucopsar_rothschildi,0.452423
Sturnus_vulgaris,0.451864
Cinclus_mexicanus,0.46316999999999997
Catharus_fuscescens,0.45956199999999997
Cercotrichas_coryphaeus,0.456452
Copsychus_sechellarum,0.457882
Erithacus_rubecula,0.465721
Ficedula_albicollis,0.459108
Oenanthe_oenanthe,0.461698
Saxicola_maurus,0.460253
Anthoscopus_minutus,0.459211
Poecile_atricapillus,0.450705
Parus_major,0.453417
Pseudopodoces_humilis,0.451292
Alaudala_cheleensis,0.45681499999999997
Panurus_biarmicus,0.451
Nicator_chloris,0.446671
Sylvietta_virens,0.448217
Cisticola_juncidis,0.462012
Acrocephalus_arundinaceus,0.448706
Hippolais_icterina,0.450802
