position,V0,V1,V2,V3
0,916,968,304,254
100000,1831,24772,11437,12694
200000,0,1955,1812,782
300000,0,794,570,701
400000,0,2376,2323,1748
500000,0,0,1562,8
600000,0,0,915,0
800000,324,1917,1233,2152
900000,69,859,905,310
1000000,629,10558,12654,5848
1100000,9063,25900,21560,20455
1200000,3065,25367,19991,20626
1300000,1911,14558,19594,17130
1400000,8302,22033,17931,28738
1500000,8385,7771,6849,18266
1600000,4619,20789,26370,25949
1700000,3069,22117,27680,17435
1800000,1069,21213,30632,26912
1900000,2749,26292,23766,32755
2000000,6717,27466,18494,22625
2100000,3712,26259,28605,18629
2200000,6755,31374,20511,21608
2300000,7626,22928,26318,23947
2400000,8106,19660,30978,21160
2500000,5202,24935,19790,18939
2600000,9016,19083,26530,25852
2700000,5713,21263,29970,31841
2800000,7283,22622,20531,22922
2900000,9937,22148,16911,13612
3000000,4333,15686,16962,36907
3100000,3431,24751,27629,28515
3200000,4845,21247,17836,25006
3300000,3380,31684,15894,23487
3400000,2725,20914,21922,25664
3500000,12738,22689,25640,16827
3600000,19281,22068,21481,18292
3700000,16808,15848,23993,31850
3800000,4546,14386,19097,14747
3900000,4055,11727,21262,27483
4000000,7169,19682,21004,30534
4100000,6659,12338,18035,16436
4200000,4429,6473,16517,16591
4300000,2649,14528,15432,14376
4400000,8354,17354,25487,13011
4500000,3563,30985,28687,22348
4600000,2530,21417,26712,20588
4700000,3031,24629,32515,22544
4800000,3349,20325,28816,19578
4900000,4298,25585,27791,23377
5000000,706,23961,28726,23213
5100000,2013,27481,18908,26728
