position,V0,V1,V2,V3
0,4100,17695,16384,20719
100000,4112,16442,13588,14510
200000,1733,17158,13530,30650
300000,2247,17898,16892,32664
400000,57,12447,8912,20588
500000,3681,18949,25788,22374
600000,2719,19506,32396,32462
700000,5565,21407,33088,24307
800000,3700,27590,26735,20746
900000,0,26129,20011,21200
1000000,0,14585,16442,17510
1100000,2781,27318,29298,14354
1200000,756,22751,31474,18028
1300000,1945,29132,23103,11250
1400000,91,20965,20332,38413
1500000,214,19685,22362,31589
1600000,340,22245,24373,32981
1700000,1137,19016,28750,30951
1800000,6001,21048,24266,29649
1900000,7312,27783,25316,22103
2000000,19219,21240,29440,15410
2100000,5940,22523,28307,20623
2200000,9148,21283,37211,15646
2300000,2277,23178,30399,20050
2400000,1255,28021,28268,27967
2500000,3691,25986,23556,20867
2600000,684,20920,28567,19605
2700000,781,19181,29341,20836
2800000,3153,16905,37383,21264
2900000,2799,21078,30166,29713
3000000,2817,20458,29057,15462
3100000,0,20745,12435,16686
3200000,1054,15629,17038,22066
3300000,1370,18916,31149,23272
3400000,3559,35928,18212,20397
3500000,948,25467,14530,19471
3600000,3768,20301,27737,31595
3700000,17213,17962,24731,25715
3800000,7568,29819,28605,22549
3900000,1941,21299,21139,22191
4000000,6047,20970,22383,28758
4100000,760,11977,36995,24420
4200000,3581,17468,36942,20990
4300000,0,21002,27996,19856
4400000,2460,21752,28414,30855
4500000,5110,23079,25979,23274
4600000,7602,33025,21240,29155
4700000,8009,27144,23955,26365
4800000,6831,32413,19185,23266
4900000,5959,22990,33054,24166
5000000,5538,25087,27702,27248
5100000,13006,17982,26327,31510
5200000,24449,15399,29549,19642
5300000,8649,21635,31263,30312
5400000,11523,13456,29470,32939
5500000,5400,19651,35378,28308
5600000,6260,17524,28062,20367
5700000,2838,1834,5752,4996
5800000,2587,21638,19640,12046
5900000,770,25321,30538,28742
6000000,829,24515,35906,24747
6100000,1619,27540,23660,27907
6200000,2256,33714,25114,27871
6300000,6865,28001,24636,28229
6400000,3468,23746,32479,28423
6500000,655,22821,22503,31749
6600000,6837,24867,22951,24656
6700000,1204,24340,33878,23768
6800000,901,25476,28611,32637
6900000,2209,22548,27053,27432
7000000,4508,22699,24612,35766
7100000,7490,23156,24161,34453
7200000,15847,15640,31485,31224
7300000,8195,21745,28628,33523
7400000,5490,29611,27020,27574
7500000,1623,30778,27442,29855
7600000,2691,32451,29052,21148
7700000,709,21294,29960,25882
7800000,1233,35070,21621,26567
7900000,1648,31757,19058,29593
8000000,333,22374,27963,31490
8100000,790,19657,28802,27744
8200000,4009,19455,26929,35885
8300000,2916,30977,23063,27715
8400000,2479,23518,40698,20206
8500000,3355,23375,34974,23341
8600000,4776,22822,25210,31504
8700000,4608,23278,36497,25258
8800000,2887,26918,34753,19197
8900000,2761,25351,26554,33062
9000000,3149,27923,29445,28276
9100000,1976,28756,32170,26537
9200000,4590,30392,26434,29730
9300000,4831,24798,26077,35201
9400000,14347,17891,27923,35446
9500000,26957,20766,17687,23853
9600000,4563,37362,26980,20369
9700000,1510,26528,30264,25855
9800000,3613,30771,25415,23387
9900000,2426,19548,32077,29879
10000000,1946,25264,34549,27457
10100000,5961,16628,35856,26492
10200000,5386,22270,28893,28744
10300000,4582,20692,27284,22514
10400000,5238,24043,30106,28278
10500000,8858,21287,34001,25744
10600000,7694,24259,33059,28984
10700000,10526,21951,29489,29838
10800000,7976,21128,24489,37674
10900000,5451,25436,29600,30285
11000000,0,24863,23735,27515
11100000,1919,34064,26473,25150
11200000,1988,33903,23017,32754
11300000,730,28548,21701,29073
11400000,1838,30560,28279,26339
11500000,3794,23821,21639,22109
11600000,8421,23897,29785,30741
11700000,1247,27067,32882,30466
11800000,1309,27332,36521,21745
11900000,1592,26942,28247,32366
12000000,3599,27839,29703,28025
12100000,1058,24891,25061,31005
12200000,1479,27512,32631,23160
12300000,0,28317,33126,29631
12400000,1939,27463,32328,26982
12500000,6398,23552,26253,26408
12600000,4005,25165,31059,29028
12700000,3734,26463,28231,31169
12800000,2713,27719,26001,30033
12900000,2728,26372,31162,26550
13000000,3277,26319,27892,24628
13100000,4376,24322,27882,25027
13200000,7618,28501,28647,27299
13300000,7341,31150,26478,27915
13400000,2978,26872,28459,24231
13500000,6728,24393,25894,24721
13600000,2368,27267,35868,18252
13700000,10075,28342,22949,30502
13800000,1662,28950,30427,31276
13900000,422,26724,38531,23933
14000000,2155,19903,20389,33596
14100000,1467,27371,22739,33047
14200000,0,27709,28451,31191
14300000,0,19685,18789,19599
14400000,0,26853,26133,24969
14500000,0,6491,7031,4265
14600000,0,27354,30660,25236
14700000,0,30508,28707,27716
14800000,0,25942,32436,30028
14900000,0,26914,26573,29781
15000000,74,29827,31668,27982
15100000,110,29167,34744,26084
15200000,736,31207,24258,21982
15300000,0,16193,26344,39511
15400000,1822,13496,51256,8761
15500000,4390,12686,47600,22295
15600000,1688,15519,22099,20901
15700000,949,14412,47420,12607
15800000,4491,12491,51927,12325
15900000,0,14576,36399,1728
16000000,0,42207,5917,16578
16100000,1490,32223,1306,20009
16200000,3119,16402,25477,12699
16300000,0,11849,10640,10494
16400000,4634,19808,20687,33556
16500000,9310,25866,24595,30544
16600000,10809,20614,29497,31398
16700000,10274,20683,29306,31638
16800000,19637,23127,21634,21658
16900000,9537,26052,27271,27869
17000000,9574,22677,28557,29104
17100000,3781,31732,30719,25019
17200000,13581,27491,26648,21709
17300000,2003,23559,29027,27830
17400000,1495,36168,30378,19065
17500000,115,25072,26698,23596
17600000,2740,26120,27961,22645
17700000,2129,24527,24577,27559
17800000,666,26096,28550,35798
17900000,117,24364,24113,31919
18000000,0,29510,20116,22608
18100000,220,27633,29428,25065
18200000,547,24740,26690,27926
18300000,0,27791,29921,28324
18400000,151,29388,26307,27134
18500000,0,23111,29840,26185
18600000,0,22454,27570,20959
18700000,289,25803,35129,26683
18800000,777,26505,32654,30468
18900000,0,27170,27857,31763
19000000,125,25463,24445,30691
19100000,0,20680,28065,27718
19200000,0,20100,19096,18827
19300000,0,20546,22397,20293
