position,V0,V1,V2,V3
0,184,2710,22400,8526
100000,1209,3863,27192,6273
200000,0,8538,20430,9848
300000,1284,17354,20445,19160
400000,878,6494,17035,8256
500000,0,2625,10907,17844
600000,13,16404,25473,14987
700000,2236,17000,36630,17641
800000,1246,16143,38417,18767
900000,5461,18431,13088,24608
1000000,7999,33955,9332,24987
1100000,6861,32698,6548,13186
1200000,17010,7493,3072,5045
1300000,9944,6407,2696,4777
1400000,4708,407,417,1948
1500000,14083,12235,7957,9746
1600000,17765,6736,3940,13606
1700000,11465,9820,15239,10515
1800000,4106,3287,5035,5084
2000000,483,507,713,53
2100000,2422,4612,5932,4041
2200000,576,308,298,5
2300000,523,3229,4408,2326
2400000,0,328,572,661
2500000,914,2409,976,3891
2700000,1865,339,406,380
2800000,91,185,497,829
2900000,929,223,368,0
3000000,1824,1245,2857,899
3300000,220,1432,3305,961
3400000,1430,1696,1017,590
3500000,466,814,1211,955
3600000,610,960,1732,1252
4100000,256,645,718,254
4300000,24,577,139,825
4400000,535,611,622,119
4500000,1484,978,1480,1108
4900000,165,160,369,695
5000000,2164,2038,2223,1005
5100000,873,589,1854,1193
5800000,1881,2044,4304,1734
6200000,212,825,351,565
6300000,1516,1829,3528,2398
6400000,1236,3128,4322,2254
6500000,1164,1225,1034,355
6600000,844,637,2158,1154
6700000,593,210,421,532
6900000,615,748,895,656
7200000,1234,2530,4466,387
7300000,1000,2005,4672,2045
7400000,1032,321,819,89
7500000,2728,630,1166,1216
7700000,2228,285,172,769
8200000,354,0,0,0
8300000,384,0,0,0
8800000,957,1600,1841,2662
8900000,468,783,300,1389
9000000,7558,3285,2123,3593
9300000,1681,2820,1585,1666
9400000,859,487,168,188
9500000,1428,0,80,449
9600000,6868,5169,5919,2583
10400000,749,2271,1154,892
10600000,551,1189,536,2442
10700000,501,799,695,443
11100000,860,2382,2890,1402
11200000,5366,7289,5166,4953
11300000,5841,6614,6095,3757
11500000,2126,3660,3191,1670
11600000,2045,2355,2052,355
11800000,2977,2070,1665,1787
11900000,3255,6223,4991,2911
12000000,6423,7474,6362,6202
12100000,1547,5646,4311,2950
12200000,1618,5333,3586,2873
12300000,0,21,784,0
12400000,825,1493,566,344
12600000,843,166,303,152
12700000,1003,2625,2209,434
12800000,428,221,959,158
13000000,1390,2335,716,1638
13200000,892,1061,745,2036
13400000,132,583,823,369
13500000,988,4016,2727,1831
13700000,195,490,166,422
14200000,1574,1996,973,703
14300000,234,513,896,129
14600000,2577,14335,11298,12534
14700000,5280,5953,3509,4117
15300000,650,772,1163,371
15500000,887,1336,728,527
15600000,6006,8025,3964,2815
15700000,2688,4275,1862,1044
15900000,5498,5999,3014,2638
16000000,5764,7501,2648,3427
16100000,1175,3351,1508,932
16300000,0,0,710,76
16500000,3296,4721,3612,2933
16600000,3148,3113,2291,2446
16900000,1924,2858,1292,1008
17300000,6409,6119,4792,3573
18100000,1174,1452,989,610
18300000,1033,6503,2746,2625
18500000,837,1070,1419,641
18700000,1531,2804,1388,1608
18800000,458,346,795,1074
18900000,1339,646,537,378
19000000,5817,4550,3119,2317
19300000,2094,5668,2854,2355
19600000,130,1520,1102,356
19900000,263,1661,434,365
20000000,856,1318,302,767
20100000,1196,656,777,246
20200000,7436,9147,5071,4626
20300000,1635,6996,3886,2685
20400000,4342,6613,4807,5512
20600000,3301,4387,4834,3018
20700000,3212,5056,5704,1477
21100000,0,726,1146,399
21400000,0,856,866,252
21500000,3094,1846,1205,2199
21800000,0,0,189,725
21900000,361,419,389,0
22000000,0,2559,2687,2092
22100000,2614,408,229,626
22200000,0,37,1807,354
22300000,0,1775,730,313
22500000,555,6053,905,2809
22600000,3533,4213,5159,1272
22700000,1452,1876,3411,3315
22900000,1688,3233,1487,606
23000000,0,811,761,2066
23100000,0,210,270,460
23200000,0,1250,0,0
23500000,0,904,3014,1617
23600000,0,2672,2908,340
23700000,0,2488,1732,990
23800000,772,656,3413,2897
23900000,192,1552,689,280
24000000,0,505,1677,595
24500000,643,3539,2541,1071
24600000,0,151,1189,371
24700000,5092,13761,5590,3166
24800000,6225,10367,15399,9979
24900000,3061,6072,4214,3891
25000000,149,2758,325,559
25100000,5413,0,0,405
25200000,74,321,0,1251
25400000,578,190,0,0
25500000,1872,0,0,0
26100000,40,998,0,0
26200000,675,12291,259,961
26500000,4211,5742,11166,7391
26600000,2,4051,757,1281
26800000,207,1223,2276,1028
27300000,711,8438,0,248
27500000,0,296,0,731
27600000,0,271,0,609
27700000,295,2435,2513,2991
27800000,758,15409,685,1581
28000000,704,3941,5892,2950
28100000,0,1887,1744,4416
28200000,0,1084,327,275
28600000,0,1309,1614,1306
28800000,0,1468,0,402
28900000,208,1956,2712,1220
29000000,577,1545,1158,6
29100000,0,1555,1559,1633
29200000,74,1473,0,0
29300000,0,25,1243,0
29500000,615,70,886,713
29600000,227,4282,8426,5784
29700000,1125,5965,7862,2756
29800000,278,209,275,425
29900000,698,1093,1778,1316
30000000,0,949,1208,879
30100000,0,1223,3102,2799
30300000,810,41,162,584
30500000,0,1571,3950,131
30800000,0,755,119,747
30900000,0,0,891,29
31000000,865,0,108,634
31400000,157,125,385,748
31700000,70,0,344,777
31800000,882,469,1972,619
31900000,704,972,4172,1407
32000000,943,1345,0,468
32100000,315,483,0,785
32500000,0,1136,444,714
33000000,0,960,549,910
33100000,0,809,0,935
33500000,0,543,2386,1138
33600000,256,716,782,1149
33900000,0,728,187,1504
34000000,0,511,487,577
34100000,0,4738,1279,1353
34200000,0,1944,333,722
34300000,0,97,507,687
34800000,0,576,994,0
35100000,0,584,2369,993
35200000,0,756,1163,0
35400000,0,1273,795,0
35500000,0,4464,65,410
35800000,419,6807,7296,4441
36100000,24,40,725,292
36300000,117,1547,998,1100
37000000,0,827,806,0
37400000,0,219,3245,2539
37500000,829,1794,11085,4856
37600000,0,1976,1220,407
37700000,0,4012,145,1430
37800000,890,290,629,130
38800000,0,820,1832,406
