position,V0,V1,V2,V3
0,12124,9854,8886,2956
100000,13216,13973,6510,4838
200000,11021,9236,10563,7996
300000,1997,21651,18854,15741
400000,7791,9639,8754,6479
500000,1352,10819,17115,2090
600000,2552,24502,15119,14704
700000,7721,32367,17445,15974
800000,9006,31912,17645,16010
900000,3994,12340,23903,21351
1000000,1322,11956,25793,37202
1100000,693,8085,13810,36705
1200000,5567,2344,5219,19490
1300000,945,2934,4663,15282
1400000,899,286,2188,4107
1500000,11552,4554,10338,17577
1600000,9224,4332,13643,14848
1700000,6067,15008,12125,13839
1800000,1832,4596,5856,5228
2000000,35,1028,0,693
2100000,1070,6650,4006,5281
2200000,0,0,0,1187
2300000,0,5062,2744,2680
2400000,0,838,634,89
2500000,0,1331,4557,2302
2700000,2603,0,387,0
2800000,193,234,1175,0
2900000,0,489,0,1031
3000000,0,2938,740,3147
3300000,0,4304,392,1222
3400000,498,441,990,2804
3500000,18,1037,1072,1319
3600000,0,2193,911,1450
4100000,0,421,663,789
4300000,0,0,1334,231
4400000,0,675,0,1212
4500000,0,1319,1416,2315
4900000,0,328,689,372
5000000,0,1833,704,4893
5100000,0,2160,1399,950
5800000,461,5134,2346,2022
6200000,0,0,526,1427
6300000,0,4839,1464,2968
6400000,0,3965,3441,3534
6500000,0,971,405,2402
6600000,0,2221,1004,1568
6700000,0,80,837,839
6900000,0,703,748,1463
7200000,444,3770,415,3988
7300000,364,5099,2299,1960
7400000,1793,468,0,0
7500000,2119,0,2081,1540
7700000,0,0,623,2831
8200000,0,0,0,354
8300000,0,0,0,384
8800000,0,2337,2106,2617
8900000,0,787,811,1342
9000000,0,1157,2653,12749
9300000,84,1697,1614,4357
9400000,0,0,50,1652
9500000,801,0,404,752
9600000,2603,3860,1839,12237
10400000,0,411,1652,3003
10600000,0,100,2875,1743
10700000,0,605,275,1558
11100000,838,3686,1581,1429
11200000,0,2900,4322,15552
11300000,3780,4567,3109,10851
11500000,0,3758,1164,5725
11600000,0,2055,214,4538
11800000,0,1025,1196,6278
11900000,0,3260,3382,10738
12000000,1334,6366,5723,13038
12100000,0,4338,3262,6854
12200000,19,2692,1799,8900
12300000,0,805,0,0
12400000,0,176,0,3052
12600000,0,276,249,939
12700000,0,2273,256,3742
12800000,744,0,693,329
13000000,132,216,1612,4119
13200000,0,528,2916,1290
13400000,0,570,299,1038
13500000,0,1607,2530,5425
