"Gene","clade","Chromosome","ws","we","wstart","outlier"
8792,"Columbea","chr1",1100000,1110000,125,FALSE
15455,"Columbea","chr1",2670000,2680000,0,FALSE
17888,"Columbea","chr1",6240000,6250000,0,FALSE
19353,"Columbea","chr1",8470000,8480000,869,FALSE
10429,"Columbea","chr1",13150000,13160000,334,FALSE
14741,"Columbea","chr1",19150000,19160000,448,FALSE
14977,"Columbea","chr1",19820000,19830000,0,FALSE
15020,"Columbea","chr1",20580000,20590000,1,FALSE
15605,"Columbea","chr1",28540000,28550000,900,FALSE
15606,"Columbea","chr1",28550000,28560000,974,FALSE
15939,"Columbea","chr1",32740000,32750000,1,FALSE
16242,"Columbea","chr1",37230000,37240000,122,FALSE
16374,"Columbea","chr1",39040000,39050000,143,FALSE
16406,"Columbea","chr1",39690000,39700000,1000,FALSE
16420,"Columbea","chr1",40020000,40030000,0,FALSE
16514,"Columbea","chr1",41380000,41390000,45,FALSE
16990,"Columbea","chr1",47900000,47910000,514,FALSE
17076,"Columbea","chr1",49390000,49400000,1000,FALSE
17104,"Columbea","chr1",49900000,49910000,13,FALSE
17208,"Columbea","chr1",51420000,51430000,886,FALSE
17250,"Columbea","chr1",52060000,52070000,1,FALSE
17351,"Columbea","chr1",53460000,53470000,21,FALSE
17640,"Columbea","chr1",58150000,58160000,738,FALSE
17655,"Columbea","chr1",58310000,58320000,678,FALSE
18004,"Columbea","chr1",63940000,63950000,0,FALSE
18090,"Columbea","chr1",65160000,65170000,718,FALSE
18140,"Columbea","chr1",65820000,65830000,900,FALSE
18265,"Columbea","chr1",67760000,67770000,27,FALSE
18297,"Columbea","chr1",68110000,68120000,10,FALSE
18308,"Columbea","chr1",68280000,68290000,532,FALSE
18578,"Columbea","chr1",72190000,72200000,787,FALSE
18674,"Columbea","chr1",73610000,73620000,362,FALSE
19122,"Columbea","chr1",81430000,81440000,690,FALSE
19415,"Columbea","chr1",85400000,85410000,228,FALSE
19725,"Columbea","chr1",89280000,89290000,271,FALSE
19792,"Columbea","chr1",89930000,89940000,0,FALSE
19803,"Columbea","chr1",90030000,90040000,881,FALSE
19865,"Columbea","chr1",91070000,91080000,949,FALSE
19998,"Columbea","chr1",92600000,92610000,143,FALSE
20159,"Columbea","chr1",94350000,94360000,585,FALSE
20185,"Columbea","chr1",94800000,94810000,63,FALSE
20338,"Columbea","chr1",96270000,96280000,416,FALSE
20379,"Columbea","chr1",96650000,96660000,206,FALSE
8092,"Columbea","chr1",100680000,100690000,105,FALSE
