Seq_id,Strand,Start,End,Length,Block
13,+,85377872,85424619,46747,2839
20,-,67544055,67506384,37671,2839
13,+,85315015,85347223,32208,2838
20,-,67570313,67545150,25163,2838
13,+,85181875,85226738,44863,2837
20,-,67613708,67580454,33254,2837
13,+,85140132,85173948,33816,2836
20,-,67642925,67613715,29210,2836
13,+,85126903,85136542,9639,2835
20,-,67651275,67642936,8339,2835
13,+,85084045,85115098,31053,2834
20,-,67676382,67651636,24746,2834
13,+,85001339,85026296,24957,2833
20,-,67717639,67697163,20476,2833
13,+,84976301,84982777,6476,2832
20,-,67727165,67722036,5129,2832
13,+,84945945,84957595,11650,2831
20,-,67740216,67731054,9162,2831
13,+,84867486,84905507,38021,2830
20,-,67779214,67747399,31815,2830
13,+,84854230,84861928,7698,2829
20,-,67785786,67779437,6349,2829
13,+,84839056,84850338,11282,2828
20,-,67795024,67786082,8942,2828
13,+,84784596,84823956,39360,2827
20,-,67830271,67798134,32137,2827
13,+,84753597,84770577,16980,2826
20,-,67851387,67836355,15032,2826
13,+,84745190,84752532,7342,2825
20,-,67857918,67851638,6280,2825
13,+,84714730,84742510,27780,2824
20,-,67881324,67858352,22972,2824
13,+,84697536,84713052,15516,2823
20,-,67895517,67882401,13116,2823
13,+,84661578,84690987,29409,2822
20,-,67921836,67895722,26114,2822
13,+,84643475,84654362,10887,2821
20,-,67933543,67924366,9177,2821
13,+,84582616,84616729,34113,2820
20,-,67968702,67939584,29118,2820
13,+,84457985,84550173,92188,2819
20,-,67271069,67203980,67089,2819
13,+,84323872,84368283,44411,2818
20,-,67373000,67337201,35799,2818
13,+,84301907,84320703,18796,2817
20,-,67389295,67373273,16022,2817
13,+,84153650,84240439,86789,2816
20,-,67468496,67397274,71222,2816
13,+,83985369,84117773,132404,2815
20,+,67105488,67202054,96566,2815
13,+,83914258,83927990,13732,2814
20,+,67075272,67086463,11191,2814
13,+,83882651,83900654,18003,2813
20,+,67061960,67075265,13305,2813
13,+,83848446,83864056,15610,2812
20,+,67046477,67058002,11525,2812
13,+,83835991,83846541,10550,2811
20,+,67037347,67046224,8877,2811
13,+,83771863,83781021,9158,2810
20,+,67010816,67018272,7456,2810
13,+,83735207,83742129,6922,2809
20,+,66997913,67003241,5328,2809
13,+,83557727,83573086,15359,2808
20,+,66971905,66983773,11868,2808
13,+,83538844,83548939,10095,2807
20,+,66963716,66971622,7906,2807
13,+,83515217,83526951,11734,2806
20,+,66952030,66960423,8393,2806
13,+,83476264,83492673,16409,2805
20,+,66932126,66945303,13177,2805
13,+,83462108,83468196,6088,2804
20,+,66922510,66928018,5508,2804
13,+,83433803,83450016,16213,2803
20,+,66904307,66918014,13707,2803
13,+,83408549,83417861,9312,2802
20,+,66889596,66897097,7501,2802
13,+,83388982,83406132,17150,2801
20,+,66875352,66889394,14042,2801
13,+,83359817,83381168,21351,2800
20,+,66852951,66870810,17859,2800
13,+,83340129,83354307,14178,2799
20,+,66840429,66852310,11881,2799
13,+,83315256,83334681,19425,2798
20,+,66823815,66840194,16379,2798
13,+,83293245,83305114,11869,2797
20,+,66814094,66823541,9447,2797
