position,V0,V1,V2,V3
0,0,8386,22274,3160
100000,262,5905,27352,5018
200000,0,10530,20354,7932
300000,1768,20880,19782,15813
400000,984,8565,17067,6047
500000,0,18215,10968,2193
600000,629,16796,25505,13947
700000,181,21509,36020,15797
800000,5177,19164,37594,12638
900000,8088,22406,10959,20135
1000000,2756,28355,9278,35884
1100000,266,15033,6453,37541
1200000,8655,3631,2477,17857
1300000,2305,4042,2789,14688
1400000,3749,192,240,3299
1500000,17010,5484,7123,14404
1600000,23594,7081,2432,8940
1700000,9158,7245,18985,11651
1800000,0,5656,6185,5671
2000000,0,0,1016,740
2100000,757,3549,7390,5311
2200000,0,0,0,1187
2300000,0,2318,5248,2920
2400000,0,541,866,154
2500000,91,4030,1407,2662
2700000,2990,0,0,0
2800000,424,1178,0,0
2900000,0,275,160,1085
3000000,0,475,3211,3139
3300000,0,0,4916,1002
3400000,0,1198,225,3310
3500000,0,999,1067,1380
3600000,0,911,3089,554
4100000,0,1093,0,780
4300000,0,1317,0,248
4400000,0,0,777,1110
4500000,0,1436,1462,2152
4900000,0,710,335,344
5000000,0,393,1594,5443
5100000,0,1360,2195,954
5800000,0,2779,5050,2134
6200000,0,519,0,1434
6300000,0,895,5278,3098
6400000,0,2594,5086,3260
6500000,0,272,943,2563
6600000,0,1086,2224,1483
6700000,0,803,0,953
6900000,0,1051,0,1863
7200000,0,127,3643,4847
7300000,0,2227,5630,1865
7400000,1763,0,498,0
7500000,5274,0,0,466
7700000,0,309,0,3145
8200000,0,0,0,354
8300000,0,0,0,384
8800000,0,1893,2479,2688
8900000,0,659,877,1404
9000000,0,1980,614,13965
9300000,0,1458,1726,4568
9400000,0,0,0,1702
9500000,0,0,225,1732
9600000,1155,329,5356,13699
10400000,0,1662,0,3404
10600000,0,2809,0,1909
10700000,0,0,494,1944
11100000,0,1385,4272,1877
11200000,0,3510,2099,17165
11300000,2543,2758,4789,12217
11500000,0,741,4000,5906
11600000,0,0,1977,4830
11800000,0,742,517,7240
11900000,0,3743,1548,12089
12000000,1177,5860,5754,13670
12100000,0,2822,4091,7541
12200000,0,1692,2593,9125
12300000,0,0,805,0
12400000,0,0,168,3060
12600000,1342,0,0,122
12700000,145,0,1934,4192
12800000,0,677,718,371
13000000,0,1284,453,4342
13200000,0,4139,0,595
13400000,0,307,223,1377
13500000,629,2296,1505,5132
13700000,0,0,126,1147
14200000,0,0,278,4968
14300000,0,111,570,1091
14600000,0,14787,9202,16755
14700000,0,2947,2926,12986
15300000,0,953,452,1551
15500000,0,391,603,2484
15600000,0,2516,389,17905
15700000,0,506,473,8890
15900000,0,875,1502,14772
16000000,0,329,1174,17837
16100000,0,828,1252,4886
16300000,0,41,745,0
16500000,0,1309,2137,11116
16600000,0,1481,1473,8044
16900000,0,0,122,6960
17300000,4791,2884,1814,11404
18100000,0,0,0,4225
18300000,0,2926,694,9287
18500000,0,633,656,2678
18700000,0,2435,373,4523
18800000,0,1513,382,778
18900000,0,0,240,2660
19000000,3709,1190,1350,9554
19300000,174,1956,2768,8073
19600000,0,0,445,2663
19900000,0,119,264,2340
20000000,0,474,0,2769
20100000,0,0,665,2210
20200000,0,1921,1563,22796
20300000,0,273,1314,13615
20400000,0,5118,2347,13809
20600000,0,2537,4547,8456
20700000,2903,1118,5609,5819
21100000,0,388,1168,715
21400000,1302,0,554,118
21500000,2138,1645,1016,3545
21800000,0,710,204,0
21900000,0,0,517,652
22000000,0,2604,2807,1927
22100000,1954,0,0,1923
22200000,320,382,1496,0
22300000,0,579,685,1554
22500000,0,2985,938,6399
22600000,0,969,5142,8066
22700000,2460,2730,3624,1240
22900000,1167,237,1410,4200
23000000,0,2371,550,717
23100000,0,510,375,55
23200000,0,0,0,1250
23500000,0,1965,2865,705
23600000,0,270,3155,2495
23700000,0,867,1886,2457
23800000,908,2367,3714,749
23900000,299,175,754,1485
24000000,0,583,1778,416
24500000,0,1065,2508,4221
24600000,0,429,1268,14
24700000,255,2426,4688,20240
24800000,5047,8609,16003,12311
24900000,2503,3726,3246,7763
25000000,0,486,420,2885
25100000,5323,0,0,495
25200000,1079,239,0,328
25400000,0,0,0,768
25500000,0,0,0,1872
26100000,0,0,0,1038
26200000,0,867,131,13188
26500000,4071,6739,11010,6690
26600000,0,1593,589,3909
26800000,0,464,2770,1500
27300000,0,243,0,9154
27500000,0,750,0,277
27600000,0,880,0,0
27700000,720,2132,2647,2735
27800000,0,1451,362,16620
28000000,0,2910,6157,4420
28100000,0,5047,1974,1026
28200000,0,279,274,1133
28600000,0,1249,1754,1226
28800000,0,369,43,1458
28900000,0,1299,2587,2210
29000000,0,0,1233,2053
29100000,0,1819,1576,1352
29200000,0,0,0,1547
29300000,0,0,1227,41
29500000,0,699,890,695
29600000,113,5960,8577,4069
29700000,0,2831,8015,6862
29800000,90,418,298,381
29900000,0,1792,1491,1602
30000000,0,914,1339,783
30100000,24,3204,3054,842
30300000,1597,0,0,0
30500000,135,120,4180,1217
30800000,860,0,439,322
30900000,0,33,887,0
31000000,920,633,54,0
31400000,1415,0,0,0
31700000,369,383,439,0
31800000,1068,650,2224,0
31900000,0,1608,4109,1538
32000000,0,422,0,2334
32100000,0,774,0,809
32500000,0,712,421,1161
33000000,0,899,624,896
33100000,0,1117,0,627
33500000,0,1419,2492,156
33600000,0,1183,795,925
33900000,880,1369,0,170
34000000,712,0,404,459
34100000,0,938,703,5729
34200000,0,499,219,2281
34300000,0,813,443,35
34800000,0,0,1070,500
35100000,0,600,3007,339
35200000,0,0,1716,203
35400000,0,0,796,1272
35500000,0,344,24,4571
35800000,979,4215,7967,5802
36100000,0,199,802,80
36300000,0,1125,1220,1417
37000000,0,0,761,872
37400000,0,2521,3375,107
37500000,68,4870,11775,1851
37600000,0,107,1283,2213
37700000,0,1330,151,4106
37800000,0,0,800,1139
38800000,0,357,2209,492
39100000,0,931,1209,584
39300000,0,0,282,813
39400000,0,182,758,783
39900000,1367,87,3593,3408
40400000,0,447,0,260
40600000,0,454,1128,1928
40900000,0,0,603,153
41300000,0,0,517,0
41400000,0,842,607,1058
41500000,0,1058,980,462
41600000,339,766,721,6707
41800000,0,1280,574,151
42000000,0,573,0,0
42200000,0,307,0,145
42700000,0,2391,4453,1986
42800000,0,29,74,0
43000000,0,0,726,2471
43100000,0,457,544,2275
43200000,299,25,254,620
43300000,392,0,0,0
43500000,164,0,0,766
43700000,0,0,531,163
43800000,0,0,1377,0
43900000,0,1171,650,0
44000000,0,357,0,3336
44200000,0,103,656,2382
44400000,0,522,223,0
44500000,0,660,1534,1178
44700000,0,416,1759,5637
45400000,0,818,0,1617
45500000,0,861,1630,902
45700000,0,0,559,1259
45800000,597,140,1111,9738
46200000,0,105,532,1283
46500000,641,2141,3068,1727
46600000,0,916,867,1110
46800000,0,239,1623,41
46900000,0,0,1093,632
47000000,0,1050,1359,1329
47100000,0,0,80,951
47200000,0,572,2072,277
47300000,0,5246,9052,3594
47500000,0,2018,4676,3663
47600000,0,1556,4264,1789
47700000,0,3580,8894,2443
48100000,0,613,74,0
48200000,0,740,2025,0
48300000,0,442,1048,256
48400000,0,1307,1044,1600
48600000,0,1715,2459,228
48700000,0,714,4631,2099
48800000,0,746,2104,1070
49000000,0,814,1848,353
49100000,0,848,3661,2556
49300000,0,0,0,464
49500000,0,242,818,1668
49700000,0,1529,1320,1367
50000000,0,193,299,1357
50200000,735,0,0,611
50500000,983,321,3215,2152
50800000,1054,0,0,0
51000000,611,0,0,965
51100000,840,433,2799,16137
51500000,105,541,1229,1477
51600000,546,0,0,0
51700000,276,1305,834,4675
52000000,0,804,0,0
52100000,0,101,1011,701
52200000,0,0,691,605
52400000,0,0,0,7577
52800000,0,288,1270,456
52900000,0,1368,0,0
53100000,0,509,2012,2056
53200000,0,0,735,157
53300000,0,183,0,1575
53500000,0,1032,0,6934
53600000,0,0,0,11030
54000000,0,0,1311,1940
54300000,0,0,782,796
54700000,0,0,2658,463
55300000,1277,0,0,1720
55400000,1732,776,0,0
55500000,794,0,0,0
56300000,133,0,1200,0
57200000,0,934,385,127
57600000,0,1779,2606,138
57700000,1310,4011,5070,2452
57800000,0,0,0,1820
58000000,0,414,639,1551
58100000,0,0,552,1125
58200000,912,0,0,194
58800000,1790,701,3409,719
58900000,481,0,0,174
59100000,0,0,278,7015
59200000,0,828,894,5815
60100000,0,0,0,4860
60200000,0,0,0,3438
60300000,0,27,960,17051
60400000,0,1291,2683,11126
60500000,0,0,358,2012
60800000,268,1635,3112,15840
61000000,0,0,727,0
61200000,0,0,4549,0
61600000,0,0,4178,0
61700000,0,2198,10091,899
61800000,0,143,268,557
61900000,0,696,0,67
62100000,0,791,3854,4271
62400000,0,0,1072,681
62700000,0,0,977,885
62800000,0,0,1136,1857
63100000,0,2391,1434,3817
63500000,0,0,616,1357
63600000,0,0,0,1961
63700000,0,0,0,1285
63900000,0,230,262,1025
64100000,0,761,5822,1820
64200000,0,2997,12234,135
64300000,0,18174,20271,5462
64400000,0,11001,11059,2099
64500000,0,9822,2997,488
64700000,0,0,1450,503
64900000,0,516,0,1450
65000000,764,618,879,512
65100000,0,11641,4024,2188
65200000,1662,3087,657,2478
65300000,0,2930,66,2433
65700000,0,0,0,5444
65800000,0,1344,0,465
66200000,0,0,0,1517
66300000,138,0,289,2325
66800000,931,0,0,0
66900000,1670,0,0,0
67300000,1485,0,0,0
67700000,133,2054,2070,981
67800000,0,4682,5851,2441
67900000,0,1933,3914,1804
68000000,0,0,615,282
68100000,0,0,533,1072
68500000,0,0,726,591
68600000,0,172,299,613
68900000,0,845,840,118
69000000,0,0,0,1744
69100000,0,65,1569,3070
69500000,0,0,1280,423
69600000,0,258,2455,415
69700000,0,701,3165,872
70400000,375,0,488,1032
70600000,3242,0,1062,359
70700000,0,0,530,463
70800000,459,0,0,528
71100000,351,0,319,0
71200000,0,394,357,628
71400000,0,0,41,3507
71600000,959,2521,5710,1342
71800000,2321,137,0,0
72800000,0,971,0,1082
72900000,0,0,1533,866
