gene	mRNA_begin	mRNA_end	label	Tree1_one_ratio	Tree1_two_ratio_forground	Tree1_two_ratio_background	Tree2_one_ratio	Tree2_two_ratio_forground	Tree2_two_ratio_background	Tree3_one_ratio	Tree3_two_ratio_forground	Tree3_two_ratio_background	Tree1_one_ratio_lnL	Tree1_two_ratio_lnL	Tree2_one_ratio_lnL	Tree2_two_ratio_lnL	Tree3_one_ratio_lnL	Tree3_two_ratio_lnL	lrt_1_1_p_value	lrt_1_1_q_value	lrt_2_2_p_value	lrt_2_2_q_value	lrt_3_3_p_value	lrt_3_3_q_value	BestT1	BestT2	BestT3	BestlnL	Besttree	highw5
GALGAL_R12923	80827	92693	nonoutlier	0.268726926	0.0001	0.270171	0.268072468	0.0001	0.269012	0.268024706	0.0001	0.268036	-3049.857121	-3049.249558	-3050.438231	-3050.2512	-3050.442197	-3050.442102	0.270319302	1	0.540798413	1	0.989002269	1	-3049.249558	-3050.2512	-3050.442102	-3049.249558	1	0
GALGAL_R12921	262913	273936	nonoutlier	0.22909657	0.11966	0.229581	0.229448099	0.0001	0.230508	0.229015284	5.56689	0.228999	-6682.597829	-6682.515428	-6684.721005	-6684.107956	-6684.982869	-6684.983849	0.684773368	1	0.268167228	1	1	1	-6682.515428	-6684.107956	-6684.982869	-6682.515428	1	0
GALGAL_R12920	362076	365638	nonoutlier	0.082866973	0.0536571	0.0832687	0.082520476	999	0.0819851	0.082647343	0.0001	0.0826404	-4554.794308	-4554.71338	-4557.57294	-4557.017848	-4558.641703	-4558.641627	0.68745346	1	0.292041955	1	0.990163268	1	-4554.71338	-4557.017848	-4558.641627	-4554.71338	1	0
GALGAL_R12918	482017	509707	nonoutlier	0.095080507	1.23064	0.0942458	0.095890848	0.0001	0.0963814	0.095746036	0.0001	0.0960738	-10181.5589	-10180.62483	-10183.34703	-10182.08216	-10185.4988	-10184.97309	0.171688489	1	0.111718198	1	0.305181195	1	-10180.62483	-10182.08216	-10184.97309	-10180.62483	1	0
GALGAL_R00448	525003	528592	nonoutlier	0.041871504	0.0001	0.0421578	0.041792156	0.0001	0.0419017	0.041857312	4.81079	0.0417521	-3194.133383	-3193.851351	-3194.310604	-3194.202826	-3194.275759	-3194.480109	0.452627414	1	0.642447088	1	1	1	-3193.851351	-3194.202826	-3194.275759	-3193.851351	1	0
GALGAL_R00150	566151	576718	nonoutlier	0.092833695	0.0931554	0.0928315	0.092606341	0.0001	0.0926167	0.092923162	0.0451827	0.0932179	-13950.43696	-13950.43694	-13969.06467	-13969.06443	-13965.2917	-13965.10067	0.994358151	1	0.982593595	1	0.536509214	1	-13950.43694	-13969.06443	-13965.10067	-13950.43694	1	0
GALGAL_R00445	1148796	1169436	nonoutlier	0.047982302	0.0001	0.0487166	0.047974983	0.665318	0.047943	0.047974983	17.0111	0.0479431	-2266.180774	-2265.757532	-2267.146467	-2267.146525	-2267.145951	-2267.146552	0.357548904	1	1	1	1	1	-2265.757532	-2267.146467	-2267.145951	-2265.757532	1	0
GALGAL_R17730	1194975	1195452	nonoutlier	0.18286175	0.116553	0.184285	0.18286175	7.7876	0.182861	0.18286175	999	0.182778	-4674.45167	-4674.214159	-4674.451827	-4674.451984	-4674.452093	-4674.449241	0.490685841	1	1	1	0.939797142	1	-4674.214159	-4674.451827	-4674.449241	-4674.214159	1	0
GALGAL_R00149	1197525	1200987	nonoutlier	0.07639043	0.0619948	0.0765466	0.076440992	0.0001	0.0773656	0.076006093	7.90773	0.0751075	-5316.359869	-5316.341748	-5320.872562	-5319.511976	-5317.86194	-5317.144261	0.849016605	1	0.099025281	1	0.230891997	1	-5316.341748	-5319.511976	-5317.144261	-5316.341748	1	0
GALGAL_R12595	1202289	1203410	nonoutlier	0.058206763	0.0001	0.0591002	0.057937021	0.0001	0.058171	0.057937021	999	0.0574597	-4819.023399	-4818.10417	-4820.059248	-4820.015122	-4820.059328	-4819.761827	0.175131787	1	0.766411249	1	0.440491369	1	-4818.10417	-4820.015122	-4819.761827	-4818.10417	1	0
