position,V0,V1,V2,V3
0,161,1582,2126,2910
100000,0,2371,3976,5321
200000,3047,12188,10262,13365
300000,6188,27843,16853,22167
400000,5246,26144,21795,20785
500000,6235,26506,26422,22722
600000,8879,25156,21248,22717
700000,12960,24290,27407,21985
800000,6603,25502,26495,27987
900000,2307,22462,25998,23469
1000000,16586,23613,21353,27018
1100000,8679,23205,27693,18287
1200000,5808,16944,30797,24291
1300000,3465,23997,34201,24418
1400000,1127,24517,27544,30517
1500000,1273,24541,30012,28517
1600000,2036,31810,28439,26470
1700000,5649,25585,27729,27505
1800000,11665,23719,24360,27564
1900000,6642,26334,25995,22258
2000000,10337,23409,26616,28804
2100000,4638,29830,29464,22036
2200000,3531,27686,32184,22566
2300000,3546,26691,33173,22158
2400000,3918,17829,28595,20624
2500000,991,29586,30648,21487
2600000,2787,29231,25033,32660
2700000,958,27645,20328,34121
2800000,4068,24397,24791,37235
2900000,10952,24681,26759,31954
3000000,12645,21266,30494,30026
3100000,14303,22483,29635,26446
3200000,12768,23090,25517,27820
3300000,5088,26906,26245,24472
3400000,7075,22196,26628,24271
3500000,6815,25055,24631,29933
3600000,10414,21480,29371,28043
3700000,7577,24252,28638,29734
3800000,6882,24901,33716,26050
3900000,5534,26782,26859,32276
4000000,8598,26305,25762,30865
4100000,9871,31568,20347,29010
4200000,5963,22026,33106,29484
4300000,8407,28058,26608,29979
4400000,6744,21958,35166,24467
4500000,5954,30700,24226,31750
4600000,5171,23234,32766,25076
4700000,3599,27926,33994,26087
4800000,3219,25661,25806,27794
4900000,4739,25295,28072,22828
5000000,6609,28997,26567,31315
5100000,4020,32534,25585,27979
5200000,3683,29537,28742,30511
5300000,3791,26234,28253,32120
5400000,2698,27709,29121,34273
5500000,4413,30078,25188,30402
5600000,6532,23376,27206,23377
5700000,3059,30713,31473,27750
5800000,6095,25719,25620,30977
5900000,17331,26650,21228,23953
6000000,6277,24939,30629,23844
6100000,5831,26279,30319,29541
6200000,6673,24942,26091,34167
6300000,4994,32483,27083,25531
6400000,5728,22454,36393,27258
6500000,11587,21436,24445,26769
6600000,16759,23564,23564,30433
6700000,9465,25332,24981,30581
6800000,5523,23829,26371,32255
6900000,12678,24419,27264,24595
7000000,7275,27027,27427,22834
7100000,6869,24006,26770,29946
7200000,17116,24874,21620,23681
7300000,10815,24776,23129,25083
7400000,3757,26051,34127,25979
7500000,5684,27556,33860,23617
7600000,9826,27450,27572,24231
7700000,5890,26308,26193,29456
7800000,15771,21029,21798,29967
7900000,6257,25182,21488,38238
8000000,7286,21517,32144,27003
8100000,10680,22394,30944,21519
8200000,4251,29432,33003,21983
8300000,1413,27029,25952,32294
8400000,5396,22602,27903,32284
8500000,10273,25671,27484,26295
8600000,10257,25113,26288,19521
8700000,20383,18266,29401,19394
8800000,16692,21449,26824,27199
8900000,5090,19821,27578,29099
9000000,10828,20532,33660,26687
9100000,10809,24992,26471,23909
9200000,27091,20752,24822,21608
9300000,26093,24041,22858,15207
9400000,17312,24008,21565,20244
9500000,10286,11324,25978,33484
9600000,19922,16791,26726,27999
9700000,31016,15708,21953,21290
9800000,37837,16710,21989,14783
9900000,30569,22427,18807,16254
10000000,24538,18049,22157,18687
10100000,23264,23760,24129,15316
10200000,12100,25327,25174,19263
10300000,4324,16259,24742,16673
10400000,633,7501,12650,12020
