position,V0,V1,V2,V3
0,22169,18844,13873,10940
100000,21113,24787,15801,17106
200000,15158,16796,24538,16030
300000,8725,16575,22216,20974
400000,13444,15984,15814,12148
500000,5147,19673,23167,17306
600000,4452,16049,17144,23215
700000,10263,26480,15180,17699
800000,11803,20341,20703,22004
900000,6413,10926,23499,22472
1000000,2357,16006,27716,30292
1100000,1269,13640,17861,26526
1200000,4866,10195,7442,10089
1300000,390,5560,6244,11605
1400000,392,3711,1886,1483
1500000,5516,9199,13200,18314
1600000,7284,9800,13868,11089
1700000,5309,13997,11556,15844
1800000,1234,4805,5694,5787
2000000,0,1021,627,111
2100000,1051,8220,2254,5509
2200000,0,33,427,512
2300000,0,5119,2250,3119
2400000,0,997,373,192
2500000,0,1154,4493,2552
2700000,2508,0,52,430
2800000,504,0,941,157
2900000,0,117,0,1403
3000000,0,5269,2113,3637
3300000,0,2505,1818,1595
3400000,0,1117,1423,2193
3500000,0,1192,1197,1057
3600000,0,1580,1328,1655
4100000,0,984,0,889
4300000,0,762,724,63
4400000,0,667,41,1179
4500000,0,1354,1263,2440
4900000,0,431,597,354
5000000,0,1175,1930,4324
5100000,0,2745,390,1372
5800000,708,5982,1261,2024
6200000,0,190,741,1013
6300000,248,3820,2930,2279
6400000,0,3496,2991,4452
6500000,0,292,233,3251
6600000,183,2911,898,801
6700000,0,298,528,930
6900000,0,1174,1163,575
7200000,463,2782,2190,3128
7300000,909,3883,1807,3140
7400000,1796,304,104,59
7500000,2433,625,1455,1222
7700000,0,181,623,2656
8200000,0,0,0,354
8300000,0,0,0,384
8800000,0,530,2456,4053
8900000,0,934,638,864
9000000,0,657,10507,5406
9300000,19,1187,2528,4031
9400000,0,503,0,1198
9500000,862,72,262,767
9600000,2720,5064,2824,9954
10000000,0,351,324,411
10400000,0,1534,2674,858
10600000,0,1865,646,2212
10700000,0,481,375,1582
11100000,721,2945,1922,1962
11200000,435,5346,7518,10608
11300000,3377,4629,5026,9788
11500000,132,3707,1456,5352
11600000,0,999,1086,4729
11800000,0,1405,739,6357
11900000,0,3363,3913,10094
12000000,1431,5512,9508,9994
12100000,64,3626,3809,7665
12200000,767,2515,1381,8757
12300000,0,774,0,31
12400000,0,479,180,3621
12600000,348,216,130,770
12700000,614,1288,2293,2304
12800000,716,25,586,440
13000000,13,1211,1464,3390
13200000,0,1668,2364,694
13400000,0,946,187,790
13500000,0,1858,1969,5760
13700000,0,153,548,573
14200000,0,0,942,4305
14300000,0,167,640,966
14400000,0,765,0,474
14600000,150,12365,11629,16591
14700000,635,2958,2166,13106
15300000,0,1198,824,940
15500000,0,1928,187,1350
15600000,0,2405,2455,15941
15700000,0,1439,2064,6364
15900000,0,1935,5584,9632
16000000,0,4153,3323,11863
16100000,0,3287,919,2772
16300000,0,43,0,851
16500000,0,4026,4027,6499
16600000,101,5033,1485,4346
16900000,0,1470,1480,5996
17300000,6383,4293,2769,7432
18100000,0,944,914,2369
18300000,0,1315,2968,5183
18500000,0,1845,30,1228
18700000,0,1691,3150,2494
18800000,0,502,1248,916
18900000,296,710,320,1573
19000000,3342,2933,3599,6008
19100000,0,906,492,2049
19300000,428,3064,1356,4806
19600000,0,1016,790,1747
19900000,0,334,196,2187
20000000,159,737,1352,1000
20100000,0,820,504,1554
20200000,1166,6078,4861,15932
20300000,0,2295,5742,7175
20400000,360,6972,4242,8558
20600000,904,4977,2361,7433
20700000,2075,2349,4120,6904
21100000,0,1376,380,515
21400000,251,538,270,915
21500000,1595,509,2332,3906
21800000,82,270,335,231
21900000,656,450,63,0
22000000,0,2097,2925,2318
22100000,1131,222,315,2206
22200000,171,2000,0,33
22300000,643,217,231,1727
22500000,0,2762,3069,4485
22600000,0,5232,2901,10045
22700000,1694,3634,2060,2667
22900000,747,1007,1297,3961
23000000,0,1515,1267,856
23100000,0,372,227,341
23200000,0,523,726,0
23500000,0,1135,1581,486
23600000,0,2834,3713,1902
23700000,0,846,3286,1149
23800000,888,2723,2388,2521
23900000,0,973,384,1353
24000000,0,1670,518,588
24500000,504,1018,2569,3703
24600000,0,809,199,702
24700000,0,5354,4460,17793
24800000,3516,16392,7321,14488
24900000,1628,2318,4737,8576
25000000,0,720,0,3071
25100000,2208,0,969,2641
25200000,0,616,0,1030
25400000,0,0,256,517
25500000,0,0,757,1130
26100000,0,29,0,1049
26200000,0,1274,1037,12765
26500000,3523,8370,6706,11506
26600000,0,969,1526,5137
26800000,0,868,1426,2468
27200000,0,517,545,2067
27300000,0,226,719,8480
27500000,0,0,623,462
27600000,0,613,0,264
27700000,0,1849,1943,2930
27800000,0,1350,3091,19707
28000000,0,8793,2330,2993
28100000,0,1495,2539,4012
28200000,0,1050,263,368
28600000,0,1364,1133,1723
28800000,0,20,0,1850
28900000,0,2497,1168,1652
29000000,0,1121,570,1595
29100000,0,948,928,2871
29200000,0,12,1295,256
29300000,0,1515,0,0
29500000,0,2282,0,0
29600000,321,8829,2866,5330
29700000,766,8823,3097,6086
29800000,0,459,250,478
29900000,0,2002,852,2036
30000000,0,1776,0,1249
30100000,30,3084,1760,2253
30300000,1049,0,549,0
30500000,123,2692,463,2373
30800000,862,0,325,435
31000000,779,0,788,41
31400000,538,0,477,400
31700000,215,0,997,0
31800000,1531,974,537,860
31900000,999,2376,1480,2437
32000000,0,156,1887,796
32100000,0,0,1241,347
32500000,0,192,293,1809
33000000,0,304,1290,830
33100000,0,0,607,1142
33500000,0,2448,1608,1290
33600000,0,1006,658,1239
33900000,0,0,1842,525
34000000,0,336,1042,197
34100000,0,2987,4672,2640
34200000,0,1103,1798,859
34300000,0,863,0,420
34500000,0,214,1119,493
34800000,0,422,0,1148
35100000,0,2064,500,1382
35200000,0,130,1154,638
35400000,0,461,766,840
35500000,0,0,1113,3821
35800000,780,6371,3459,8354
36300000,0,381,972,2409
37000000,0,245,0,1381
37400000,0,2619,2582,803
37500000,574,6974,4900,6120
37600000,0,683,102,5465
37700000,0,284,1203,4116
37800000,467,0,0,1472
38800000,0,2390,1428,1005
39100000,0,575,561,1588
39400000,0,0,302,1422
39900000,2525,1458,3216,1323
40400000,0,0,71,637
40500000,0,734,0,852
40600000,700,3,0,2798
40900000,0,287,319,150
41300000,0,283,234,0
41400000,0,321,529,1656
41500000,0,885,611,1005
41600000,0,1039,664,6822
41800000,0,0,1123,1412
42000000,0,0,574,0
42200000,0,0,452,0
42600000,0,86,1210,728
42700000,325,3614,2552,2344
42800000,0,0,107,0
43000000,0,0,389,2809
43100000,0,0,106,3137
43200000,160,21,0,1017
43300000,392,0,0,0
43500000,402,0,118,1431
43700000,339,212,0,193
43800000,264,1085,0,197
43900000,305,39,628,845
44000000,0,0,0,3701
44200000,0,0,181,2965
44400000,0,0,42,704
44500000,0,551,942,380
44600000,0,510,65,899
44700000,0,1399,503,5284
44800000,0,169,11,1215
45400000,0,0,321,2114
45500000,0,864,621,1902
45700000,0,466,86,1266
45800000,1931,35,4852,4842
46500000,362,2100,2391,2491
46600000,0,1651,211,868
46800000,0,1385,0,491
46900000,0,593,0,1129
47000000,0,734,0,423
47100000,0,85,0,950
47200000,0,2269,543,115
47300000,640,11780,7449,3862
47500000,0,4492,2645,2363
47600000,0,4381,1056,2172
47700000,409,10260,4208,1960
48200000,1022,0,823,606
48300000,0,834,99,813
48400000,0,0,1369,1074
48600000,0,3367,520,515
48700000,377,3348,1585,1209
49000000,0,2177,481,355
49100000,0,3614,995,3265
49300000,0,0,463,0
49500000,0,712,789,1229
49700000,0,231,0,1471
50000000,0,672,372,824
50100000,390,691,131,0
50200000,328,1022,0,14
50500000,443,2943,1153,1633
50800000,140,504,410,0
50900000,0,0,451,5
51000000,0,0,151,1432
51100000,1539,1927,9755,7010
51500000,0,503,1545,313
51600000,0,180,180,190
51700000,0,1115,0,4058
52000000,0,0,0,804
52100000,0,255,0,1561
52200000,0,135,0,1161
52400000,0,0,2768,4845
52800000,0,862,71,1074
52900000,0,176,0,1193
53100000,84,1179,679,2582
53300000,0,146,291,1321
53500000,0,105,2431,5466
53600000,0,135,2749,8073
54000000,0,1422,1064,762
54300000,0,703,572,303
54700000,0,1066,1083,971
55300000,958,0,0,2039
55400000,0,61,1658,885
56300000,0,945,0,402
57200000,0,406,589,697
57600000,0,1270,2303,950
57700000,2127,3889,3097,4647
57800000,0,74,91,1655
58000000,0,1696,421,481
58100000,0,667,122,890
58200000,563,0,0,615
58800000,1903,2457,780,1481
58900000,242,0,413,0
59100000,0,134,514,6643
59200000,0,2653,366,4510
60100000,0,0,0,4827
60200000,0,0,3469,93
60300000,0,1258,1544,15242
60400000,0,1047,1306,13924
60500000,0,29,199,2141
60800000,231,5479,7666,7691
61000000,0,531,207,0
61200000,0,2198,1392,299
61600000,0,2941,1620,1596
61700000,0,8112,4395,1802
61800000,0,0,166,802
62100000,0,2432,1463,5021
62400000,538,369,0,851
62700000,0,909,1143,2028
62800000,0,1395,145,1450
63100000,0,2391,1365,3894
63500000,0,115,361,1497
63600000,0,0,0,1957
63700000,0,0,0,1257
63900000,0,0,656,818
64100000,0,1074,1344,3333
64200000,0,8936,5114,2590
64300000,0,19446,11929,7591
64400000,0,6375,9348,3135
64500000,0,4142,5085,2268
64700000,0,173,1161,605
64900000,0,0,340,1628
65000000,940,0,556,3223
65100000,0,4788,10184,2883
65200000,1480,589,3466,2358
65300000,0,572,873,182
65700000,0,36,0,7204
65800000,0,133,0,1675
66200000,0,530,568,381
66300000,0,677,0,2073
66800000,191,0,0,736
66900000,953,0,0,717
67300000,610,0,679,198
67700000,0,3253,765,4144
67800000,0,7902,1708,10676
67900000,479,3753,1937,5345
68000000,0,483,22,392
68100000,0,250,445,907
68500000,163,895,0,261
68600000,900,66,0,0
69000000,0,782,127,836
69100000,0,724,2223,1754
69500000,262,0,301,1075
69600000,0,1234,1738,158
69700000,0,4917,1697,607
70400000,199,517,0,1177
70600000,3258,0,110,1284
70700000,0,376,266,351
70800000,254,2419,1371,3173
70900000,0,591,368,1157
71100000,421,0,249,0
71200000,813,0,0,566
71400000,0,177,0,3371
71600000,5325,1234,1312,0
71800000,2303,0,156,0
72800000,44,0,648,608
72900000,2404,0,0,0
73000000,715,1095,0,315
73100000,0,0,0,19708
73400000,2547,0,0,157
73600000,2692,0,0,0
74500000,243,0,0,0
74700000,2133,0,0,0
75700000,2605,0,0,0
75900000,1881,0,0,0
76000000,626,0,185,0
76300000,2401,0,0,0
76500000,3301,0,0,0
76700000,3720,0,0,0
77300000,2487,0,0,0
77600000,2479,0,0,0
77800000,4048,0,0,0
78000000,239,0,0,0
78100000,3021,0,0,24
78600000,0,0,0,472
78700000,715,0,1161,2604
78900000,303,0,790,0
79100000,0,0,1124,473
79400000,0,0,0,5593
79500000,0,0,0,6610
79600000,0,0,0,7942
79800000,0,87,0,1585
79900000,232,280,0,0
80200000,3057,0,0,0
81000000,7771,0,0,3444
81100000,0,0,0,2677
81400000,0,0,2987,4287
81600000,0,0,435,0
81800000,1343,0,1537,837
81900000,0,0,138,344
82000000,1108,0,0,1177
