position,V0,V1,V2,V3
0,509,11447,9812,9612
100000,423,10079,13779,11968
200000,99,10458,15972,10333
300000,1286,17345,17598,16055
400000,1074,9771,14739,7518
500000,433,10568,8831,6454
600000,116,15914,22152,10544
700000,1614,18812,23569,22749
800000,2373,19622,31999,15256
900000,8161,20818,16504,17918
1000000,7391,31075,14466,22073
1100000,5465,26983,11091,15523
1200000,8681,9238,3787,10718
1300000,9170,6219,3790,4602
1400000,2488,1667,511,2815
1500000,15939,11632,8802,7502
1600000,18356,7479,7271,8962
1700000,13409,10036,11510,12014
1800000,2284,4679,5915,4501
2000000,0,805,916,33
2100000,789,4502,4976,6769
2200000,207,759,231,0
2300000,207,3489,4030,2752
2400000,0,248,440,855
2500000,765,1716,2572,3085
2700000,1944,438,259,348
2800000,0,344,573,685
2900000,441,514,292,250
3000000,1348,2069,2127,1185
3300000,303,653,4726,244
3400000,1197,1597,855,1084
3500000,151,700,1225,1369
3600000,341,1597,1299,1325
4100000,111,715,729,310
4300000,0,268,153,1144
4400000,521,243,813,310
4500000,1396,983,2060,616
4700000,348,0,99,206
4900000,93,293,277,606
5000000,1120,2910,2365,1026
5100000,684,896,1165,1763
5800000,1238,2842,2508,3379
6200000,0,985,890,82
6300000,903,2169,3253,2946
6400000,864,3250,3517,3308
6500000,1378,1293,919,186
6600000,788,639,2171,1195
6700000,685,236,153,676
6900000,850,813,569,682
7200000,527,2358,2877,2836
7300000,602,1930,3784,3423
7400000,1231,290,735,7
7500000,2542,460,1141,1600
7700000,1910,508,72,970
8200000,354,0,0,0
8300000,382,0,0,2
8800000,500,4496,2454,2585
8900000,1119,835,212,768
9000000,4260,3103,6592,2613
9300000,1982,2877,1735,1154
9400000,0,1044,100,558
9500000,1321,87,250,305
9600000,5067,5293,4912,5295
10400000,430,2070,1560,1006
10600000,0,1389,687,2627
10700000,520,1153,209,555
11100000,557,2536,2470,1979
11200000,2798,7584,8234,4106
11300000,3977,7043,6430,5388
11500000,1476,3552,2997,2615
11600000,805,3206,2225,568
11800000,2202,2380,1742,2178
11900000,1672,7745,4332,3616
12000000,4627,8461,7083,6279
12100000,132,5768,5424,3095
12200000,893,5686,3944,2874
12300000,0,138,667,0
12400000,0,1849,957,485
12600000,700,265,319,137
12700000,737,2717,1826,1217
12800000,340,581,490,355
13000000,502,2789,750,2038
13200000,567,2090,1100,891
13400000,71,1334,249,254
13500000,409,3908,2122,3124
13700000,193,635,425,25
14200000,1329,2229,1108,576
14300000,0,910,571,272
14600000,1423,13929,11192,14182
14700000,2386,8036,3666,4765
15300000,272,1061,1275,357
15500000,684,1064,637,1071
15600000,2861,10199,3928,3682
15700000,1375,4820,1915,1756
15900000,2788,7211,4845,2296
16000000,2697,8693,4202,3715
16100000,1314,2050,1446,1363
16300000,0,0,812,67
16500000,1129,5320,4028,4066
16600000,1355,4182,2264,3197
16900000,1234,3553,854,1432
17300000,5032,6649,4443,4748
18100000,769,1583,1445,428
18300000,599,4218,2454,2179
18500000,0,978,919,1206
18700000,907,2957,2185,1280
18800000,0,765,1450,442
18900000,600,1570,990,766
19000000,3637,5805,3565,2856
19300000,1252,4429,2113,1832
19600000,0,1386,1651,515
19900000,0,1656,381,649
20000000,0,1766,616,855
20100000,119,2099,417,242
20200000,2690,12359,6039,5171
20300000,1841,5289,5736,2331
20400000,1985,6007,5274,6667
20600000,700,5707,4140,5106
20700000,3403,4036,5082,2930
21100000,158,983,723,403
21400000,417,922,221,414
21500000,1576,3068,2121,1577
21800000,0,798,905,853
21900000,0,11,190,968
22000000,144,2740,2805,1657
22100000,2668,384,225,598
22200000,0,83,401,1720
22300000,0,1342,80,1395
22500000,337,4542,1591,3814
22600000,3375,4811,3996,1987
22700000,1316,2937,3254,2547
22900000,1214,2532,2082,1144
23000000,0,1454,412,1771
23100000,0,208,74,658
23200000,0,182,1069,0
23500000,267,172,1595,1168
23600000,0,2059,2523,1322
23700000,0,562,3721,1017
23800000,559,2139,2264,2776
23900000,256,2021,0,429
24000000,0,899,677,1198
24500000,666,3465,3085,575
24600000,0,641,466,603
24700000,3819,13865,4610,5292
24800000,4682,11278,9154,15542
24900000,2154,5888,6073,3103
25000000,679,2127,0,984
25100000,3583,333,46,1856
25200000,0,655,0,991
25400000,0,433,138,190
25500000,0,1426,418,38
26100000,0,1024,0,79
26200000,657,12085,709,695
26500000,3087,7338,9105,8210
26600000,0,3968,424,1571
26800000,0,1848,2527,367
27300000,439,8100,645,208
27500000,0,632,0,445
27600000,9,298,0,571
27700000,1104,1480,919,2839
27800000,561,13091,1991,2524
28000000,59,3769,4075,6013
28100000,81,4086,2026,1816
28200000,0,763,284,640
28600000,0,1304,1769,1107
28800000,0,1565,125,180
28900000,0,1935,2301,1848
29000000,0,2016,1020,244
