position,V0,V1,V2,V3
0,2759,8837,10967,10453
100000,3690,18561,26046,20904
200000,2595,23876,29504,25274
300000,2347,23552,22766,20619
400000,2058,23273,29920,21749
500000,4802,20437,22146,21758
600000,10845,23427,24860,27095
700000,14919,25807,22172,25269
800000,16196,25572,21408,25555
900000,15440,19656,21787,30086
1000000,9618,17547,22728,21582
1100000,12650,22555,25899,17789
1200000,5222,28042,33897,14159
1300000,6161,31923,34912,11954
1400000,10318,28723,26549,13506
1500000,938,22340,22772,35427
1600000,732,12333,14968,49200
1700000,176,10590,6491,58117
1800000,6213,17159,20782,37461
1900000,14263,19439,25245,26049
2000000,10029,19226,24999,24746
2100000,13037,18086,25002,30132
2200000,10245,18767,25719,30804
2300000,11560,19519,27825,28176
2400000,6246,23756,28936,25884
2500000,1707,26379,21821,34316
2600000,1024,22744,20301,43228
2700000,3273,27897,25529,25847
2800000,3464,22110,23491,32266
2900000,3382,24010,30211,25612
3000000,2042,29840,30653,23375
3100000,5542,24425,27242,29937
3200000,2490,22213,26242,35068
3300000,3160,29345,27893,31356
3400000,11998,25436,27717,24336
3500000,10547,21941,25449,30794
3600000,6234,25829,25422,32912
3700000,9824,24634,24435,30174
3800000,8345,24694,21932,30712
3900000,9095,23148,27265,27072
4000000,4911,25013,30285,26985
4100000,5885,29054,28812,26433
4200000,5749,29634,28502,26735
4300000,5641,26198,28520,29857
4400000,7211,26783,27906,26200
4500000,9725,27452,27328,26494
4600000,4209,30012,23204,30716
4700000,2786,26688,30829,32170
4800000,1207,27103,29259,29094
4900000,2536,27885,31065,29113
5000000,4270,24889,27328,29880
5100000,12359,19670,24949,26092
5200000,18854,20294,23732,28070
5300000,14192,26808,27059,27172
5400000,5478,27153,28728,33283
5500000,3428,28166,30149,26831
5600000,1565,25527,23608,23050
5700000,5112,26766,28060,24721
5800000,1332,21229,28130,24308
5900000,818,19324,25656,27038
6000000,0,5715,4848,15454
6100000,1022,24222,23668,22306
6200000,4620,27626,26187,28004
6300000,4373,23653,26038,27364
6400000,2490,29054,31131,24050
6500000,6136,18040,23908,38365
6600000,2439,20279,25905,35850
6700000,4466,28711,27018,29783
6800000,4093,21811,28754,29350
6900000,5928,24914,31674,24037
7000000,1382,26126,29437,19079
7100000,2083,21843,39546,15044
7200000,4703,22345,30268,22255
7300000,4265,24738,31918,25113
7400000,4647,20794,30209,24984
7500000,2736,26617,31966,24519
7600000,3511,22134,21445,28683
7700000,3034,21949,24869,27554
7800000,4628,18021,22620,25443
7900000,2671,25686,22939,22068
8000000,3416,29983,23392,24270
8100000,4704,27047,23574,28400
8200000,11344,28199,22929,22841
8300000,7660,19445,33338,29898
8400000,8922,18124,24452,30928
8500000,7444,21577,26343,24171
8600000,6094,18084,24122,21652
8700000,4572,24384,26474,25056
8800000,4103,27972,27470,23632
8900000,3598,26320,30286,26150
9000000,12388,15303,29137,21572
9100000,16107,19584,25680,28521
9200000,9371,21486,24394,25764
9300000,4037,25043,32083,18882
9400000,7942,19376,24157,32312
9500000,472,15132,15438,34142
9600000,803,18584,23824,22382
9700000,893,26488,28222,17174
9800000,6132,27062,31097,20913
9900000,3682,26423,30454,24851
10000000,3006,28777,26797,18972
10100000,3755,28619,28541,22484
10200000,648,23336,24498,29610
10300000,849,23253,27932,17556
10400000,11538,28173,20795,22271
10500000,11926,30312,20636,22137
10600000,13334,29050,26945,19839
10700000,15514,26844,22474,22627
10800000,7970,29543,24722,26462
10900000,3704,16931,16974,30050
11000000,2531,12934,15654,44194
11100000,348,18506,28464,17833
11200000,3455,21753,31950,20373
11300000,424,23905,25434,32300
11400000,1534,23880,31454,20374
11500000,375,24152,28570,15926
11600000,1207,22730,20720,27099
11700000,1886,26222,17111,46538
11800000,3691,29376,28598,28906
11900000,3164,28257,39295,24297
12000000,5221,24052,38514,19670
12100000,3889,30208,33531,23968
12200000,7795,20388,18378,32891
12300000,10973,20871,26283,31239
12400000,3512,25971,29957,27976
12500000,1416,19409,25201,22308
12600000,2443,24344,33848,25157
12700000,4538,19022,30276,30781
12800000,1573,31253,28602,25039
12900000,3601,24247,25827,36414
13000000,5260,28600,25320,33058
13100000,2876,25755,27105,27547
13200000,4218,27821,28282,30107
13300000,4446,25077,22781,28945
13400000,5471,31724,28513,23006
13500000,3869,25861,32321,21267
13600000,4208,24540,23611,22762
13700000,1067,24075,17877,20601
13800000,5143,23670,29119,26287
13900000,1399,26066,24402,35412
14000000,2064,30051,31632,28448
14100000,4346,24361,25868,30940
14200000,7673,22881,26544,30981
14300000,3980,22800,30109,29079
14400000,2723,24510,26933,35753
14500000,1960,30356,28006,31804
14600000,2427,25996,29653,24636
14700000,883,23448,36414,19965
14800000,2433,24978,30085,24194
14900000,2965,18509,30250,33028
15000000,3061,24533,34424,19799
15100000,4123,23785,22339,28924
15200000,1666,23632,24201,35035
15300000,8723,30083,19389,31346
15400000,12084,24016,28441,26023
15500000,5534,21843,25603,36094
15600000,3587,18218,22832,30824
15700000,9866,27394,24403,28276
15800000,4684,25999,28123,23207
15900000,4216,30123,30269,22133
16000000,3393,29863,26785,24970
16100000,3681,28289,29392,25491
16200000,1731,27580,26356,23505
16300000,9233,23432,23054,20929
16400000,8314,23936,26990,25027
16500000,3821,21117,26425,22100
16600000,5883,25448,30959,26024
16700000,3928,25213,30040,21690
16800000,5494,23989,26191,30809
16900000,2617,27147,23000,32726
17000000,3072,24943,25162,34228
17100000,4385,24960,26739,29791
17200000,1046,21881,23669,28590
17300000,2704,26758,25235,30050
17400000,2243,26749,21888,27050
17500000,1970,30254,24979,25189
17600000,8456,23416,21458,31809
17700000,5250,13624,38855,23931
17800000,7106,25636,29588,28978
17900000,4241,19398,20098,28971
18000000,7475,19382,21155,21359
18100000,15045,18379,21769,30633
18200000,15004,22947,20366,24236
18300000,14899,23387,23103,26756
18400000,16183,28187,21714,23509
18500000,12631,24882,26218,19578
18600000,3226,15113,12436,17465
18700000,1293,13914,14095,17841
18800000,218,11440,7106,7800
18900000,1814,15415,14234,10598
19000000,796,10913,18809,9883
19100000,8298,15401,16894,12124
19200000,2585,19659,17777,15883
19300000,2535,26370,26873,29636
19400000,2526,20457,25977,26554
19500000,3693,20599,25486,28163
19600000,2791,17413,28097,24268
