position,V0,V1,V2,V3
0,1271,11691,18763,14000
100000,4019,24346,20987,17364
200000,4600,23880,18624,18423
300000,9757,31871,24005,20139
400000,6163,31484,23622,23556
500000,3511,25902,26331,26366
600000,3643,23902,23250,28588
700000,10505,34281,17561,21101
800000,6529,25519,22764,23772
900000,4163,17084,31699,25446
1000000,7873,14254,40926,26894
1100000,3630,20198,33694,28514
1200000,6017,25782,33383,24033
1300000,6335,23026,30903,26736
1400000,4367,36183,26212,22031
1500000,5171,27775,35106,24670
1600000,7401,24059,24483,35421
1700000,6733,23985,25619,37742
1800000,7356,25203,28865,28975
1900000,9459,25743,25408,34705
2000000,12429,23926,27475,28024
2100000,2282,23091,30024,30723
2200000,6240,28152,27857,29098
2300000,11436,25464,29991,22144
2400000,18412,16695,27607,26042
2500000,10506,25973,23812,28679
2600000,13232,21634,23896,30032
2700000,13766,24567,27579,29131
2800000,6688,28310,28209,31703
2900000,8580,27919,29340,27852
3000000,4054,27114,30385,27226
3100000,3811,23630,32227,30386
3200000,7865,25786,27174,30691
3300000,3428,24065,32103,33103
3400000,8761,28018,32485,25651
3500000,3839,26995,32092,22123
3600000,2826,29808,30333,30547
3700000,8970,28669,30516,26292
3800000,9762,28382,28766,29274
3900000,7880,28130,24545,30951
4000000,9419,21912,29124,28103
4100000,21785,16129,20205,16313
4200000,10612,25824,24062,22696
4300000,6514,19611,27289,32256
4400000,14876,22574,23497,29783
4500000,6327,24407,31020,22086
4600000,10262,23991,25563,27057
4700000,17762,24975,22460,22712
4800000,27198,15982,16322,20131
4900000,13693,17714,27291,24753
5000000,8716,12779,23572,29979
5100000,8828,18717,35175,23749
5200000,13647,24212,29732,22530
5300000,10094,23915,25960,28481
5400000,4865,26358,25137,33023
5500000,4043,28618,28381,27047
5600000,12858,21485,24470,29346
5700000,15455,25050,23257,25391
5800000,21529,21884,21494,18851
5900000,19327,16009,19017,24603
6000000,14039,17116,25293,26183
6100000,7051,20779,29169,29209
6200000,7816,22536,27822,28022
6300000,13825,28743,19789,23904
6400000,7187,13381,24734,23227
6500000,7237,24848,24720,24144
6600000,5762,23136,23607,25848
6700000,14354,25575,17328,27633
6800000,8268,16747,24540,32258
6900000,9280,27857,23165,25138
7000000,11610,26164,18192,22537
7100000,22756,33624,11872,19344
7200000,8749,29469,20600,25078
7300000,6086,19841,28975,24370
7400000,9327,9881,26882,13118
7500000,17437,13668,35957,19865
7600000,9897,16359,34912,23377
7700000,4426,15194,34010,22490
7800000,1450,21627,29117,22910
7900000,3203,29139,26965,25695
8000000,3925,23273,33780,21646
8100000,4576,27721,31986,25870
8200000,1415,21867,22917,20982
8300000,6330,24773,32029,25220
8400000,2195,23091,26387,21887
8500000,4099,24877,29525,24133
8600000,3284,24853,31081,26023
8700000,6582,24725,36960,20818
8800000,4936,23237,33112,24804
8900000,8726,27759,25916,24041
9000000,5905,19314,26678,23003
9100000,1873,29449,28573,28309
9200000,2446,30067,29232,27677
9300000,9500,30488,26718,22224
9400000,3441,22620,29534,23181
9500000,2141,29023,28433,24542
9600000,2989,23160,29373,30990
9700000,625,19232,26972,29478
9800000,4586,16266,23083,28775
9900000,6928,32470,27521,17894
10000000,5357,26545,29940,16899
10100000,10850,21890,28090,21180
10200000,16671,29824,25350,18683
10300000,12085,29169,31589,17649
10400000,5240,23388,26040,29548
10500000,5334,24072,31567,25665
10600000,8805,21552,32447,26256
10700000,9240,21367,30340,25555
10800000,5486,17940,18431,42423
10900000,7698,22799,23580,30591
11000000,12970,24614,26866,19094
11100000,11956,21700,28413,18489
11200000,4833,19248,30555,24072
11300000,3930,29013,22206,20566
11400000,2287,24474,25122,24425
11500000,1043,25808,24044,28811
11600000,2463,21500,21894,29657
11700000,4089,22950,28737,24454
11800000,3640,17488,29366,25716
11900000,5739,27488,26049,20861
12000000,4895,27568,28228,24499
12100000,9024,21388,21076,26501
12200000,5288,18777,19448,29577
12300000,2240,25136,24898,20293
12400000,4537,22318,31836,21519
12500000,5454,28167,31766,23031
12600000,4344,18628,25611,25853
12700000,2074,14695,14745,21332
12800000,875,21879,29699,27243
12900000,3396,20281,25350,30496
13000000,2148,15157,21432,28774
13100000,4896,13660,8078,21565
13200000,5597,17515,12329,35723
13300000,414,17361,22528,30305
13400000,3063,19070,30381,24590
13500000,4468,17681,26591,22136
13600000,941,17532,22475,16343
13700000,4255,17691,32260,10940
13800000,1462,17390,34867,15659
13900000,6173,19333,39093,15901
14000000,12520,18658,21477,26376
14100000,7679,16223,20520,38181
14200000,424,10663,35709,19601
14300000,1332,13759,34908,18325
14400000,4932,19055,17845,14070
14500000,3819,32622,19348,19407
14600000,8269,18563,19454,30638
14700000,3321,21200,21719,24895
14800000,0,2913,3592,6336
14900000,12825,21021,25882,13141
15000000,9535,20711,28077,12628
15100000,264,3028,2737,5935
