position,V0,V1,V2,V3
0,3780,13842,20546,19028
100000,3435,13235,11778,20193
200000,13343,19590,11087,18203
300000,9502,25131,14129,19785
400000,3070,16871,8903,13300
500000,1581,13711,30307,22188
600000,2346,18454,47147,16638
700000,6335,17322,37528,17438
800000,2822,16147,29632,23224
900000,215,17964,16866,26383
1000000,1713,15876,12005,16842
1100000,2621,19772,20731,30404
1200000,669,19835,26087,27345
1300000,1228,13397,21212,28766
1400000,1006,24871,18944,29452
1500000,2123,24612,20692,22907
1600000,4584,21670,28095,22127
1700000,4985,29503,23599,21753
1800000,7452,22891,22586,27747
1900000,6189,21403,29010,25137
2000000,13822,15894,22664,33494
2100000,6400,17934,27386,24774
2200000,6601,19214,30015,26868
2300000,3034,19492,32910,20656
2400000,1127,23331,29720,31352
2500000,2804,18223,24652,27241
2600000,2283,15889,30086,19884
2700000,3655,20580,24932,21319
2800000,6506,25474,24815,22628
2900000,7857,23263,28488,24168
3000000,2389,18533,25629,23481
3100000,1203,12386,14944,21368
3200000,304,18890,19178,16479
3300000,689,21527,31414,21133
3400000,1124,20083,20044,34861
3500000,1562,18370,19189,21189
3600000,8016,24180,22059,28753
3700000,14289,19754,20263,30463
3800000,3190,26122,24089,34534
3900000,1821,20050,26092,19625
4000000,4168,21854,27781,22262
4100000,5145,18136,33784,14966
4200000,2495,15070,37512,22847
4300000,0,19326,31261,18567
4400000,1160,22618,30048,27044
4500000,4670,23271,23162,25610
4600000,9713,25739,20435,35138
4700000,8740,19538,29114,28096
4800000,4473,25802,19852,29196
4900000,9839,22225,29440,22154
5000000,8881,25043,24950,25788
5100000,17447,25234,21414,24259
5200000,28735,16085,24804,19420
5300000,16434,23750,25200,26528
5400000,14524,23811,32330,18668
5500000,12908,28992,28458,18336
5600000,8162,24441,25437,14222
5700000,1098,3377,8432,2511
5800000,902,12421,19837,22757
5900000,2254,27448,26111,28398
6000000,1118,26540,34580,22779
6100000,2016,30911,25652,20999
6200000,1919,20931,24885,39877
6300000,5900,25649,19657,36527
6400000,5074,25799,27284,29919
6500000,1335,25890,26596,22154
6600000,3740,21142,29824,22958
6700000,1988,24725,33267,22277
6800000,3909,31345,25679,26683
6900000,2251,23957,30281,23063
7000000,1675,28851,26770,29998
7100000,9518,24470,22316,33000
7200000,17089,24234,30001,22873
7300000,16574,21835,26804,26874
7400000,5885,23845,21374,39575
7500000,2577,28823,31494,27734
7600000,2171,20447,31459,30779
7700000,1944,21884,25141,27263
7800000,322,27274,22232,33852
7900000,1239,25541,24479,30310
8000000,615,30940,30784,17563
8100000,434,21343,30952,24695
8200000,3213,28984,29232,22084
8300000,1885,25995,20947,35633
8400000,2587,24198,34307,26233
8500000,1633,25888,28129,28620
8600000,2796,27392,30180,26069
8700000,4450,25058,31003,29169
8800000,5089,20180,35226,23984
8900000,3329,32010,27586,24928
9000000,3064,30795,28665,25345
9100000,3284,23199,34879,28057
9200000,4348,21636,28248,36830
9300000,10130,31239,25025,24998
9400000,20462,27013,25542,22593
9500000,29027,19031,18426,22775
9600000,3519,25266,25268,35316
9700000,1582,27585,23231,31685
9800000,3015,25538,28623,25105
9900000,5544,26236,26704,24485
10000000,2147,22408,38832,20463
10100000,9865,20357,36336,17326
10200000,6468,26913,27665,22352
10300000,7041,17517,32939,19549
10400000,8263,20776,36262,24843
10500000,14205,20876,28374,26924
10600000,15943,24542,26432,27069
10700000,17803,27407,21117,26430
10800000,15674,25306,27074,23189
10900000,11726,26349,24573,30114
11000000,1278,36226,20562,32149
11100000,2493,34225,24589,28250
11200000,4281,31077,25829,30479
11300000,1151,30625,28087,20880
11400000,3901,30579,28072,24413
11500000,3839,21111,23777,21973
11600000,8933,27782,30482,25688
11700000,3489,32872,23373,31915
11800000,1505,23629,33572,28224
11900000,4372,29117,31130,25530
12000000,2594,22935,36212,24590
12100000,3357,26344,25612,23123
12200000,1418,25561,27996,28300
12300000,750,30508,32152,24761
12400000,1756,26841,32235,23556
12500000,4763,20629,30070,25109
12600000,2049,25239,34540,24068
12700000,2591,26818,26949,26770
12800000,2428,26622,25808,24338
12900000,1176,26864,28022,26197
13000000,1773,23405,27270,28647
13100000,2392,22736,23344,33119
13200000,3599,18923,24502,45045
13300000,1195,22923,27578,41162
13400000,152,19482,30214,31881
13500000,1132,23554,26492,28906
13600000,1193,25023,30564,23479
13700000,7507,27808,32888,21000
13800000,653,22090,36121,29345
13900000,193,26066,30848,30662
14000000,511,29250,23757,19404
14100000,103,31895,27858,22738
14200000,38,23547,34642,28324
14300000,0,25838,11705,18268
14400000,0,23600,20974,31995
14500000,0,16108,20784,20486
14600000,0,12615,37937,22846
14700000,1076,25693,36562,22211
14800000,0,22054,40247,20524
14900000,0,21274,29011,26275
15000000,2189,26706,27184,31440
15100000,277,19280,40602,27126
15200000,1246,15536,34775,19296
15300000,0,11712,32700,11388
15400000,575,15854,39040,16038
15500000,7852,16998,40777,19699
15600000,1438,21853,18225,14665
15700000,3347,17489,29476,13690
15800000,5740,17895,37061,16115
15900000,242,20408,26431,20836
16000000,1066,17110,9268,34272
16100000,1312,23239,4879,25861
16200000,0,15528,22209,19781
16300000,0,7050,7646,17943
16400000,7734,24363,13849,30194
16500000,7244,30351,23924,28832
16600000,12356,24305,33287,22364
16700000,12103,25045,33750,21915
16800000,20315,18159,21830,24417
16900000,8683,27800,33843,20237
17000000,7665,25071,26276,27054
17100000,4364,26790,30476,28903
17200000,16732,26054,15464,31811
17300000,2973,28069,25684,24960
17400000,3057,22953,22125,38808
17500000,739,21996,23643,29272
17600000,3788,25710,22263,27673
17700000,3457,23860,23855,28231
17800000,3738,31197,25324,30852
17900000,3208,26642,24446,25206
18000000,447,17913,22251,18227
18100000,1247,20112,30319,20660
18200000,445,22829,28131,16625
18300000,2390,22815,33468,22102
18400000,768,20802,24694,20031
18500000,0,3550,8133,5435
18600000,256,12219,19360,11909
18700000,1561,28630,27524,18625
18800000,3336,4014,11088,5867
19600000,0,4257,2849,5644
19700000,0,19662,5185,12631
19800000,2399,28170,18846,13462
19900000,0,11058,8198,12155
20000000,0,9726,13822,8056
20100000,0,13955,26665,15826
20200000,1261,22380,20665,33591
20300000,0,14290,16727,16442
20400000,0,10496,12594,10826
20500000,0,26554,25586,19146
20600000,990,21257,37435,18256
20700000,2161,19375,37503,18992
20800000,5846,21335,36768,19238
20900000,1928,22141,32868,22334
21000000,6285,25423,24072,26054
21100000,3896,13949,38303,25319
21200000,2474,23229,38954,20993
21300000,611,14921,42188,24970
21400000,2560,23743,24735,31522
21500000,2594,25899,25541,27087
21600000,5452,19453,19696,19095
21700000,824,17583,19120,23207
21800000,928,23883,22234,22117
21900000,1647,20059,16624,23533
22000000,2558,34112,25282,25175
22100000,6573,27016,25190,27036
22200000,3069,24303,35307,25013
22300000,3453,25248,31676,26970
22400000,3152,25492,29380,24558
22500000,1870,19287,28877,27695
22600000,3541,29223,32166,22847
22700000,947,23470,36723,24796
22800000,3978,27365,30578,25833
22900000,4662,21960,32744,26474
23000000,5752,24039,27193,29655
23100000,6080,22380,25146,31526
23200000,5678,24620,29184,28298
23300000,4389,30681,28451,29284
23400000,3506,20900,21083,20347
23500000,3304,18627,27673,26594
23600000,4157,23322,37069,22395
23700000,4139,26100,28029,30193
23800000,4731,23105,27694,18915
23900000,1643,17255,28968,29426
24000000,519,21598,31643,25258
24100000,607,18832,35397,21689
24200000,6855,19463,27562,31854
24300000,3428,27665,29017,25644
24400000,4325,27565,29585,23308
24500000,372,23171,38126,25174
24600000,1209,19486,21960,37928
24700000,1295,32744,25927,26055
24800000,537,23249,26628,35978
24900000,2301,26246,33381,28193
25000000,2788,18724,34273,22822
25100000,5762,19521,28572,30101
25200000,2016,23266,31047,20385
25300000,1671,24030,28954,26271
25400000,2855,17002,27120,27446
25500000,4400,25255,28322,26139
25600000,8033,26791,24856,26708
25700000,5024,21346,27908,31315
25800000,9569,30018,34381,16087
25900000,6971,23876,34163,25754
26000000,1985,21813,20461,31135
26100000,248,18113,25552,25920
26200000,4592,20449,27809,26868
26300000,1556,19348,23133,19842
26400000,2521,24886,34282,23611
26500000,4949,31798,31697,18022
26600000,3218,18764,20995,28030
26700000,1093,22364,22116,22587
26800000,747,20087,23054,28840
26900000,2156,23205,29789,30387
27000000,1736,28914,30243,24162
27100000,4092,25983,25524,22144
27200000,833,22495,27917,37944
27300000,1884,19859,26306,20322
27400000,3256,29892,32175,22924
27500000,5018,27972,28669,30421
27600000,6970,28763,20267,37501
27700000,7900,24656,36560,23206
27800000,356,25823,32935,29747
27900000,1329,26917,31411,22796
28000000,2393,25179,31798,28773
28100000,0,22805,27827,32747
28200000,1208,25115,32985,30616
28300000,2578,16855,23134,34320
28400000,1579,23585,30174,25005
28500000,0,24585,22418,25946
28600000,6945,18130,26622,32866
28700000,6766,24961,24680,32571
28800000,5087,18478,22504,23104
28900000,4884,27106,23438,18134
29000000,180,19634,33713,19978
29100000,1162,22012,27387,29469
29200000,1507,19655,24989,23447
29300000,5053,20817,25991,29582
29400000,3380,22114,25526,25671
29500000,3631,22045,20026,24999
29600000,360,21972,19242,24476
29700000,3538,27320,33579,23746
29800000,4941,22170,34108,23921
29900000,2161,21513,36407,18989
30000000,8185,26526,26875,25947
30100000,7863,22164,24101,20047
30200000,12214,20855,24365,18150
30300000,9115,24341,23000,27459
30400000,12130,14295,37659,22028
30500000,26545,19474,23099,24477
30600000,22171,21442,19471,29688
30700000,15627,22865,26688,27542
30800000,13825,21980,29836,22778
30900000,3238,22495,24524,25953
31000000,8349,21243,23186,25971
31100000,5005,23367,32640,16461
31200000,10559,16963,27150,23620
31300000,10074,22813,26791,19895
31400000,8687,21592,21308,26972
31500000,2870,27342,23840,26141
31600000,2917,24310,19100,23764
31700000,970,9299,32940,10646
31800000,1386,23376,14231,8648
31900000,1707,11059,21286,24230
32000000,1828,16905,20110,22462
32100000,7489,26406,26631,22221
32200000,5207,22713,28007,23794
32300000,2966,23495,21584,22403
32400000,1343,21604,21638,14106
32500000,2046,23266,18592,23938
32600000,2859,24311,22547,17195
32700000,8449,19978,24633,33133
32800000,21321,17777,22411,26135
32900000,13253,21572,24395,23387
33000000,15461,19765,29451,19184
33100000,2401,24139,20883,28274
33200000,4201,19944,26309,21574
33300000,10046,23246,23361,18108
33400000,2415,18112,26905,24834
33500000,4470,20728,41837,18246
33600000,7841,28275,23785,23115
33700000,1980,25553,26372,26231
33800000,1376,17138,27306,32098
33900000,7231,22023,23506,27250
34000000,1089,24339,32675,21327
34100000,6259,28132,27404,21718
34200000,16402,17830,27866,26959
34300000,13469,21580,28501,23477
34400000,8771,18776,27278,25796
34500000,9641,21241,23479,31282
34600000,12938,29094,22266,20452
34700000,13076,24410,32618,21085
34800000,19234,22703,23911,26555
34900000,9875,24985,29943,25583
35000000,4158,29576,31934,19676
35100000,7489,23497,22501,25856
35200000,7614,25067,28263,28693
35300000,7058,22897,31759,27370
35400000,2411,30350,25182,30963
35500000,14609,24333,28905,21488
35600000,5778,24545,30757,21880
