position,V0,V1,V2,V3
0,637,19570,15179,10369
100000,1081,21728,23147,29156
200000,774,23017,19704,22497
300000,1910,25932,27296,31999
400000,2324,19879,32523,30737
500000,1182,23850,33034,26211
600000,858,27325,32797,21757
700000,4746,19060,26335,34049
800000,3875,22097,27301,28014
900000,3896,22141,23968,29337
1000000,6181,28001,33387,22387
1100000,6827,28080,28347,26507
1200000,5325,28196,26261,29418
1300000,5014,28235,23826,30927
1400000,2998,30183,26493,29359
1500000,6195,28710,28755,28001
1600000,4407,28846,29989,29106
1700000,6609,22122,33600,31802
1800000,8003,26287,29410,26701
1900000,8625,24177,33028,29477
2000000,10993,23190,26109,32572
2100000,3614,27813,30116,26630
2200000,5576,23665,30158,30337
2300000,10640,26336,24439,29405
2400000,19396,21016,24678,24831
2500000,8176,22380,28431,30027
2600000,11105,23357,30625,23773
2700000,9763,26842,29221,29240
2800000,4511,26309,33387,30686
2900000,4129,30769,28984,30718
3000000,3878,27485,28000,30765
3100000,3518,26596,30222,30172
3200000,7566,22830,31718,29429
3300000,2786,28450,32815,28901
3400000,9741,30292,25072,29357
3500000,5037,24639,27210,27187
3600000,5161,28812,28336,30260
3700000,9452,24782,29145,32715
3800000,5612,21517,31047,38013
3900000,6274,24731,30681,29201
4000000,7066,27164,29592,24931
4100000,12371,14784,20187,27020
4200000,3276,25285,24419,30219
4300000,4447,23686,35380,23803
4400000,8931,23376,32859,25340
4500000,2850,27804,22262,30888
4600000,4490,25717,27162,28527
4700000,5890,21401,29032,31981
4800000,13170,15452,22650,28103
4900000,10887,22688,24159,25907
5000000,9406,23212,28029,14101
5100000,6740,27930,26863,27054
5200000,6081,26981,23508,33967
5300000,3914,21660,29549,33261
5400000,574,24724,31216,32903
5500000,1102,28023,29614,31314
5600000,9330,23183,31381,28316
5700000,4707,20806,26858,37051
5800000,4002,18763,23083,38876
5900000,3049,18783,27025,29999
6000000,3062,25448,27977,27628
6100000,2330,29256,31824,23432
6200000,2789,25101,31639,27066
6300000,252,19425,30350,34150
6400000,1998,20861,26929,18058
6500000,1053,20885,30227,28438
6600000,1206,19880,28453,28296
6700000,5688,17076,29212,30708
6800000,5439,18606,31276,26738
6900000,4666,19426,32371,27890
7000000,6770,13273,24568,32568
7100000,7120,11756,26425,40053
7200000,4715,18252,27167,30509
7300000,5026,20416,28869,22423
7400000,10332,19239,16445,18854
7500000,24176,23966,21024,17517
7600000,9465,31526,22179,21634
7700000,2914,28819,26041,27766
7800000,4417,39229,21785,21355
7900000,5013,35183,22877,22714
8000000,6450,29671,22642,28900
8100000,6328,28161,27850,29757
8200000,3379,21377,25907,26949
8300000,11363,29269,23617,26148
8400000,2668,25967,25327,26319
8500000,4675,25064,25288,29202
8600000,1989,19720,29752,36949
8700000,7264,25479,23713,32856
8800000,5018,28445,26246,25846
8900000,1756,25799,27399,34279
9000000,1789,19782,27065,28113
9100000,1057,33452,29061,26916
9200000,855,28013,32137,27956
9300000,2737,25451,31139,30492
9400000,2464,27018,28328,23694
9500000,1290,24999,29717,28036
9600000,1897,27609,27740,30199
9700000,687,24912,29704,28660
9800000,3304,16070,18988,18938
9900000,6801,27058,20010,31972
10000000,4863,27716,18438,28249
10100000,7199,23024,21145,30408
10200000,10527,23761,23056,33154
10300000,10221,23437,23321,32689
10400000,5696,22311,30438,24988
10500000,8328,25539,27134,27805
10600000,8742,25037,31362,25221
10700000,7027,24469,31490,23630
10800000,5134,18466,41821,18670
10900000,8924,21281,29049,24149
11000000,13228,22835,20489,27005
11100000,11920,22684,17162,29426
11200000,5283,27706,22064,21792
11300000,5294,26401,18220,30632
11400000,4510,26567,22633,20109
11500000,1603,25194,27060,28478
11600000,5786,21069,26799,22009
11700000,4725,25154,22704,27641
11800000,7888,20313,27493,20492
11900000,6265,23763,22890,27232
12000000,3186,24021,28654,29134
12100000,8423,19281,27767,22537
12200000,4612,22009,27707,19822
12300000,4414,21492,26004,23308
12400000,6613,25879,28659,22407
12500000,7491,19469,23714,37701
12600000,6602,24615,20087,23169
12700000,1808,16256,23274,19035
12800000,2562,26112,26467,29398
12900000,3353,23829,34508,20405
13000000,1151,17031,28794,21539
13100000,2748,11359,22053,12540
13200000,5001,14037,32619,19578
13300000,719,16644,40894,18898
13400000,3821,27728,28799,22125
13500000,4169,19487,30898,20648
13600000,1496,17366,21871,16269
13700000,5610,26250,18984,24419
13800000,2740,28662,28819,23089
13900000,5948,22358,27302,26990
14000000,5395,19618,31733,23591
14100000,2609,16453,45424,19667
14200000,143,20589,32943,19448
14300000,3252,23030,19819,24713
14400000,2774,26112,17316,22683
14500000,1237,26250,18577,31959
14600000,3932,23229,27320,21763
14700000,108,34091,20756,16792
14800000,0,5205,4135,3509
14900000,2675,21966,19714,29467
15000000,0,15704,20411,34216
15100000,0,1735,6233,3946
