position,V0,V1,V2,V3
0,0,768,1094,1055
100000,140,8099,9794,8557
200000,489,9406,13539,12269
300000,2291,18105,25993,19956
400000,545,11565,8297,8321
500000,4566,14029,17061,21473
600000,919,18177,23222,25130
700000,2222,17737,25284,17937
800000,3444,19573,24486,22462
900000,5473,15806,25570,28007
1000000,5542,15245,26942,26827
1100000,6930,15076,11975,11129
1200000,6931,17127,22923,28901
1300000,830,792,1111,1935
1400000,4245,9260,23928,24167
1500000,3759,24659,21095,25446
1600000,3002,21177,28602,27039
1700000,6839,25847,23754,22221
1800000,802,21716,28222,23978
1900000,7837,18733,25714,26928
2000000,5817,13195,20159,22902
2100000,5678,16778,23917,18729
2200000,6470,14421,19992,19779
2300000,5199,16898,28477,21548
2400000,5505,23383,21697,27918
2500000,4142,19810,17793,18040
2600000,5075,23227,25108,17894
2700000,7772,21061,11727,11704
2800000,4828,24286,18959,22717
2900000,6715,20935,16462,13528
3000000,12206,21458,17598,14735
3100000,4593,17723,18560,18696
3200000,4105,17402,22102,17586
3300000,8411,23310,17788,18005
3400000,4145,20637,31975,21379
3500000,5269,22486,29895,29880
3600000,9353,18567,30633,22699
3700000,5457,13687,17058,19070
3800000,6743,22085,29257,30602
3900000,6379,20016,38921,24791
4000000,5531,17940,39942,23753
4100000,6977,20770,29901,30726
4200000,7433,23547,28843,29389
4300000,13674,26909,19790,26888
4400000,14248,25264,26294,29869
4500000,2971,23189,27029,30328
4600000,7374,22378,27465,30287
4700000,1415,10282,7580,9479
