Seq_id,Strand,Start,End,Length,Block
6,+,85483548,85504405,20857,3455
16,+,79949545,79964151,14606,3455
6,+,85444612,85467641,23029,3454
16,+,79931131,79948463,17332,3454
6,+,85404551,85427228,22677,3453
16,+,79909969,79930571,20602,3453
6,+,85390790,85402573,11783,3452
16,+,79895921,79905992,10071,3452
6,+,85385484,85390790,5306,3451
16,+,79890510,79895605,5095,3451
6,+,85374906,85382262,7356,3450
16,+,79883285,79889886,6601,3450
6,+,85308592,85361549,52957,3449
16,+,79830131,79873013,42882,3449
6,+,85274750,85281234,6484,3448
16,+,79806648,79812708,6060,3448
6,+,85186289,85245026,58737,3447
16,+,79736702,79789796,53094,3447
6,+,85171837,85181459,9622,3446
16,+,79723439,79732409,8970,3446
6,+,85144899,85164364,19465,3445
16,+,79699536,79718069,18533,3445
6,+,85127866,85138656,10790,3444
16,+,79685636,79695444,9808,3444
6,+,85118826,85127556,8730,3443
16,+,79677328,79685255,7927,3443
6,+,85109807,85118826,9019,3442
16,+,79668733,79677039,8306,3442
6,+,85097894,85108836,10942,3441
16,+,79658137,79668479,10342,3441
6,+,85075751,85089358,13607,3440
16,+,79641824,79653856,12032,3440
6,+,85068475,85075518,7043,3439
16,+,79635510,79641542,6032,3439
6,+,85037920,85057267,19347,3438
16,+,79609682,79627970,18288,3438
6,+,85025559,85032030,6471,3437
16,+,79602924,79608955,6031,3437
6,+,85015760,85022954,7194,3436
16,+,79596397,79602238,5841,3436
6,+,84992929,85003163,10234,3435
16,+,79578757,79587663,8906,3435
6,+,84967738,84984583,16845,3434
16,+,79564026,79578335,14309,3434
6,+,84947309,84959250,11941,3433
16,+,79550306,79560879,10573,3433
6,+,84906393,84931057,24664,3432
16,+,79526490,79547556,21066,3432
6,+,84868669,84897397,28728,3431
16,+,79499728,79525187,25459,3431
6,+,84854230,84865272,11042,3430
16,+,79489101,79499320,10219,3430
6,+,84800251,84810356,10105,3429
16,+,79446483,79455158,8675,3429
6,+,84777652,84796782,19130,3428
16,+,79425838,79443478,17640,3428
6,+,84753597,84764714,11117,3427
16,+,79407082,79417306,10224,3427
6,+,84729345,84750693,21348,3426
16,+,79384555,79404049,19494,3426
6,+,84717587,84725979,8392,3425
16,+,79374715,79382522,7807,3425
6,+,84675109,84705726,30617,3424
16,+,79337770,79365926,28156,3424
6,+,84658850,84667121,8271,3423
16,+,79324578,79332149,7571,3423
6,+,84646856,84652865,6009,3422
16,+,79318190,79323703,5513,3422
6,+,84637600,84646856,9256,3421
16,+,79309248,79317405,8157,3421
6,+,84606018,84631945,25927,3420
16,+,79281767,79305574,23807,3420
6,+,84596961,84604339,7378,3419
16,+,79272461,79279435,6974,3419
6,+,84569815,84577676,7861,3418
16,+,79263839,79270185,6346,3418
6,+,84530051,84556730,26679,3417
16,+,79224761,79248829,24068,3417
6,+,84515245,84526012,10767,3416
16,+,79215588,79224478,8890,3416
6,+,84504117,84513169,9052,3415
16,+,79206038,79215022,8984,3415
6,+,84496198,84503417,7219,3414
16,+,79198348,79204734,6386,3414
6,+,84474799,84490998,16199,3413
16,+,79179929,79194551,14622,3413
6,+,84466964,84474667,7703,3412
16,+,79172783,79179422,6639,3412
6,+,84458787,84466475,7688,3411
16,+,79165345,79172491,7146,3411
6,+,84448064,84456657,8593,3410
16,+,79157139,79164032,6893,3410
6,+,84437062,84442783,5721,3409
16,+,79148755,79153879,5124,3409
6,+,84335487,84341042,5555,3408
16,+,79060037,79065347,5310,3408
6,+,84326170,84335023,8853,3407
16,+,79051691,79059833,8142,3407
6,+,84319203,84325303,6100,3406
16,+,79045628,79051201,5573,3406
6,+,84304053,84316594,12541,3405
16,+,79033572,79045418,11846,3405
6,+,84288521,84300458,11937,3404
16,+,79021928,79033181,11253,3404
6,+,84272147,84285757,13610,3403
16,+,79002221,79014560,12339,3403
6,+,84222567,84237090,14523,3402
16,+,78974336,78986999,12663,3402
6,+,84200561,84211801,11240,3401
16,+,78954968,78965152,10184,3401
6,+,84170875,84182258,11383,3400
16,+,78927563,78938171,10608,3400
6,+,84140841,84161850,21009,3399
16,+,78905840,78924225,18385,3399
6,+,84115819,84126107,10288,3398
16,+,78890858,78900477,9619,3398
6,+,84096330,84111998,15668,3397
16,+,78876261,78890458,14197,3397
6,+,84084770,84093271,8501,3396
16,+,78866409,78874321,7912,3396
6,+,84066502,84081463,14961,3395
16,+,78846367,78860018,13651,3395
6,+,84047476,84058664,11188,3394
16,+,78826062,78836412,10350,3394
6,+,84028009,84043836,15827,3393
16,+,78809813,78823483,13670,3393
6,+,83999556,84028009,28453,3392
16,+,78781938,78809257,27319,3392
6,+,83985762,83994153,8391,3391
16,+,78769579,78776911,7332,3391
6,+,83960337,83970069,9732,3390
16,+,78756480,78764424,7944,3390
6,+,83898365,83924621,26256,3389
16,+,78732800,78756200,23400,3389
6,+,83880607,83887358,6751,3388
16,+,78722137,78728483,6346,3388
6,+,83875280,83880564,5284,3387
16,+,78716264,78721283,5019,3387
6,+,83848123,83865214,17091,3386
16,+,78701011,78715977,14966,3386
6,+,83838151,83847082,8931,3385
16,+,78691518,78699360,7842,3385
6,+,83733043,83802523,69480,3384
16,+,78625361,78669527,44166,3384
6,+,83665739,83673954,8215,3383
16,-,78548477,78542039,6438,3383
6,+,83614098,83634635,20537,3382
16,-,78588393,78569933,18460,3382
6,+,83580297,83587990,7693,3381
16,+,78504125,78512009,7884,3381
6,+,83543876,83551888,8012,3380
16,+,78475802,78482477,6675,3380
6,+,83472548,83505527,32979,3379
16,+,78423152,78452023,28871,3379
6,+,83426285,83444532,18247,3378
16,+,78387317,78403450,16133,3378
6,+,83418503,83426199,7696,3377
16,+,78379770,78386785,7015,3377
6,+,83390758,83406853,16095,3376
16,+,78357025,78370673,13648,3376
6,+,83383395,83390512,7117,3375
16,+,78349727,78356417,6690,3375
6,+,83354308,83366785,12477,3374
16,+,78323232,78334381,11149,3374
6,+,83333179,83352099,18920,3373
16,+,78304922,78322069,17147,3373
6,+,83317531,83333095,15564,3372
16,+,78290071,78304616,14545,3372
6,+,83307173,83314741,7568,3371
16,+,78279573,78286473,6900,3371
6,+,83294878,83300827,5949,3370
16,+,78272841,78277859,5018,3370
6,+,83270776,83280831,10055,3369
16,+,78247173,78256408,9235,3369
6,+,83254539,83262004,7465,3368
16,+,78229504,78236359,6855,3368
6,+,83223118,83250428,27310,3367
16,+,78202505,78226409,23904,3367
6,+,83196330,83219544,23214,3366
16,+,78180436,78200818,20382,3366
6,+,83188644,83194295,5651,3365
16,+,78173793,78179092,5299,3365
6,+,83180242,83186526,6284,3364
16,+,78163958,78170260,6302,3364
6,+,83134097,83147669,13572,3363
16,+,78131433,78143879,12446,3363
6,+,83106223,83130152,23929,3362
16,+,78108254,78129091,20837,3362
6,+,83096246,83104560,8314,3361
16,+,78098784,78105998,7214,3361
6,+,83078694,83095095,16401,3360
16,+,78083218,78098560,15342,3360
6,+,83061873,83076582,14709,3359
16,+,78067457,78081097,13640,3359
6,+,83041661,83050460,8799,3358
16,+,78050329,78058066,7737,3358
6,+,83031901,83037724,5823,3357
16,+,78041080,78046385,5305,3357
6,+,83012703,83029390,16687,3356
16,+,78025237,78040305,15068,3356
6,+,82996021,83012572,16551,3355
16,+,78010037,78024925,14888,3355
6,+,82962170,82991062,28892,3354
16,+,77978760,78005793,27033,3354
6,+,82942621,82957027,14406,3353
16,+,77965099,77978508,13409,3353
6,+,82927172,82940835,13663,3352
16,+,77952161,77964763,12602,3352
6,+,82906935,82926161,19226,3351
16,+,77933878,77951898,18020,3351
6,+,82894704,82905180,10476,3350
16,+,77923131,77933253,10122,3350
6,+,82886986,82894685,7699,3349
16,+,77915883,77922816,6933,3349
6,+,82859378,82879394,20016,3348
16,+,77889767,77908144,18377,3348
6,+,82851110,82859309,8199,3347
16,+,77882035,77889497,7462,3347
6,+,82824027,82851110,27083,3346
16,+,77855224,77881802,26578,3346
6,+,82811903,82820400,8497,3345
16,+,77842720,77850921,8201,3345
6,+,82796566,82810284,13718,3344
16,+,77829108,77842151,13043,3344
6,+,82780886,82790867,9981,3343
16,+,77813869,77823625,9756,3343
6,+,82747931,82779117,31186,3342
16,+,77784557,77813568,29011,3342
6,+,82697301,82744916,47615,3341
16,+,77741436,77784146,42710,3341
6,+,82674897,82688551,13654,3340
16,+,77719685,77732259,12574,3340
6,+,82661387,82672705,11318,3339
16,+,77707177,77717410,10233,3339
6,+,82635353,82660748,25395,3338
16,+,77682767,77705876,23109,3338
6,+,82607107,82633757,26650,3337
16,+,77656494,77680934,24440,3337
6,+,82585567,82602871,17304,3336
16,+,77635765,77652361,16596,3336
6,+,82573430,82582662,9232,3335
16,+,77623148,77631667,8519,3335
6,+,82549071,82561058,11987,3334
16,+,77605750,77616547,10797,3334
6,+,82532680,82543927,11247,3333
16,+,77592995,77602300,9305,3333
6,+,82523239,82532062,8823,3332
16,+,77584571,77592675,8104,3332
6,+,82511992,82518861,6869,3331
16,+,77578055,77584251,6196,3331
6,+,82503470,82511323,7853,3330
16,+,77568884,77576362,7478,3330
6,+,82496660,82502700,6040,3329
16,+,77562912,77568652,5740,3329
6,+,82476956,82491440,14484,3328
16,+,77548761,77560366,11605,3328
6,+,82467868,82476956,9088,3327
16,+,77539582,77548331,8749,3327
6,+,82454055,82462501,8446,3326
16,+,77526046,77533411,7365,3326
6,+,82437429,82452093,14664,3325
16,+,77509413,77523246,13833,3325
6,+,82423398,82435753,12355,3324
16,+,77498149,77509149,11000,3324
6,+,82415146,82423398,8252,3323
16,+,77489787,77497794,8007,3323
6,+,82372689,82413818,41129,3322
16,+,77452314,77489320,37006,3322
6,+,82348643,82364512,15869,3321
16,+,77423669,77438701,15032,3321
6,+,82335030,82343856,8826,3320
16,+,77411841,77420120,8279,3320
6,+,82325723,82332080,6357,3319
16,+,77402350,77408159,5809,3319
6,+,82313405,82325659,12254,3318
16,+,77390452,77402071,11619,3318
6,+,82276544,82309309,32765,3317
16,+,77357196,77388249,31053,3317
6,+,82265788,82275471,9683,3316
16,+,77347871,77356774,8903,3316
6,+,82228423,82263062,34639,3315
16,+,77314151,77346311,32160,3315
6,+,82216698,82222883,6185,3314
16,+,77303019,77308474,5455,3314
6,+,82189871,82196106,6235,3313
16,+,77282818,77288561,5743,3313
6,+,82165587,82173219,7632,3312
16,+,77263281,77269566,6285,3312
6,+,82148668,82163806,15138,3311
16,+,77248001,77261971,13970,3311
6,+,82115313,82131807,16494,3310
16,+,77225114,77239930,14816,3310
6,+,82078805,82115313,36508,3309
16,+,77189868,77224311,34443,3309
6,+,82059237,82072806,13569,3308
16,+,77169735,77182526,12791,3308
6,+,82018696,82033201,14505,3307
16,+,77131570,77144903,13333,3307
6,+,81975903,82015873,39970,3306
16,+,77092631,77129173,36542,3306
6,+,81944721,81960279,15558,3305
