position,V0,V1,V2,V3
0,27,8790,9195,15449
100000,743,12702,14016,10563
200000,0,9317,16181,13516
300000,1683,14216,19250,19882
400000,630,7925,11086,12368
500000,0,2759,9212,19279
600000,61,11029,27044,17250
700000,1450,21766,25705,22712
800000,1410,16500,33853,23996
900000,6740,14498,14982,26054
1000000,7118,22241,13852,32536
1100000,7010,30154,17104,24164
1200000,27188,13201,11946,17449
1300000,22382,13919,15497,19421
1400000,22093,19015,13227,20996
1500000,12564,18207,28818,21831
1600000,19186,15515,20020,25797
1700000,8907,17083,29022,21400
1800000,7465,23698,24414,26207
1900000,6686,25001,29022,26035
2000000,11490,27856,20960,21545
2100000,5915,27614,23838,22135
2200000,4156,25232,27719,23235
2300000,7646,25089,27611,27194
2400000,8295,22150,30266,21821
2500000,5563,26640,28308,26604
2600000,11694,24938,26818,23586
2700000,7877,26819,26142,27691
2800000,10954,17750,25988,30051
2900000,3788,18865,29605,25241
3000000,3208,7927,12943,8382
3100000,6161,17617,31607,22370
3200000,3181,22519,24917,20751
3300000,1977,15285,23900,23109
3400000,3268,17953,26230,16745
3500000,1959,19491,21106,20969
3600000,2013,18449,29138,23611
3700000,4406,22298,21399,20268
3800000,6277,24667,23890,24427
3900000,3909,27453,25886,24071
4000000,7503,24064,24341,19615
4100000,16436,20243,24055,29132
4200000,6782,19553,24924,22914
4300000,5438,19267,26512,19511
4400000,10700,21059,23413,21488
4500000,8585,14978,22618,22396
4600000,7442,18720,25038,12194
4700000,8394,16404,24405,15885
4800000,2635,7363,9671,9270
4900000,6911,16821,19733,16724
5000000,11368,17079,14095,13230
5100000,10962,21807,12371,17208
5200000,9100,13497,15031,15246
5300000,12821,16338,17924,21366
5400000,10158,18791,20577,15574
5500000,7799,17175,16112,22268
5600000,4593,20008,22776,22171
5700000,7114,19891,20937,26040
5800000,10725,23460,26011,18390
5900000,9652,28545,23933,18320
6000000,19521,22855,23425,19897
6100000,11964,25764,22660,27418
6200000,8443,20938,33381,29355
6300000,10974,29550,24196,28100
6400000,6809,25615,28667,28290
6500000,6025,21096,24794,39818
6600000,7330,22675,22765,40051
6700000,8387,20375,21371,21692
6800000,17555,22564,20584,22320
6900000,5673,25688,23945,25698
7000000,855,29416,17357,25867
7100000,1086,28994,22421,25989
7200000,2645,17562,12933,9587
7300000,946,25668,35816,20234
7400000,751,23023,35215,22411
7500000,7214,27866,22195,18865
7600000,2038,25114,31140,26434
7700000,4268,23638,27663,28536
7800000,11384,23860,23423,27009
7900000,11821,23321,27615,25472
8000000,10108,23799,26883,24212
8100000,6986,23761,24100,26609
8200000,908,14669,10579,13495
8300000,3338,13178,9389,11625
8400000,5860,21605,26876,24655
8500000,5737,27291,27439,26053
8600000,2705,25312,33134,29405
8700000,3101,24127,33324,27493
8800000,2735,21979,25806,25662
8900000,1889,22439,22176,19387
9000000,3050,26041,16428,22073
9100000,2091,25886,27470,27756
9200000,4207,28132,26472,22101
9300000,2043,26782,30757,31260
9400000,3777,26633,31346,26397
9500000,4018,25938,27781,28497
9600000,3329,21283,33156,21712
9700000,1181,19649,30046,27578
9800000,2124,22421,33990,20285
9900000,3214,30538,26505,21575
10000000,176,16886,15943,37463
10100000,916,26149,21913,26930
10200000,3244,27027,28013,22204
10300000,1338,28433,25249,25718
10400000,614,31320,16590,21025
10500000,567,20431,18482,20442
10600000,202,19801,25286,18035
10700000,735,22399,24697,30032
10800000,1281,17231,26717,21595
10900000,1608,22723,21325,17706
11000000,4529,25979,28384,24569
11100000,1855,22883,22330,22346
11200000,5721,26893,20433,16879
11300000,3831,26021,26700,20752
11400000,1310,26081,27209,22634
11500000,5212,25061,28185,26528
11600000,4002,20301,28477,26394
11700000,4551,25060,19887,26771
11800000,5798,29114,27897,26545
11900000,3328,26117,26541,24130
12000000,4648,24707,22464,25385
12100000,1833,29699,25689,22556
12200000,3706,24251,26128,27069
12300000,985,21328,26562,17948
12400000,705,25959,22666,25729
12500000,809,24076,27522,30122
12600000,3420,19993,25677,24616
12700000,3468,26263,24805,22705
12800000,2848,25158,25286,22825
12900000,3052,23883,23373,21931
13000000,2799,20900,21813,19530
13100000,524,17646,22070,26080
13200000,586,20298,18676,31413
13300000,5701,30256,19733,20097
13400000,6873,26888,23193,20619
13500000,4039,26261,26964,24594
13600000,1726,25995,23520,20557
13700000,624,22294,24305,22710
13800000,5062,24884,26527,22921
13900000,2464,25123,25958,22212
14000000,746,16947,18810,20845
14100000,216,20558,24182,23917
14200000,1687,25434,29437,24433
14300000,296,28696,25499,25528
14400000,2752,27459,27209,22211
14500000,0,15250,13733,15210
14600000,2499,27443,22041,26595
14700000,7663,30145,30155,22211
14800000,10983,22881,25090,28322
14900000,8240,24396,22725,25947
15000000,12256,22648,19811,20167
15100000,9343,22892,29031,22416
15200000,6555,21796,27182,24867
15300000,4457,16916,21398,23998
15400000,7517,18612,24183,16409
15500000,4397,19475,29102,16454
15600000,2709,23112,25458,22983
15700000,4079,26897,27314,26185
15800000,8446,23860,22644,22278
15900000,12304,28882,24533,21774
