position,V0,V1,V2,V3
0,7757,17679,36607,9812
100000,25191,17213,24487,8535
200000,43188,14906,11815,13215
300000,11888,19264,22637,29036
400000,1829,18117,21180,18291
500000,4039,22077,23203,15344
600000,3833,6837,12067,19382
700000,2384,19613,20412,28151
800000,7132,14046,28868,26060
900000,4351,26606,22141,26822
1000000,2343,10535,9968,62773
1100000,5423,13580,14029,54963
1200000,5807,9814,31620,37169
1300000,12022,18879,29054,34082
1400000,11244,24469,32031,21984
1500000,11068,31253,16087,19679
1600000,15319,25156,25612,20390
1700000,15856,24871,20295,31338
1800000,4778,20887,30869,27735
1900000,9323,31949,20260,23490
2000000,6215,21630,28905,21126
2100000,10986,25895,27881,15320
2200000,5574,25976,26570,25636
2300000,4696,34458,24391,18701
2400000,8303,26131,25684,28008
2500000,3112,29119,23052,25247
2600000,1625,17583,29456,34024
2700000,5609,17045,27351,33448
2800000,11450,16059,22406,32422
2900000,20689,21118,11185,29786
3000000,13294,26210,20145,28439
3100000,1717,26255,24097,36636
3200000,2330,35946,32742,16968
3300000,4318,26937,29049,23206
3400000,3848,25442,32522,27122
3500000,3885,18169,16136,15815
3600000,7039,28321,23590,30786
3700000,20021,24999,21743,23708
3800000,37090,22161,14402,20046
3900000,27478,16181,10815,38096
4000000,18722,21595,26171,27360
4100000,8332,23378,26021,32846
4200000,9823,19539,22202,30402
4300000,3100,15558,20204,20359
4400000,13939,12064,21672,25997
4500000,23308,17795,19441,20632
4600000,18138,28848,22907,21593
4700000,13214,30129,23371,21223
4800000,9075,18159,20765,18937
4900000,1802,10586,30208,18989
5000000,916,16199,39050,19709
5100000,5008,23729,22742,28429
5200000,3660,27000,19644,20608
5300000,16465,30245,20521,17747
5400000,8998,29298,19863,25417
5500000,14094,26930,19091,27266
5600000,11808,27568,24833,23740
5700000,9645,20298,22872,34358
5800000,9741,20857,15318,21970
5900000,11938,29319,20438,19910
6000000,8728,21904,20816,22838
6100000,10898,23083,21841,21759
6200000,15088,20248,19852,22532
6300000,9299,21782,25513,20806
6400000,1080,13301,26568,11549
6500000,2008,6852,15842,15199
6600000,5238,18199,26407,32097
6700000,8206,19134,23993,18684
