position,V0,V1,V2,V3
0,3230,6869,11052,10229
100000,2206,12141,13380,8522
200000,5358,10529,11138,9837
300000,568,19002,16347,16367
400000,2765,12516,8279,9542
500000,380,8443,6487,10976
600000,1507,21583,11062,14574
700000,1998,24236,23041,17469
800000,6542,27903,16043,18762
900000,6137,16104,18823,22337
1000000,955,16127,23759,34164
1100000,361,12349,17299,29053
1200000,1264,4030,11996,15134
1300000,605,3439,5063,14674
1400000,168,472,3128,3713
1500000,6958,7953,9106,19858
1600000,8828,6175,10762,16303
1700000,4625,13610,12500,16234
1800000,1461,6636,3832,5450
2000000,0,1031,94,629
2100000,271,4317,8437,4011
2200000,0,224,0,973
2300000,0,3907,3103,3468
2400000,0,0,1543,0
2500000,0,2611,3791,1736
2700000,1959,186,601,243
2800000,374,346,555,327
2900000,0,196,267,1034
3000000,0,2315,844,3570
3300000,0,5092,121,713
3400000,582,534,1293,2324
3500000,162,862,1711,710
3600000,0,1818,797,1947
4100000,0,0,1133,732
4300000,0,0,1562,3
4400000,0,762,241,884
4500000,217,2175,318,2345
4700000,0,115,194,344
4900000,0,345,721,203
5000000,0,1645,906,4870
5100000,0,39,3062,1407
5800000,320,2434,4035,3178
6200000,0,625,0,1332
6300000,0,3270,3029,2972
6400000,0,2699,4684,3556
6500000,0,863,217,2696
6600000,0,2440,1688,665
6700000,18,228,461,1043
6900000,0,598,302,2014
7200000,803,1851,3148,2796
7300000,1002,4546,3445,746
7400000,1697,477,89,0
7500000,2575,22,2336,810
7700000,0,83,786,2591
8200000,0,0,0,354
8300000,0,0,0,384
8800000,0,1700,3255,5080
8900000,0,205,919,1810
9000000,2811,5859,1284,6614
9300000,342,2394,699,4313
9400000,0,0,548,1154
9500000,887,240,24,812
9600000,1035,4944,6289,8299
10400000,0,2583,707,1776
10600000,0,123,3962,618
10700000,0,148,348,1941
11100000,0,2795,2284,2463
11200000,3532,4237,4377,10576
11300000,3728,6440,4627,8043
11500000,0,2663,2519,5458
11600000,0,2114,540,4150
11800000,0,990,2088,5424
11900000,0,4472,3130,9763
12000000,3604,5141,3983,13722
12100000,0,4503,3627,6289
12200000,0,3699,2552,7146
12300000,0,805,0,0
12400000,0,416,456,2419
12600000,0,107,248,1066
12700000,1536,1167,1320,2474
12800000,0,398,460,908
13000000,0,645,1723,3711
13200000,0,661,911,3076
13400000,0,157,472,1279
13500000,428,1265,2644,5226
13700000,0,491,0,787
14200000,27,1036,641,3538
14300000,0,339,110,1304
14600000,0,10208,13807,16711
14700000,0,3200,3367,12286
15300000,0,1607,434,924
15500000,0,191,1756,1509
15600000,101,3135,3035,14399
15700000,0,1522,630,7714
15900000,0,4595,998,11547
16000000,0,2284,4368,12655
16100000,7,852,1666,3648
16300000,760,0,119,0
16500000,0,4443,4242,5858
16600000,0,1263,3385,6350
16900000,0,485,498,6090
17300000,2590,2462,6080,9740
18100000,0,1346,217,2662
18300000,0,2453,1460,5537
18500000,0,771,1347,985
18700000,0,1302,1208,4819
18800000,0,1668,441,548
18900000,0,435,876,2615
19000000,3934,2503,2986,6440
19300000,0,1843,1816,5967
19600000,0,1396,289,1867
19900000,0,395,340,1951
20000000,0,463,1036,1738
20100000,0,98,0,2779
20200000,0,5028,3822,17409
20300000,1045,3644,1528,8980
20400000,304,4454,7682,7493
20600000,0,3718,6381,5554
20700000,2148,4539,3024,5740
21100000,148,827,444,848
21400000,0,164,235,1575
21500000,1019,1475,1370,4478
21800000,0,886,1020,650
21900000,64,188,917,0
22000000,1243,2112,1574,2417
22100000,1029,135,479,2232
22200000,0,478,1698,28
22300000,0,48,1338,1431
22500000,315,1111,3742,5116
22600000,0,4045,1570,8554
22700000,1559,3387,2217,2891
22900000,591,1801,1218,3362
23000000,0,384,1843,1410
23100000,0,149,580,211
23200000,0,1156,0,95
23500000,0,1583,1215,404
23600000,151,2738,1373,1642
23700000,0,4375,446,479
23800000,577,2313,2667,2181
23900000,314,0,211,2181
24000000,0,947,1076,751
24500000,0,3103,461,4227
24600000,0,534,525,651
24700000,1457,2593,3931,19605
24800000,3585,9532,14050,13489
24900000,3594,3913,2181,7530
25000000,0,0,991,2799
25100000,995,412,1557,2854
25200000,0,0,1240,406
25400000,0,122,0,639
25500000,0,243,0,1639
26100000,0,0,52,1051
26200000,0,502,576,13068
26500000,2923,9064,7319,8434
26600000,0,374,1582,4007
26800000,86,2554,231,1871
27300000,465,0,207,8720
27500000,0,0,339,738
27600000,0,0,563,315
27700000,0,989,2731,2622
27800000,70,2085,1841,14171
28000000,0,4554,5882,3480
28100000,201,2035,1679,4094
28200000,0,242,629,816
28600000,219,1438,1248,1275
28800000,0,1,197,1672
28900000,0,2346,1900,1838
29000000,426,846,80,1928
29100000,0,1881,821,2042
29200000,0,166,683,678
29300000,0,265,1100,182
29500000,0,443,1836,0
29600000,0,4368,8730,4237
29700000,359,7259,5191,4179
29800000,0,272,715,200
29900000,2,1135,1794,1660
30000000,0,174,2195,567
30100000,0,2737,2952,1446
30300000,749,695,149,0
30500000,162,2636,2035,818
30800000,0,0,642,880
31000000,858,57,311,380
31400000,714,62,97,542
31700000,85,660,0,0
31800000,654,790,1161,1284
31900000,459,4205,609,1909
32000000,0,1083,0,1689
32100000,0,967,0,585
32500000,0,194,965,1132
33000000,0,528,1057,832
33100000,0,855,0,855
33500000,0,1882,1929,258
33600000,0,925,581,1397
33900000,0,1797,129,491
34000000,0,524,0,1051
34100000,0,1810,2260,3032
34200000,0,633,1407,869
34300000,0,360,830,68
34800000,0,285,230,1055
35100000,0,1256,1934,748
35200000,1154,293,320,147
35400000,0,1223,181,664
35500000,96,1081,68,3677
35800000,998,6302,2459,9147
36300000,0,937,695,2107
37000000,0,424,99,1114
37400000,107,3391,1427,1046
37500000,1528,9481,3393,3908
37600000,0,538,1045,1238
37700000,462,510,1540,3059
37800000,0,221,938,780
38800000,0,1805,733,534
39100000,0,966,574,1181
39400000,0,419,232,877
39900000,699,2886,3430,1515
40400000,0,423,128,157
40600000,0,92,534,2638
40900000,0,460,156,140
41300000,0,515,0,0
41400000,0,356,0,2146
41500000,0,1097,532,872
41600000,155,988,475,6913
41800000,0,1600,239,166
42000000,0,666,0,422
42200000,0,452,0,0
42700000,184,3447,2808,2391
42800000,0,107,0,0
43000000,0,709,0,2482
43100000,0,479,0,2752
43200000,65,0,682,452
43300000,392,0,0,0
43500000,112,0,41,789
43700000,0,0,694,0
43800000,0,639,39,728
43900000,0,350,730,741
44000000,0,0,442,3258
44200000,179,40,85,2840
44400000,12,34,619,0
44500000,0,914,623,323
44700000,306,1935,801,4117
45400000,0,0,175,2252
45500000,0,1916,86,1389
45700000,0,1003,0,809
45800000,3849,1085,1675,5047
46500000,276,2960,1617,2719
46600000,0,125,1614,1048
46800000,0,252,471,1124
46900000,0,825,530,285
47000000,0,0,736,415
47100000,0,925,0,110
47200000,0,1678,964,253
47300000,151,8169,5638,3433
47500000,0,3984,2460,3054
47600000,447,2587,2726,1845
47700000,0,6175,5803,2881
48200000,432,1220,171,625
48300000,0,45,1448,253
48400000,0,549,1226,657
48600000,0,1604,2349,449
48700000,0,2821,2007,1534
49000000,0,1283,1505,229
49100000,7,1162,3047,1221
49300000,452,0,0,0
49500000,354,1007,475,881
49700000,0,132,786,727
50000000,0,231,1243,394
50200000,0,0,1295,0
50500000,0,541,2736,1907
50800000,0,0,606,50
51000000,0,224,900,457
51100000,7565,1849,2580,8216
51500000,386,650,69,1003
51600000,0,0,553,0
51700000,0,447,1845,2527
52000000,0,0,140,550
52100000,0,0,1127,676
52200000,0,797,0,499
52400000,2362,472,0,4777
52800000,0,0,1113,873
52900000,0,0,166,1202
53100000,0,632,1009,2936
53300000,0,0,128,1628
53500000,1003,1083,690,5165
53600000,2814,336,0,8057
54000000,0,1502,133,1606
54300000,0,1311,267,0
54700000,0,1926,66,1112
55300000,1087,0,0,1910
55400000,0,569,0,1823
56300000,0,1172,5,162
57200000,0,1037,657,0
57600000,0,2842,1341,340
57700000,876,6341,3960,1665
57800000,0,0,0,1820
58000000,0,287,1867,423
58100000,0,0,494,1181
58200000,941,0,0,106
58800000,1680,2063,2054,774
58900000,329,0,326,0
59100000,1502,564,101,6815
59200000,0,0,2036,5494
60100000,0,0,0,4848
60200000,2960,483,0,118
60300000,235,2141,769,14892
60400000,961,1862,322,11924
60500000,0,118,220,2026
60800000,5148,1797,6594,7532
61000000,0,637,85,0
61200000,0,2588,322,1042
61600000,0,3480,694,0
61700000,0,7222,3715,1958
61800000,0,529,238,201
62100000,0,4023,998,3844
62400000,0,404,119,1229
62700000,0,0,1046,819
62800000,0,1290,198,1502
63100000,0,400,2392,4833
63500000,0,343,0,1630
63600000,0,0,0,1960
63700000,0,0,0,1283
63900000,0,290,0,1231
64100000,0,5721,0,0
64200000,552,6940,5289,524
64300000,0,16090,14200,8391
64400000,0,11234,7045,3372
64500000,0,4682,4647,2152
64700000,0,1630,0,323
64900000,0,0,0,1968
65000000,1427,133,0,1213
65100000,0,5211,4952,7644
65200000,1699,984,1526,3684
65300000,0,70,743,803
65700000,0,0,114,5284
65800000,0,0,1089,716
66200000,0,0,467,1026
66300000,65,140,355,2190
66800000,931,0,0,0
66900000,1670,0,0,0
67000000,33,492,0,0
67300000,838,313,335,0
67700000,0,1647,2038,1553
67800000,0,5229,4448,3297
67900000,0,3838,1859,1952
68000000,0,241,339,306
68100000,0,748,228,606
68500000,0,583,174,148
68600000,0,0,865,219
69000000,0,0,365,1380
69100000,0,1695,395,2567
69500000,0,260,0,1452
69600000,0,1880,1143,102
69700000,0,1552,1663,1502
70400000,0,179,35,1677
70600000,2564,119,1175,617
70700000,0,434,0,558
70800000,0,394,0,593
71100000,169,89,412,0
71200000,0,0,1143,236
71400000,0,0,146,3401
71600000,237,3225,2449,742
71800000,0,0,2459,0
72800000,0,417,141,741
72900000,0,957,446,988
73000000,0,1367,0,706
73100000,433,1186,844,16390
73400000,0,223,2094,387
73600000,0,176,2139,377
74500000,0,0,2,242
74700000,0,0,1890,240
75700000,0,649,1956,0
75900000,0,99,1673,109
76000000,0,101,710,0
76300000,0,1038,1340,0
76500000,0,301,2292,709
76700000,0,1502,2121,96
77300000,0,252,1832,403
77600000,0,195,1818,466
77800000,0,1766,2159,117
78000000,0,239,0,0
78100000,0,1008,1601,431
78600000,0,0,84,391
78700000,0,1429,0,3066
78900000,0,169,676,250
79100000,0,0,1238,359
79400000,0,677,0,4844
79500000,0,503,43,6065
79600000,0,245,556,7180
79800000,0,14,583,1071
79900000,0,0,0,493
80200000,0,280,2089,683
81000000,929,3121,2287,4880
81100000,0,0,0,2672
81400000,378,1762,1006,3871
81600000,0,385,0,50
81800000,0,1304,912,1447
81900000,0,381,0,101
82000000,0,741,768,743
