position,V0,V1,V2,V3
0,1611,11657,13734,38824
100000,3481,17429,14271,43626
200000,6651,15500,26615,23756
300000,1107,20884,23379,23120
400000,3372,12041,16552,25425
500000,284,17893,26391,20725
600000,2750,22090,19485,16535
700000,3014,15901,17619,33088
800000,9413,18097,23207,24134
900000,8940,18479,26423,9468
1000000,3558,28757,30585,13471
1100000,3922,25488,16999,12887
1200000,3143,9128,7750,12571
1300000,3291,7923,6069,6516
1400000,294,2246,1731,3201
1500000,10081,13208,11288,11652
1600000,12080,6909,12246,10806
1700000,8777,11415,11121,15393
1800000,2347,4730,5472,4971
2000000,0,464,530,765
2100000,913,5769,2944,7408
2200000,153,363,365,91
2300000,694,3302,3035,3457
2400000,0,495,416,651
2500000,519,2749,3611,1320
2700000,1766,610,135,479
2800000,0,394,761,447
2900000,844,352,60,264
3000000,1980,2337,1870,4832
3300000,505,1509,3494,410
3400000,1071,1371,974,1317
3500000,157,1037,1107,1145
3600000,485,1347,1295,1436
4100000,23,848,296,706
4300000,46,39,869,595
4400000,469,761,67,590
4500000,1306,1151,1211,1389
4900000,15,287,598,482
5000000,1624,2701,1808,1296
5100000,585,1109,408,2405
5800000,1742,1623,2366,4244
6200000,0,999,759,186
6300000,1404,1505,2977,3391
6400000,1597,3223,3017,3102
6500000,684,2248,264,580
6600000,451,589,1553,2200
6700000,499,495,388,374
6900000,152,755,1000,1005
7200000,988,2630,1635,3310
7300000,795,2838,2414,3692
7400000,1290,225,235,513
7500000,888,1135,1909,1803
7700000,1469,1082,654,255
8200000,354,0,0,0
8300000,381,0,0,3
8800000,565,3382,1725,1367
8900000,416,325,800,895
9000000,1100,4822,9296,1352
9300000,1893,2524,1900,1448
9400000,0,1057,221,423
9500000,1257,170,536,0
9600000,5634,5700,2758,6470
10000000,0,415,391,280
10400000,553,657,2315,1541
10600000,244,1808,1132,1539
10700000,0,1587,289,562
11100000,506,2246,2121,2677
11200000,2794,8575,7528,5010
11300000,3835,7726,5316,5943
11500000,1955,3457,1649,3586
11600000,2289,2231,1655,639
11800000,2095,3402,1324,1680
11900000,1598,8113,4245,3414
12000000,2870,9023,8019,6533
12100000,684,7281,3497,3702
12200000,1239,6874,2021,3286
12300000,0,95,10,700
12400000,0,3073,588,619
12600000,561,546,112,245
12700000,457,2173,1816,2053
12800000,243,338,149,1037
13000000,307,3016,1734,1021
13200000,0,1406,1928,1392
13400000,294,571,689,369
13500000,1239,4290,2007,2051
13700000,12,563,549,150
14200000,1265,2389,1172,421
14300000,0,975,632,166
14400000,0,603,0,636
14600000,1916,15407,10974,12438
14700000,3051,9034,2919,3861
