position,V0,V1,V2,V3
0,46,1907,1893,2940
100000,381,4470,3113,3874
200000,941,5125,5922,7517
300000,1161,17940,35002,20371
400000,5684,21306,22264,22365
500000,4740,22240,30533,24453
600000,8024,22160,25093,22181
700000,6544,24871,30790,24475
800000,2465,30961,26571,27473
900000,3250,25980,19628,24904
1000000,14464,20259,25074,29180
1100000,3118,28184,31179,14437
1200000,7506,27586,19297,23971
1300000,5263,26741,25956,27974
1400000,1258,27061,30642,24902
1500000,1552,31180,28178,23405
1600000,1266,30017,31776,25709
1700000,6102,25565,27059,27808
1800000,7606,20746,29229,29636
1900000,6340,21648,28741,23796
2000000,5269,24458,33909,25468
2100000,9941,30474,19999,24945
2200000,3570,35481,21098,25922
2300000,7238,29907,23644,24922
2400000,7643,25089,18942,19471
2500000,1483,31230,25502,22918
2600000,1862,23518,30494,33851
2700000,989,19492,29760,32775
2800000,3558,20598,36158,29839
2900000,5866,24481,31146,32843
3000000,10481,24967,33569,25414
3100000,13507,24514,29560,25266
3200000,6349,24250,30992,26691
3300000,6712,26471,27830,21633
3400000,9487,21722,21898,27035
3500000,6299,22443,30147,27578
3600000,15309,22868,24084,27052
3700000,8573,27734,26026,27875
3800000,10726,29436,24895,26497
3900000,5023,27118,26699,32618
4000000,7032,24425,28894,31166
4100000,4378,15519,35525,35358
4200000,6843,30120,25589,28025
4300000,7142,22660,31119,32658
4400000,10541,37321,20287,19907
4500000,1235,25194,35610,30618
4600000,5852,27222,27347,24921
4700000,4301,31610,29455,27160
4800000,5277,18562,32013,26726
4900000,9627,25100,24359,21612
5000000,7789,25450,32454,27768
5100000,5462,25068,32892,26677
5200000,4772,26977,35409,24763
5300000,7302,23364,28028,31110
5400000,4230,27450,29288,32235
5500000,7228,24589,24692,33674
5600000,8385,22009,23197,27156
5700000,2081,32136,32724,25979
5800000,7502,21885,31918,27665
5900000,14683,21339,29242,22950
6000000,6695,23220,29633,25876
6100000,6811,27549,29466,27785
6200000,7249,24232,28679,31665
6300000,6728,26827,31408,25137
6400000,13255,29470,21622,27647
6500000,11408,24583,20991,27273
6600000,12952,23280,26281,31830
6700000,7526,23598,27673,31747
6800000,2597,26660,31034,27631
6900000,7770,23424,31414,26415
7000000,4530,27668,25565,27152
7100000,3609,27054,27659,28489
7200000,12510,20359,27898,26555
7300000,8632,20615,28556,26301
7400000,2491,34334,24520,28664
7500000,4223,31806,27611,27187
7600000,11548,25873,25787,26094
7700000,6301,22338,29572,29997
7800000,13242,16260,30218,28860
7900000,1745,20356,32946,36326
8000000,13608,28273,25672,20644
8100000,15217,24647,24443,19184
8200000,9440,29549,22874,27056
8300000,1437,27818,33106,27679
8400000,4659,28949,30528,24197
8500000,6069,21569,31642,30536
8600000,11631,21519,21505,25789
8700000,21024,19617,21428,25875
8800000,14941,24491,26474,26271
8900000,6097,26960,24664,24533
9000000,7383,29910,26460,26548
9100000,7590,27076,25153,26502
9200000,21240,15761,32338,24855
9300000,13315,20789,30014,24121
9400000,10190,14445,39161,18678
9500000,7619,25336,25003,21257
9600000,20083,19569,24387,27918
9700000,25604,17663,24451,22203
9800000,36007,18012,19109,19997
9900000,28245,17224,23376,20131
10000000,18198,20029,22625,23807
10100000,17322,21724,24737,23184
10200000,12952,20885,29745,18618
10300000,9194,18981,14685,18153
10400000,2762,11672,6342,13018
