position,V0,V1,V2,V3
0,5150,820,1003,1364
100000,4762,15411,12431,12168
200000,4365,16880,16567,17597
300000,5299,21048,16106,21213
400000,7965,17729,17068,19118
500000,10622,18681,29110,23549
600000,4599,22377,31637,23368
700000,4306,24110,34598,26929
800000,5596,22979,25922,20012
900000,3621,26996,21469,18511
1000000,4728,30791,22376,22782
1100000,61,988,2138,2579
1200000,8494,18173,17817,26917
1300000,11457,17853,25769,25977
1400000,14298,20672,28707,24746
1500000,13710,22287,30531,22367
1600000,10190,26568,27562,21517
1700000,5776,27681,25396,30830
1800000,6717,26070,23988,21865
1900000,6057,26055,19133,39300
2000000,7099,25291,25850,30416
2100000,4680,26642,25596,30498
2200000,4112,20536,25132,33059
2300000,1571,21548,20685,27758
2400000,3112,22354,26099,34082
2500000,9072,18479,32401,30831
2600000,13251,20571,24057,27040
2700000,13303,24571,25441,24125
2800000,1831,23626,30055,25494
2900000,1166,26958,21568,32033
3000000,1151,24242,33620,27205
3100000,1561,23809,26456,26481
3200000,803,35671,22767,21698
3300000,2218,37507,18676,19467
3400000,1056,37286,16060,21748
3500000,1471,36681,12891,22447
3600000,0,30950,20786,28116
3700000,1895,25357,22839,41715
3800000,3477,30268,24010,31601
3900000,2113,27358,29231,31168
4000000,1596,18627,23484,21906
4100000,8869,20540,24739,23576
4200000,8958,21097,36497,21072
4300000,1705,15236,39600,26062
4400000,879,18578,38481,15661
4500000,2377,22845,41745,19989
4600000,3237,19142,35099,16487
4700000,3828,23290,34997,22517
4800000,5798,20365,30570,23390
4900000,4626,23350,29597,22767
5000000,3545,18737,30093,18501
5100000,2809,21426,18443,26498
5200000,4395,22581,22631,20329
5300000,4668,24543,17383,18780
5400000,3078,24536,22322,27863
5500000,3064,35512,14640,20832
5600000,4402,25884,37055,15435
5700000,816,30414,36908,17226
5800000,1636,29466,34051,21373
5900000,544,17317,35690,24869
6000000,2095,20081,24599,20871
6100000,1248,33059,8962,22168
6200000,1520,32541,17913,24709
6300000,2899,24050,19678,34811
6400000,5026,19014,23193,26502
6500000,6209,26303,23604,32575
6600000,6374,16290,30223,26532
6700000,581,15661,41378,20360
6800000,3042,21990,32528,19866
6900000,0,20651,32626,13874
7000000,496,24384,47062,15830
7100000,390,17281,47586,20108
7200000,4750,26570,24100,26177
7300000,5543,31816,23887,26354
7400000,1390,31868,16644,29130
7500000,2357,22541,16621,34540
7600000,2194,17600,20346,36663
7700000,6228,19959,21793,29396
7800000,10995,20628,22224,33466
7900000,3968,21476,22461,24507
8000000,203,18850,21318,30374
8100000,2516,19493,27969,26841
8200000,4954,25796,25789,32498
8300000,3671,24717,29729,33946
8400000,2004,24403,22684,37549
8500000,10259,39680,14631,25814
8600000,4030,21601,25705,37477
8700000,5995,21390,25193,39270
8800000,4744,22285,24283,36644
8900000,2485,30113,22732,30986
9000000,9382,26241,25065,33929
9100000,8849,24419,29224,28328
9200000,1889,29805,26152,29156
9300000,2640,26677,24987,32422
9400000,5885,20900,28320,23223
9500000,5639,29229,26883,25510
9600000,5380,18867,31265,29356
9700000,5452,26846,29520,24434
9800000,1970,30533,26978,31677
9900000,2976,30371,29984,24826
10000000,18608,18112,27804,27532
10100000,11181,25324,23726,35501
10200000,19622,25094,23180,26435
10300000,12434,29261,22887,30013
10400000,12373,26415,26237,29063
10500000,6918,25868,30861,29249
10600000,4541,29614,28865,28353
10700000,2970,25748,26304,28932
10800000,5170,26694,29917,27358
10900000,3258,24672,30256,32692
11000000,2596,26530,30196,30295
11100000,4858,28095,29463,29843
11200000,4099,28925,28598,30420
11300000,4517,26863,29615,28388
11400000,7904,27613,24255,25545
11500000,3438,26293,29938,29519
11600000,5085,25949,30772,29467
11700000,1972,29857,30419,31377
11800000,2558,29752,31857,26876
11900000,2891,30312,26769,24543
12000000,2414,32665,27578,29420
12100000,2685,24168,29988,29793
12200000,7283,24931,30139,27918
12300000,3843,26241,25305,26515
12400000,2974,24097,27956,26557
12500000,5010,25460,32718,27803
12600000,4120,27511,31841,27988
12700000,6109,25707,27983,29003
12800000,5826,27814,27696,28363
12900000,5930,32348,29089,23638
13000000,3431,31407,25975,31891
13100000,9110,26379,29286,26536
13200000,5013,28169,31446,26287
13300000,2873,28917,30652,31475
13400000,3698,29780,31225,25479
13500000,4787,24135,31165,32034
13600000,5334,25959,31772,27832
13700000,5271,26122,27277,25931
13800000,3966,30483,25114,31737
13900000,3757,24905,28083,31144
14000000,2178,30493,26799,31737
14100000,1893,27024,28126,29816
14200000,903,28998,23252,29190
14300000,3228,31414,28097,27970
14400000,5317,26808,27819,26391
14500000,4707,25934,25458,23855
14600000,10294,26229,24585,25888
14700000,8836,25699,27003,27587
14800000,5849,27353,29713,30788
14900000,9824,25018,24283,25915
15000000,7729,27321,24979,25564
15100000,7369,28873,24622,25184
15200000,7324,22432,31096,26448
15300000,6002,26114,26657,27790
15400000,3381,28663,27828,30715
15500000,3654,28313,30407,26280
15600000,3667,26149,29531,27044
15700000,8511,25086,28118,27699
15800000,5293,26177,30504,23433
15900000,7893,28059,24143,22978
16000000,3287,29257,25006,27553
16100000,2340,24022,28861,25569
16200000,6934,24135,23795,25160
16300000,10438,29627,14482,28556
16400000,8822,32154,13649,30643
16500000,6569,30634,24307,24148
16600000,8402,26043,32032,19814
16700000,3080,21893,37192,18137
16800000,1219,20952,48287,13256
16900000,1561,23644,41790,18868
17000000,6590,20545,33060,19275
17100000,1394,17747,35136,12148
17200000,4310,23491,30329,22581
17300000,5684,19582,22729,20954
17400000,2416,16410,24932,16490
17500000,7419,21633,18183,17649
17600000,10205,23048,16599,21806
17700000,2910,2540,1461,2417
