position,V0,V1,V2,V3
0,2051,14028,38905,10842
100000,2726,14636,44470,16975
200000,6421,26621,24189,15291
300000,4573,22324,21386,20207
400000,6742,14662,24837,11149
500000,1957,25418,20612,17306
600000,1387,19825,16657,22991
700000,2517,17528,33011,16566
800000,15071,17007,22518,20255
900000,16539,16986,8252,21533
1000000,6051,28766,12950,28604
1100000,0,19609,12461,27226
1200000,0,7655,15118,9819
1300000,1176,5278,5350,11995
1400000,0,1741,4444,1287
1500000,4724,12561,10281,18663
1600000,9472,11078,11105,10386
1700000,2100,11388,16845,16373
1800000,712,5565,5987,5256
2000000,0,726,1019,14
2100000,0,1897,9452,5685
2200000,0,463,0,509
2300000,0,3090,4225,3173
2400000,0,408,998,156
2500000,0,4582,1144,2473
2700000,1628,0,828,534
2800000,400,734,313,155
2900000,0,0,52,1468
3000000,0,1988,5343,3688
3300000,0,2805,1527,1586
3400000,561,1173,891,2108
3500000,120,1126,1172,1028
3600000,0,1449,1546,1568
4100000,0,43,880,950
4300000,0,888,594,67
4400000,0,34,672,1181
4500000,251,1318,1249,2239
4900000,0,600,412,370
5000000,0,2171,1020,4238
5100000,0,362,2816,1329
5800000,100,1887,5940,2048
6200000,0,742,191,1011
6300000,0,2890,4013,2374
6400000,0,3080,3343,4516
6500000,0,213,409,3154
6600000,0,987,3099,707
6700000,0,604,195,957
6900000,0,1307,1172,433
7200000,1036,1175,3484,2868
7300000,424,1145,5193,2977
7400000,1655,40,568,0
7500000,4189,261,530,755
7700000,0,592,163,2705
8200000,0,0,0,354
8300000,0,0,0,384
8800000,0,2572,172,4295
8900000,0,489,960,987
9000000,6237,4101,548,5684
9300000,185,2327,1073,4180
9400000,0,0,493,1208
9500000,736,242,108,877
9600000,785,3050,6599,10128
10000000,0,329,322,435
10400000,0,2767,1469,830
10600000,0,567,1620,2536
10700000,0,361,502,1575
11100000,0,1686,3697,2167
11200000,4030,3185,5834,10858
11300000,2503,4852,5537,9928
11500000,0,1511,3657,5479
11600000,0,1241,708,4865
11800000,0,716,1293,6492
11900000,0,3917,3171,10282
12000000,4440,6925,4752,10328
12100000,0,3941,3361,7862
12200000,0,1108,3456,8856
12300000,0,0,782,23
12400000,0,180,467,3633
12600000,220,77,263,904
12700000,1610,1280,1274,2335
12800000,0,593,708,466
13000000,0,1332,1263,3483
13200000,0,2606,1574,546
13400000,0,340,801,782
13500000,0,1892,1714,5981
13700000,0,522,135,617
14200000,0,833,0,4414
14300000,0,626,168,979
14400000,0,0,929,310
14600000,0,12584,11511,16640
14700000,0,2045,2686,14134
15300000,0,1592,568,802
15500000,0,492,1624,1349
15600000,0,2312,1957,16532
15700000,0,1924,1329,6614
15900000,0,5575,1891,9685
16000000,0,3266,3790,12283
16100000,0,955,3246,2777
16300000,0,0,41,853
16500000,0,4298,3763,6491
16600000,0,1395,5179,4391
16900000,0,1133,1575,6238
17300000,4781,1931,5771,8394
18100000,0,874,933,2420
18300000,0,2832,1159,5475
18500000,0,21,1859,1223
18700000,0,3306,1699,2330
18800000,0,1319,425,922
18900000,0,299,755,1845
19000000,3586,3540,2840,5916
19100000,0,280,1098,2069
19300000,0,754,3409,5491
19600000,0,707,986,1860
19900000,0,226,295,2196
20000000,0,1379,1037,832
20100000,0,504,697,1677
20200000,881,3947,6017,17192
20300000,2533,3356,1958,7365
20400000,873,3542,7264,8453
20600000,748,2309,5058,7560
20700000,2630,1983,3417,7418
21100000,0,458,1303,510
21400000,757,67,488,662
21500000,1191,1225,1759,4167
21800000,0,205,503,210
21900000,0,0,1169,0
22000000,1134,2560,1676,1970
22100000,932,0,405,2537
22200000,0,0,2174,30
22300000,0,138,868,1812
22500000,364,2816,2625,4511
22600000,0,3023,5121,10034
22700000,1972,1648,3629,2806
22900000,608,1311,1095,3998
23000000,0,1448,1499,691
23100000,0,227,365,348
23200000,0,746,503,0
23500000,0,1651,1123,428
23600000,0,3655,2825,1969
23700000,0,3369,827,1085
23800000,473,2242,3401,2404
23900000,0,413,905,1392
24000000,0,582,1678,516
24500000,0,2128,1564,4102
24600000,0,190,836,684
24700000,1197,3168,5110,18132
24800000,2902,6863,17095,14857
24900000,5342,1627,2411,7879
25000000,0,0,693,3098
25100000,2313,263,843,2399
25200000,0,0,631,1015
25400000,0,265,0,508
25500000,0,779,0,1108
26100000,0,0,26,1052
26200000,0,1079,1126,12871
26500000,2640,6398,9151,11916
26600000,155,1042,1121,5314
26800000,395,1103,795,2469
27200000,0,547,509,2073
27300000,441,97,364,8523
27500000,0,634,0,451
27600000,0,0,615,262
27700000,0,2105,1635,2982
27800000,959,1353,1737,20099
28000000,0,2411,8805,2900
28100000,0,2772,1351,3923
28200000,0,267,1086,328
28600000,622,508,1357,1733
28800000,0,0,0,1870
28900000,0,1204,2451,1662
29000000,93,560,1107,1526
29100000,0,946,803,2998
29200000,0,1311,18,234
29300000,0,0,1515,0
29500000,0,0,2282,0
29600000,0,3058,8900,5388
29700000,0,3250,9349,6173
29800000,0,250,460,477
29900000,1032,311,1972,1575
30000000,0,0,1816,1209
30100000,133,1800,3050,2144
30300000,1598,0,0,0
30500000,170,224,2878,2379
30800000,0,242,719,661
31000000,873,735,0,0
31400000,583,56,389,387
31700000,482,730,0,0
31800000,896,535,1606,865
31900000,161,1329,3105,2697
32000000,0,1905,142,792
32100000,0,1352,0,236
32500000,0,300,149,1845
33000000,0,1305,307,812
33100000,0,587,0,1162
33500000,0,1611,2450,1285
33600000,0,770,921,1212
33900000,773,1493,0,101
34000000,658,545,264,108
34100000,0,4909,2902,2488
34200000,0,1994,1044,722
34300000,0,0,855,428
34500000,0,1190,192,444
34800000,0,0,430,1140
35100000,0,579,2086,1281
35200000,668,513,134,607
35400000,0,861,439,767
35500000,0,1070,0,3864
35800000,981,3117,6351,8515
36300000,0,964,378,2420
37000000,0,0,212,1414
37400000,0,2578,2703,723
37500000,452,4819,7088,6209
37600000,0,0,679,5571
37700000,0,994,293,4316
37800000,0,0,376,1563
38800000,0,1413,2400,1010
39100000,0,482,680,1562
39400000,0,179,0,1545
39900000,1356,1741,4164,1261
40400000,0,0,28,680
40500000,0,0,777,809
40600000,0,0,321,3180
40900000,0,0,602,154
41300000,0,124,393,0
41400000,0,501,292,1713
41500000,0,571,904,1026
41600000,143,639,1097,6646
41800000,0,1115,0,1420
42000000,0,574,0,0
42200000,0,452,0,0
42600000,0,1383,68,573
42700000,120,1951,4180,2584
42800000,0,107,0,0
43000000,0,362,0,2836
43100000,0,0,0,3243
43200000,128,0,0,1070
43300000,392,0,0,0
43500000,149,92,16,1694
43700000,0,0,705,39
43800000,0,0,1192,354
43900000,0,586,310,921
44000000,0,0,0,3701
44200000,180,0,0,2966
44400000,31,0,0,715
44500000,0,892,497,484
44600000,0,0,374,1100
44700000,265,62,1541,5318
44800000,0,0,148,1247
45400000,0,166,32,2237
45500000,0,341,974,2072
45700000,0,71,470,1277
45800000,3885,910,1808,5057
46500000,0,2320,2639,2385
46600000,0,153,1679,898
46800000,0,0,1274,602
46900000,0,0,570,1152
47000000,0,0,735,422
47100000,0,0,53,982
47200000,0,513,2373,41
47300000,474,6757,12908,3592
47500000,0,2548,4586,2366
47600000,653,519,4202,2235
47700000,0,3821,11075,1941
48200000,853,872,2,724
48300000,0,0,967,779
48400000,0,1408,0,1035
48600000,0,443,3495,464
48700000,0,1554,3921,1044
49000000,0,453,2227,333
49100000,171,727,3496,3480
49300000,463,0,0,0
49500000,517,227,716,1270
49700000,0,0,190,1512
50000000,0,362,675,831
50100000,0,0,1212,0
50200000,0,0,1364,0
50500000,0,436,4162,1574
50800000,0,264,790,0
50900000,0,448,0,8
51000000,0,150,0,1433
51100000,8281,1671,3160,7119
51500000,0,1529,518,314
51600000,0,145,177,228
51700000,0,0,1065,4108
52000000,0,0,0,804
52100000,0,0,253,1563
52200000,0,0,0,1296
52400000,2357,399,0,4857
52800000,0,2,885,1120
52900000,0,0,0,1369
53100000,0,654,1380,2490
53300000,0,61,315,1382
53500000,813,1314,337,5538
53600000,1639,1189,89,8040
54000000,0,1041,1364,843
54300000,0,454,816,308
54700000,0,1095,1182,843
55300000,1406,0,0,1591
55400000,892,914,127,671
56300000,0,0,964,383
57200000,0,603,404,685
57600000,0,2512,1124,887
57700000,1260,2382,5348,4770
57800000,0,86,50,1684
58000000,0,329,1795,474
58100000,0,0,670,1009
58200000,500,0,0,678
58800000,1685,600,3037,1299
58900000,655,0,0,0
59100000,369,25,149,6748
59200000,0,174,2671,4684
60100000,0,0,0,4827
60200000,3530,0,0,32
60300000,301,1446,603,15694
60400000,0,870,1013,14394
60500000,0,0,81,2288
60800000,5768,1734,6221,7344
61000000,0,133,605,0
61200000,0,1336,2250,303
61600000,0,1652,3043,1462
61700000,0,4509,8200,1600
61800000,0,119,0,849
62100000,0,1285,1814,5817
62400000,0,0,832,926
62700000,0,979,982,2119
62800000,0,0,1423,1567
63100000,0,1184,2543,3923
63500000,0,105,248,1620
63600000,0,0,0,1957
63700000,0,0,0,1257
63900000,693,142,0,639
64100000,0,1239,995,3517
