position,V0,V1,V2,V3
0,337,17116,8761,7247
100000,0,12138,13968,11918
200000,0,14620,15988,8406
300000,3633,19141,18251,14006
400000,1204,12442,10872,7491
500000,1884,18090,8735,2541
600000,0,19045,27483,8856
700000,2582,24482,25054,19515
800000,5684,23710,32047,14318
900000,13444,21112,13370,14348
1000000,11526,28408,12541,23272
1100000,9038,21990,15822,31582
1200000,22843,9179,10573,27189
1300000,25032,7211,14389,24587
1400000,4642,19013,13250,38426
1500000,12114,18808,29427,21071
1600000,18912,22593,18962,20051
1700000,8300,19290,30199,18623
1800000,3360,25699,24513,28212
1900000,1362,27531,29352,28499
2000000,5173,21691,20369,34618
2100000,1655,22243,24047,31557
2200000,3549,22188,27451,27154
2300000,6223,26681,27440,27196
2400000,5688,20002,31738,25104
2500000,3468,26126,29018,28503
2600000,7035,21936,27474,30591
2700000,8515,24443,26198,29373
2800000,6651,28139,26181,23772
2900000,2546,25040,30412,19501
3000000,1432,8471,13124,9433
3100000,3588,21061,32896,20210
3200000,1121,20575,25667,24005
3300000,2717,24530,23627,13397
3400000,4036,15577,26257,18326
3500000,1918,21948,19561,20098
3600000,4292,22291,28878,17750
3700000,3130,19460,20483,25298
3800000,5465,22107,24118,27571
3900000,4345,21722,25248,30004
4000000,8682,16740,23576,26525
4100000,22752,21196,23048,22870
4200000,11683,17851,24232,20407
4300000,6361,17623,26592,20152
4400000,11592,18005,23049,24014
4500000,11273,19167,21999,16138
4600000,7558,9921,25593,20322
4700000,7400,14625,26388,16675
4800000,2139,9266,9325,8209
4900000,6273,15061,19736,19119
5000000,4131,12842,15573,23226
5100000,5719,16643,12770,27216
5200000,5795,14940,15511,16628
5300000,7048,19477,18684,23240
5400000,5571,15407,21421,22701
5500000,6442,20018,16005,20889
5600000,3860,21058,22276,22354
5700000,5381,24458,20954,23189
5800000,7936,16834,26145,27671
5900000,5373,16980,24557,33540
6000000,11821,16966,24778,32133
6100000,12078,22320,22090,31318
6200000,10802,25969,32600,22746
6300000,12367,22438,23110,34905
6400000,14907,20775,26400,27299
6500000,19991,27681,22907,21154
6600000,16531,31399,21195,23696
6700000,13283,16998,20108,21436
6800000,23506,14241,17991,27285
6900000,6896,23140,23787,27181
7000000,0,27145,16591,29759
7100000,1473,25536,21546,29935
7200000,1549,8550,12398,20230
7300000,855,19620,37658,24531
7400000,3097,21403,35130,21770
7500000,4298,16718,21592,33532
7600000,700,27661,31306,25059
7700000,4143,26866,27713,25383
7800000,11120,22451,23272,28833
7900000,10888,21373,28044,27924
8000000,12360,19562,26555,26525
8100000,7061,24328,23801,26266
8200000,1525,12755,10346,15025
8300000,1719,10617,9407,15787
8400000,4426,22276,27017,25277
8500000,3240,25335,27612,30333
8600000,4776,27312,33256,25212
8700000,2342,26890,34006,24807
8800000,3526,24213,25841,22602
8900000,1947,18423,22366,23155
9000000,2148,21022,15415,29007
9100000,3938,26195,27345,25725
9200000,1555,21465,26294,31598
9300000,4521,28885,30436,27000
9400000,3430,24743,31100,28880
9500000,4314,27388,27618,26914
9600000,3584,19681,34474,21741
9700000,2481,25979,30739,19255
9800000,2396,18437,34447,23540
9900000,2088,20020,26505,33219
10000000,2620,37344,14782,15722
10100000,3090,26091,20828,25899
10200000,3270,20051,28227,28940
10300000,4074,23454,24047,29163
10400000,2054,19452,15477,32566
10500000,0,21130,18638,20154
10600000,360,18400,25448,19116
10700000,1999,29416,25521,20927
10800000,553,21513,26511,18247
10900000,434,18397,19598,24933
11000000,2527,23503,29015,28416
11100000,33,22358,22497,24526
11200000,2077,16090,19769,31990
11300000,2291,20820,27049,27144
11400000,850,21636,27539,27209
11500000,2661,25882,27818,28625
11600000,4013,23962,28716,22483
11700000,2778,25543,19635,28313
11800000,2433,25741,27623,33557
11900000,1732,23685,26197,28502
12000000,2155,24349,22214,28486
12100000,1036,23630,25469,29642
12200000,1823,26412,26619,26300
12300000,0,18410,26714,21699
12400000,180,27987,21748,25144
12500000,253,30826,27548,23902
12600000,3465,22952,25973,21316
12700000,1802,23283,24551,27605
12800000,770,23392,24801,27154
12900000,1322,22793,22305,25819
13000000,1218,18713,22440,22671
13100000,1012,26896,21567,16845
13200000,770,32923,17704,19576
13300000,317,20840,19206,35424
13400000,3727,19988,22760,31098
13500000,1911,24144,26403,29400
13600000,2260,17981,23121,28436
13700000,3687,20803,23756,21687
13800000,6190,20861,26009,26334
13900000,3002,19269,26586,26900
14000000,1536,22140,17275,16397
14100000,987,25668,24278,17940
14200000,2418,24691,27136,26746
14300000,885,27050,23767,28317
14400000,1755,20244,27258,30374
14500000,244,17064,12803,14082
14600000,1421,25961,21359,29837
14700000,3525,21263,30679,34707
14800000,10538,26302,25550,24886
14900000,6205,24923,21985,28195
15000000,6374,19680,21134,27694
15100000,6783,21214,30400,25285
15200000,5466,24686,27735,22513
15300000,2341,24613,21357,18458
15400000,3364,17264,25032,21061
15500000,2401,17234,30048,19745
15600000,2402,22691,26248,22921
15700000,1347,24755,27647,30726
15800000,3977,20649,21663,30939
15900000,5352,21950,24798,35393
16000000,5164,28180,24396,31792
16100000,3173,24397,22798,37946
16200000,2316,26128,28068,26532
16300000,1253,29747,27656,22674
16400000,1662,22536,31068,26764
16500000,755,16597,21304,28568
16600000,1858,23695,25110,29018
16700000,897,23999,31171,20890
16800000,710,16320,21861,20698
16900000,2980,22143,27025,22794
17000000,2134,22628,23342,28904
17100000,2592,25570,23419,25304
17200000,1385,27258,23999,26459
17300000,4585,18188,23105,26384
17400000,241,22912,20645,29394
17500000,318,27453,25291,25847
17600000,0,20746,27290,26141
17700000,305,19952,25808,22099
17800000,0,24000,28980,24668
17900000,0,19513,22808,20624
18000000,0,22600,27256,29152
18100000,122,29447,26727,27078
18200000,219,25059,29270,21119
18300000,0,21541,23895,21636
18400000,0,22311,17452,19500
18500000,0,15758,17490,24136
18600000,44,22447,21826,22463
18700000,0,27047,25151,23100
18800000,138,22247,21879,19288
18900000,266,22473,20192,31938
19000000,4827,15208,23072,29492
19100000,0,6289,13131,4778
19200000,0,11842,22198,12439
19300000,1291,21844,18593,30043
19400000,0,12554,18102,18791
19500000,0,2951,7415,3621
19600000,0,8531,10088,5133
19700000,0,12195,13082,8707
19800000,1311,19639,14658,19934
19900000,0,15546,15348,28974
20000000,729,17996,19959,28537
20100000,294,24154,23077,27396
20200000,3404,21807,17346,32598
20300000,2630,20039,11545,30540
20400000,1287,23606,21645,27925
20500000,809,26983,26377,26213
20600000,738,20041,30462,26790
20700000,2128,21524,22882,26859
20800000,450,22344,30783,26840
20900000,215,25206,22098,22058
21000000,850,21774,28821,24929
21100000,1673,26493,31972,26356
21200000,341,31999,28826,16050
21300000,1221,26090,21849,14991
21400000,1561,28170,28889,29319
21500000,1453,22484,29985,25683
21600000,77,22719,27105,24797
21700000,398,22560,20281,26896
21800000,8,21562,24827,24115
21900000,172,27167,26150,29868
22000000,0,23771,26414,24447
22100000,471,24826,25344,27365
22200000,206,23107,24151,27105
22300000,762,26570,23690,23192
22400000,57,28194,21765,24043
22500000,0,23361,25202,33128
22600000,4868,19618,20491,15642
22700000,8728,18202,26711,20979
22800000,15931,17421,29411,25004
22900000,12705,17107,22903,25443
23000000,13136,21508,19728,28099
23100000,1088,20676,24653,21587
23200000,3275,27016,16693,30192
23300000,2497,26109,28414,28928
23400000,883,22143,25626,34986
23500000,2029,25159,23394,21017
23600000,515,15859,22662,15936
23700000,800,23491,23011,31938
23800000,1527,17742,19352,22281
23900000,2110,27683,28137,21514
24000000,0,23237,23027,28282
24100000,4410,20861,30632,31434
24200000,672,17920,21157,39780
24300000,0,16243,21342,41330
24400000,3478,25050,20045,37206
24500000,788,20437,18816,20225
24600000,5495,16328,36030,22201
24700000,5761,19871,25101,32725
24800000,6196,22057,20866,28316
24900000,3404,16433,21063,21528
25000000,1778,22683,22755,33530
25100000,9460,21115,26009,22277
25200000,2064,30491,23602,30128
25300000,0,22534,18052,31378
25400000,639,12761,14813,12645
25500000,0,11333,12569,11208
25600000,820,21059,45160,20555
25700000,4596,24821,34504,20717
25800000,8663,18467,25034,29942
25900000,5370,26046,23898,31991
26000000,2638,26201,23559,31431
26100000,988,26388,26017,26819
26200000,1060,21101,24839,24042
26300000,10,27163,26047,24602
26400000,4884,23984,27917,22911
26500000,4744,17000,20212,21901
26600000,0,17985,20445,18460
26700000,554,20907,29650,20603
26800000,0,16710,22645,17910
26900000,0,14767,14937,16834
27000000,0,0,62,51
27100000,0,11,525,132
27300000,1653,20978,22699,18038
27400000,1673,29725,22935,22653
27500000,593,23384,26178,24346
27600000,6228,20151,23893,26691
27700000,2692,23216,19892,21465
27800000,2564,21044,21013,25139
27900000,1141,18904,20696,15809
28000000,874,21332,15056,22483
28100000,2751,19631,20969,19509
28200000,2458,23357,25073,23690
28300000,3558,26196,26372,19461
28400000,472,19776,22269,20851
28500000,1216,18535,25016,19890
28600000,5221,14113,28365,14112
28700000,12819,16672,28353,11190
28800000,0,24423,20089,22693
28900000,2194,20525,20783,16831
29000000,945,17768,20642,15599
29100000,1408,20368,29098,14050
29200000,603,11796,9318,12003
29300000,0,11216,12648,15864
29400000,801,13481,14319,17502
29500000,0,8061,17806,10071
29600000,207,16177,16189,20587
29700000,388,16197,16935,19570
29800000,1066,19510,20828,22326
29900000,0,12999,18859,16499
30000000,0,7324,8748,8532
30100000,0,13405,17781,16043
30200000,270,14994,18856,19983
30300000,757,11859,15759,16419
30400000,0,16626,22940,16896
30500000,0,16345,22003,19295
30600000,136,20834,22371,26651
30700000,0,23231,21884,22178
30800000,24,23482,23132,21213
30900000,75,20921,25462,21408
31000000,2004,15201,18422,16482
31100000,195,16288,25206,18705
31200000,5771,18827,36761,18960
31300000,8116,27661,20866,33484
31400000,7074,29719,20740,22989
31500000,2948,25419,26104,28826
31600000,667,26369,23540,29335
31700000,1285,25476,14747,28206
31800000,4834,23334,16435,24920
31900000,6395,22962,31910,17388
32000000,5896,13251,15335,25917
32100000,11520,14411,27750,30246
32200000,16383,21864,21944,25292
32300000,3703,22950,24669,34118
32400000,17649,25242,17708,21491
32500000,7997,16694,30981,27462
32600000,5462,21816,24949,21512
32700000,5489,26021,26997,23691
32800000,0,28265,22402,19888
32900000,2479,18479,25551,25571
33000000,667,16711,19096,26386
33100000,0,25622,17435,14486
33200000,0,23721,33682,21747
33300000,359,24675,25231,24542
33400000,1378,14443,25269,22903
33500000,1313,16671,25088,25477
33600000,459,22190,22669,34526
