Seq_id,Strand,Start,End,Length,Block,sp,Size,Description
13,+,39066,44839,5773,2326,GCA_009819775,24748608,GCA_009819775.1_bPhoRub2.pri.chr12
15,-,2400016,2394311,5705,2326,GCA_009819775,72610546,GCA_017639555.1_bCicMag1.pri.CM030197.1
12,+,72864921,72941397,76476,2325,GCA_009819775,72965497,GCA_009819775.1_bPhoRub2.pri.chr5
15,-,100725,21127,79598,2325,GCA_009819775,72610546,GCA_017639555.1_bCicMag1.pri.CM030197.1
12,+,72819952,72825917,5965,2324,GCA_009819775,72965497,GCA_009819775.1_bPhoRub2.pri.chr5
15,-,120186,113926,6260,2324,GCA_009819775,72610546,GCA_017639555.1_bCicMag1.pri.CM030197.1
12,+,72792334,72815263,22929,2323,GCA_009819775,72965497,GCA_009819775.1_bPhoRub2.pri.chr5
15,-,148902,125016,23886,2323,GCA_009819775,72610546,GCA_017639555.1_bCicMag1.pri.CM030197.1
12,+,72784386,72791119,6733,2322,GCA_009819775,72965497,GCA_009819775.1_bPhoRub2.pri.chr5
15,-,157364,149182,8182,2322,GCA_009819775,72610546,GCA_017639555.1_bCicMag1.pri.CM030197.1
12,+,72765874,72781771,15897,2321,GCA_009819775,72965497,GCA_009819775.1_bPhoRub2.pri.chr5
15,-,217481,200768,16713,2321,GCA_009819775,72610546,GCA_017639555.1_bCicMag1.pri.CM030197.1
12,+,72744479,72764978,20499,2320,GCA_009819775,72965497,GCA_009819775.1_bPhoRub2.pri.chr5
15,-,238854,217481,21373,2320,GCA_009819775,72610546,GCA_017639555.1_bCicMag1.pri.CM030197.1
12,+,72731484,72743726,12242,2319,GCA_009819775,72965497,GCA_009819775.1_bPhoRub2.pri.chr5
15,-,251562,238854,12708,2319,GCA_009819775,72610546,GCA_017639555.1_bCicMag1.pri.CM030197.1
12,+,72726054,72731179,5125,2318,GCA_009819775,72965497,GCA_009819775.1_bPhoRub2.pri.chr5
15,-,256737,251562,5175,2318,GCA_009819775,72610546,GCA_017639555.1_bCicMag1.pri.CM030197.1
12,+,72695226,72725587,30361,2317,GCA_009819775,72965497,GCA_009819775.1_bPhoRub2.pri.chr5
15,-,287992,256737,31255,2317,GCA_009819775,72610546,GCA_017639555.1_bCicMag1.pri.CM030197.1
12,+,72680862,72695024,14162,2316,GCA_009819775,72965497,GCA_009819775.1_bPhoRub2.pri.chr5
15,-,303094,287992,15102,2316,GCA_009819775,72610546,GCA_017639555.1_bCicMag1.pri.CM030197.1
12,+,72674704,72680862,6158,2315,GCA_009819775,72965497,GCA_009819775.1_bPhoRub2.pri.chr5
15,-,311853,304224,7629,2315,GCA_009819775,72610546,GCA_017639555.1_bCicMag1.pri.CM030197.1
12,+,72607150,72673110,65960,2314,GCA_009819775,72965497,GCA_009819775.1_bPhoRub2.pri.chr5
15,-,383928,315162,68766,2314,GCA_009819775,72610546,GCA_017639555.1_bCicMag1.pri.CM030197.1
12,+,72596030,72602575,6545,2313,GCA_009819775,72965497,GCA_009819775.1_bPhoRub2.pri.chr5
15,-,395525,388423,7102,2313,GCA_009819775,72610546,GCA_017639555.1_bCicMag1.pri.CM030197.1
12,+,72590449,72596016,5567,2312,GCA_009819775,72965497,GCA_009819775.1_bPhoRub2.pri.chr5
15,-,403285,395846,7439,2312,GCA_009819775,72610546,GCA_017639555.1_bCicMag1.pri.CM030197.1
12,+,72552936,72588869,35933,2311,GCA_009819775,72965497,GCA_009819775.1_bPhoRub2.pri.chr5
15,-,442516,405356,37160,2311,GCA_009819775,72610546,GCA_017639555.1_bCicMag1.pri.CM030197.1
12,+,72536589,72552936,16347,2310,GCA_009819775,72965497,GCA_009819775.1_bPhoRub2.pri.chr5
15,-,460271,442516,17755,2310,GCA_009819775,72610546,GCA_017639555.1_bCicMag1.pri.CM030197.1
12,+,72513084,72536317,23233,2309,GCA_009819775,72965497,GCA_009819775.1_bPhoRub2.pri.chr5
15,-,485229,460551,24678,2309,GCA_009819775,72610546,GCA_017639555.1_bCicMag1.pri.CM030197.1
12,+,72491853,72512583,20730,2308,GCA_009819775,72965497,GCA_009819775.1_bPhoRub2.pri.chr5
15,-,506264,485229,21035,2308,GCA_009819775,72610546,GCA_017639555.1_bCicMag1.pri.CM030197.1
12,+,72404280,72491644,87364,2307,GCA_009819775,72965497,GCA_009819775.1_bPhoRub2.pri.chr5
15,-,598544,506264,92280,2307,GCA_009819775,72610546,GCA_017639555.1_bCicMag1.pri.CM030197.1
12,+,72365872,72403431,37559,2306,GCA_009819775,72965497,GCA_009819775.1_bPhoRub2.pri.chr5
15,-,637821,599001,38820,2306,GCA_009819775,72610546,GCA_017639555.1_bCicMag1.pri.CM030197.1
12,+,72340112,72362982,22870,2305,GCA_009819775,72965497,GCA_009819775.1_bPhoRub2.pri.chr5
15,-,663239,638618,24621,2305,GCA_009819775,72610546,GCA_017639555.1_bCicMag1.pri.CM030197.1
12,+,72284291,72322209,37918,2304,GCA_009819775,72965497,GCA_009819775.1_bPhoRub2.pri.chr5
15,-,711509,670484,41025,2304,GCA_009819775,72610546,GCA_017639555.1_bCicMag1.pri.CM030197.1
12,+,72244571,72283722,39151,2303,GCA_009819775,72965497,GCA_009819775.1_bPhoRub2.pri.chr5
15,-,752801,711509,41292,2303,GCA_009819775,72610546,GCA_017639555.1_bCicMag1.pri.CM030197.1
12,+,72238106,72243664,5558,2302,GCA_009819775,72965497,GCA_009819775.1_bPhoRub2.pri.chr5
15,-,762796,755277,7519,2302,GCA_009819775,72610546,GCA_017639555.1_bCicMag1.pri.CM030197.1
12,+,72182698,72232705,50007,2301,GCA_009819775,72965497,GCA_009819775.1_bPhoRub2.pri.chr5
15,-,821665,768608,53057,2301,GCA_009819775,72610546,GCA_017639555.1_bCicMag1.pri.CM030197.1
12,+,72163566,72182426,18860,2300,GCA_009819775,72965497,GCA_009819775.1_bPhoRub2.pri.chr5
15,-,843157,823211,19946,2300,GCA_009819775,72610546,GCA_017639555.1_bCicMag1.pri.CM030197.1
12,+,72127721,72157832,30111,2299,GCA_009819775,72965497,GCA_009819775.1_bPhoRub2.pri.chr5
15,-,877610,846948,30662,2299,GCA_009819775,72610546,GCA_017639555.1_bCicMag1.pri.CM030197.1
12,+,72050965,72126958,75993,2298,GCA_009819775,72965497,GCA_009819775.1_bPhoRub2.pri.chr5
15,-,957401,877610,79791,2298,GCA_009819775,72610546,GCA_017639555.1_bCicMag1.pri.CM030197.1
12,+,71992661,72050760,58099,2297,GCA_009819775,72965497,GCA_009819775.1_bPhoRub2.pri.chr5
15,-,1017759,957401,60358,2297,GCA_009819775,72610546,GCA_017639555.1_bCicMag1.pri.CM030197.1
12,+,71902040,71991917,89877,2296,GCA_009819775,72965497,GCA_009819775.1_bPhoRub2.pri.chr5
