position,V0,V1,V2,V3
0,2966,6886,15968,7641
100000,3407,12166,11437,11014
200000,5945,9839,14350,8880
300000,1337,19613,19759,14322
400000,3050,8608,12533,7818
500000,533,8906,19071,2740
600000,4059,24550,16724,10051
700000,3923,23880,23215,20615
800000,9220,26392,24536,15611
900000,7591,12658,26272,15753
1000000,2222,14803,32510,26212
1100000,4410,16543,24285,33194
1200000,7897,11351,19400,31136
1300000,11724,13497,20413,25585
1400000,2866,13456,21053,37956
1500000,12691,25018,22728,20983
1600000,16603,17182,26563,20170
1700000,8854,25807,22337,19414
1800000,4752,21785,27295,27952
1900000,3667,28050,26830,28197
2000000,7098,19033,22272,33448
2100000,2119,23667,22569,31147
2200000,3435,25845,24055,27007
2300000,10179,23924,26707,26730
2400000,11834,23613,22219,24866
2500000,7027,25335,26580,28173
2600000,14585,20668,24116,27667
2700000,11111,21785,27790,27843
2800000,11200,20353,29764,23426
2900000,7545,25160,24970,19824
3000000,3503,11804,8190,8963
3100000,9252,27413,21659,19431
3200000,6275,21847,20499,22747
3300000,2472,23358,22637,15804
3400000,3431,25753,16586,18426
3500000,2865,20099,20503,20058
3600000,3352,27244,23292,19323
3700000,3266,20379,20168,24558
3800000,5966,21532,24402,27361
3900000,3274,25263,23402,29380
4000000,8667,20293,19952,26611
4100000,19104,19492,28212,23058
4200000,10500,20024,22481,21168
4300000,11476,20111,19027,20114
4400000,12005,20802,20801,23052
4500000,13307,17844,21113,16313
4600000,12118,19887,11790,19599
4700000,12842,19787,15950,16509
4800000,5560,5997,9294,8088
4900000,5081,18767,16697,19644
5000000,11659,10087,13511,20515
5100000,6898,11484,17297,26669
5200000,5985,14220,15455,17214
5300000,10561,15026,21541,21321
5400000,9343,18490,15243,22024
5500000,4876,15942,22268,20268
5600000,4875,19604,22337,22732
5700000,4470,19816,25855,23841
5800000,10223,22327,18758,27278
5900000,5316,22624,19346,33164
6000000,12448,20398,20793,32059
6100000,9175,19271,27840,31520
6200000,10274,28357,29975,23511
6300000,8787,20647,29063,34323
6400000,9644,23180,28913,27644
6500000,8691,21381,38856,22805
6600000,5089,21607,40242,25883
6700000,7079,19542,22582,22622
6800000,15464,16555,23197,27807
6900000,4653,23309,25797,27245
7000000,0,18846,26001,28648
7100000,626,22620,25895,29349
7200000,2628,11837,9393,18869
7300000,2720,34496,20313,25135
7400000,3791,32097,22765,22747
7500000,1643,21591,19173,33733
7600000,2253,30498,27102,24873
7700000,3349,26624,28753,25379
7800000,8256,20924,27315,29181
7900000,9258,24482,26079,28410
8000000,9755,23468,24787,26992
8100000,4841,22591,26959,27065
8200000,895,10469,13457,14830
8300000,1180,9061,11632,15657
8400000,4245,24993,24806,24952
8500000,3433,26621,26277,30189
8600000,3498,31056,29449,26553
8700000,2778,32138,27793,25336
8800000,1866,25483,25638,23195
8900000,2867,21388,19302,22334
9000000,784,16389,21908,28511
9100000,1825,26457,28120,26801
9200000,2159,25940,21974,30839
9300000,2952,28952,31301,27637
9400000,4991,28054,26408,28700
9500000,2328,27667,29041,27198
9600000,6430,29634,21471,21945
9700000,3559,27261,27957,19677
9800000,4624,30093,19928,24175
9900000,2730,24798,21601,32703
10000000,450,17077,36115,16826
10100000,1921,21373,26567,26047
10200000,2702,27388,22182,28216
10300000,3139,24178,25114,28307
10400000,1639,15498,21144,31268
10500000,1178,18110,20696,19938
10600000,1598,24241,18266,19219
10700000,1883,23963,29974,22043
10800000,1977,24984,21817,18046
10900000,1365,20523,17533,23941
11000000,5871,26036,23943,27611
11100000,545,22819,22245,23805
11200000,3231,20144,16759,29792
11300000,5337,24141,20951,26875
11400000,2426,26203,22528,26077
11500000,4357,26310,26741,27578
11600000,558,28635,26926,23055
11700000,324,22595,26097,27253
11800000,162,29360,27391,32441
11900000,94,27655,24636,27731
12000000,81,24830,24745,27548
12100000,299,26971,23951,28556
12200000,604,26518,27460,26572
12300000,519,25337,18865,22102
12400000,16,24524,26038,24481
12500000,194,28688,29439,24208
12600000,1595,25529,25198,21384
12700000,1503,23730,24102,27906
12800000,1048,24079,23737,27253
12900000,1978,22214,22651,25396
13000000,103,22927,19668,22344
13100000,77,22423,26708,17112
13200000,297,18013,32799,19864
13300000,0,19640,20208,35939
13400000,2625,21840,21478,31630
13500000,2203,24814,24784,30057
13600000,985,23015,20499,27299
13700000,512,24223,22866,22332
13800000,2241,26659,23107,27387
13900000,1985,25009,22140,26623
14000000,817,18033,21563,16935
14100000,333,24595,24931,19014
14200000,1960,28210,24738,26083
14300000,329,25036,26679,27975
14400000,1800,26333,22226,29272
14500000,110,13803,15689,14591
14600000,1118,21892,26484,29084
14700000,7379,26378,22998,33419
14800000,9936,22686,29147,25507
14900000,5660,21523,26134,27991
15000000,7606,18214,21078,27984
15100000,7715,27619,22599,25749
15200000,7142,25305,25231,22722
15300000,4653,19607,24044,18465
15400000,6860,22077,17222,20562
15500000,3801,27741,17097,20789
15600000,2635,24130,23881,23616
15700000,2164,26096,26194,30021
15800000,5236,20557,22351,29084
15900000,5128,23833,22745,35787
16000000,3705,24039,30833,30955
16100000,3602,22677,25485,36550
16200000,1583,28011,26398,27052
16300000,2499,26697,28616,23518
16400000,4173,28657,22837,26363
16500000,587,21250,17594,27793
16600000,903,25293,25493,27992
16700000,2449,27645,24342,22521
16800000,992,21882,16572,20143
16900000,1952,25539,23981,23470
17000000,1419,22567,23782,29240
17100000,2121,23495,25987,25282
17200000,974,23960,27432,26735
17300000,4667,20874,19726,26995
17400000,219,22011,22457,28505
17500000,0,26387,26255,26267
17600000,520,28110,20607,24940
17700000,783,25264,19848,22269
17800000,1175,28115,23419,24939
17900000,374,23512,18532,20527
18000000,235,27341,22325,29107
18100000,911,26526,28926,27011
18200000,937,28436,25202,21092
18300000,444,24701,20048,21879
18400000,111,17880,21525,19747
18500000,341,18646,14396,24001
18600000,329,22347,21402,22702
18700000,200,25895,26216,22987
18800000,1082,22401,20797,19272
18900000,2138,19250,22388,31093
19000000,5582,21116,16776,29125
19100000,2903,10068,6074,5153
19200000,0,21958,11773,12748
19300000,602,18246,23133,29790
19400000,768,17693,12135,18851
19500000,0,7775,2662,3550
19600000,0,10162,8294,5296
19700000,0,13571,10641,9772
19800000,0,14837,19594,21111
19900000,465,15649,15545,28209
20000000,913,19709,18747,27852
20100000,1436,22095,23996,27394
20200000,4688,16822,22271,31374
20300000,2154,11916,20999,29685
20400000,3423,20358,24068,26614
20500000,2608,25614,26411,25749
20600000,2970,27928,20451,26682
20700000,3704,21670,22377,25642
20800000,2519,28219,23028,26651
20900000,1581,20730,24899,22367
21000000,2913,26562,22167,24732
21100000,5703,27476,27366,25949
21200000,1239,27712,30896,17369
21300000,1614,20566,26330,15641
21400000,3681,26125,28844,29289
21500000,3147,28351,22716,25391
21600000,897,26483,22386,24932
21700000,1277,20040,22073,26745
21800000,1710,23597,20948,24257
21900000,239,26664,26599,29855
22000000,1281,25471,23689,24191
22100000,1304,25108,24372,27222
22200000,1358,23815,22651,26745
22300000,1119,23504,26379,23212
