position,V0,V1,V2,V3
0,2382,7197,11151,11731
100000,4190,23286,27773,18374
200000,2511,28653,30249,20142
300000,2354,20967,25489,21580
400000,2016,22932,33901,21177
500000,5327,20747,27994,23826
600000,13680,25236,20903,25983
700000,20784,26344,18827,21543
800000,20174,25764,19584,24077
900000,22148,19356,17056,28255
1000000,13590,13548,20264,21283
1100000,10548,22106,26910,19954
1200000,4701,25994,37506,12672
1300000,4947,27712,41290,11689
1400000,9522,30214,25847,13760
1500000,752,23816,22142,32075
1600000,319,16686,15880,32188
1700000,0,12040,12161,47711
1800000,5561,19240,20270,35510
1900000,12297,16209,23506,32950
2000000,10027,13733,30540,29413
2100000,12446,16556,25754,33406
2200000,10748,17165,20228,37140
2300000,10883,23621,25650,26894
2400000,6926,26041,23649,27918
2500000,1798,22643,27865,32169
2600000,465,17381,24326,46144
2700000,2147,26464,30126,23883
2800000,2626,19370,27517,32675
2900000,2944,26439,27928,26333
3000000,2330,33253,30417,19926
3100000,4840,28581,27178,27568
3200000,3060,26343,22548,33987
3300000,5854,33500,26352,25927
3400000,13326,20941,29292,25920
3500000,10247,21590,22945,34016
3600000,8566,26197,25372,30228
3700000,10751,28747,23061,26505
3800000,8646,25674,20548,30840
3900000,12001,22398,29480,22596
4000000,4416,23251,31135,28892
4100000,6782,25469,30759,27075
4200000,6295,31275,29161,23912
4300000,6941,24963,32420,26054
4400000,7514,29056,26491,25142
4500000,10940,21852,28376,28952
4600000,4854,29260,22557,31622
4700000,4352,30126,27566,30396
4800000,1673,27202,31573,27588
4900000,3009,29320,32937,24713
5000000,4534,27180,26034,28647
5100000,18097,17797,23264,22923
5200000,25658,23606,16238,25301
5300000,20444,31654,18896,24219
5400000,5703,30537,28179,30251
5500000,3448,25665,29815,29964
5600000,2415,27703,30010,19022
5700000,4180,16192,40144,27099
5800000,1285,22730,28469,23212
5900000,461,21465,29199,24071
6000000,0,6110,1948,21563
6100000,897,32994,20711,20392
6200000,4091,38936,23927,19616
6300000,5244,27644,26745,24139
6400000,2969,28937,31365,24526
6500000,5017,19205,26285,35969
6600000,3299,25541,24347,30360
6700000,2901,32620,22576,31922
6800000,1694,16981,30947,35429
