position,V0,V1,V2,V3
0,323,12537,9469,9051
100000,446,14150,13655,7998
200000,0,11338,15953,9571
300000,1146,16675,17609,16854
400000,983,8146,14637,9336
500000,0,6718,8767,10801
600000,0,11506,22660,14560
700000,365,25310,23692,17377
800000,1792,15124,33986,18348
900000,4693,18459,18168,22081
1000000,1271,24234,14334,35166
1100000,634,16777,10741,30910
1200000,8639,5789,3688,14308
1300000,1242,3726,3764,15049
1400000,2531,1305,402,3243
1500000,10388,6273,8949,18265
1600000,14022,5679,7550,14817
1700000,8777,9031,14259,14902
1800000,797,3087,7859,5636
2000000,0,39,1100,615
2100000,755,8280,4253,3748
2200000,0,0,190,1007
2300000,0,2914,3989,3575
2400000,0,1543,0,0
2500000,0,3833,2573,1732
2700000,2710,118,0,161
2800000,368,586,255,393
2900000,0,265,164,1068
3000000,0,771,2376,3582
3300000,0,123,5088,715
3400000,58,1284,779,2612
3500000,0,1424,1276,745
3600000,0,745,1877,1940
4100000,0,1137,0,728
4300000,0,1563,0,2
4400000,0,320,542,1025
4500000,136,294,2143,2482
4700000,0,196,114,343
4900000,0,729,350,190
5000000,0,618,1771,5032
5100000,0,3173,14,1321
5800000,280,4187,2150,3350
6200000,0,0,610,1347
6300000,0,3163,3065,3043
6400000,0,5190,2351,3398
6500000,0,436,567,2773
6600000,0,1780,2386,627
6700000,0,427,279,1044
6900000,0,376,568,1970
7200000,0,2980,2759,2859
7300000,432,3538,4849,920
7400000,1005,0,1258,0
7500000,4557,0,650,536
7700000,0,691,81,2688
8200000,0,0,0,354
8300000,0,0,0,384
8800000,0,3378,1518,5139
8900000,0,954,208,1772
9000000,530,1284,8258,6496
9300000,151,647,2515,4435
9400000,0,556,0,1146
9500000,709,0,237,1017
9600000,1997,5472,4643,8455
10400000,0,700,2620,1746
10600000,0,4120,15,568
10700000,0,366,83,1988
11100000,998,1724,2815,2005
11200000,273,4057,7703,10689
11300000,2689,4423,6519,9207
11500000,0,2616,2628,5396
11600000,0,583,2025,4196
11800000,0,2105,859,5538
11900000,0,3433,3858,10074
12000000,2561,3310,6832,13747
12100000,0,3773,4288,6358
12200000,27,2534,3639,7197
12300000,0,0,805,0
12400000,81,322,311,2577
12600000,1199,0,222,0
12700000,172,1368,2678,2279
12800000,220,160,518,868
13000000,0,1760,577,3742
13200000,0,894,626,3128
13400000,0,567,126,1215
13500000,161,2442,1703,5257
13700000,0,0,491,787
14200000,0,628,1175,3439
14300000,0,449,0,1304
14600000,0,13986,9763,16977
14700000,122,2991,3071,12669
15300000,0,444,1529,992
15500000,0,1776,118,1562
15600000,78,3087,3097,14408
15700000,0,601,1402,7863
15900000,0,1136,4469,11535
16000000,0,4372,1939,12996
16100000,0,1837,676,3660
16300000,0,32,847,0
16500000,0,4378,4274,5891
16600000,279,3105,1203,6411
16900000,0,340,573,6160
17300000,5574,3918,2379,9001
18100000,0,128,1338,2759
18300000,10,1273,2607,5560
18500000,0,1597,545,961
18700000,0,1160,1336,4833
18800000,0,458,1541,658
18900000,0,886,404,2636
19000000,3783,2928,2466,6686
19300000,29,1782,1749,6066
19600000,0,291,1305,1956
19900000,0,242,396,2048
20000000,0,1034,387,1816
20100000,0,0,94,2783
20200000,0,4103,4449,17707
20300000,0,1103,4638,9456
20400000,305,8097,4345,7186
20600000,1087,6639,2959,4968
20700000,3023,1786,4388,6254
21100000,0,490,797,980
21400000,1100,138,160,576
21500000,1345,777,2181,4039
21800000,0,1011,858,687
21900000,440,537,192,0
22000000,0,1646,2856,2844
22100000,1250,282,137,2206
22200000,172,1516,493,23
22300000,523,858,46,1390
22500000,0,3756,1456,5072
22600000,0,1490,3971,8708
22700000,1737,2060,3162,3095
22900000,880,945,1784,3363
23000000,0,1807,373,1457
23100000,0,628,106,206
23200000,0,0,1130,121
23500000,0,1208,1588,406
23600000,0,1318,2872,1714
23700000,0,493,4253,554
23800000,1742,1242,2537,2217
23900000,285,300,0,2121
24000000,0,1067,874,833
24500000,0,485,3053,4253
24600000,0,558,500,652
24700000,0,4001,3950,19635
24800000,4309,13931,9149,13267
24900000,2402,2068,5939,6809
25000000,0,972,0,2818
25100000,3863,38,143,1774
25200000,457,950,0,239
25400000,0,0,72,689
25500000,0,0,179,1703
26100000,0,95,0,1008
26200000,0,622,564,12960
26500000,3814,5933,9206,8787
26600000,302,1127,531,4003
26800000,0,203,2624,1915
27300000,0,208,565,8619
27500000,0,420,0,657
27600000,0,564,0,314
27700000,0,2724,944,2674
27800000,0,2567,1544,14056
28000000,324,5508,4487,3597
28100000,287,1573,2051,4098
28200000,0,615,253,819
28600000,0,1201,1679,1300
28800000,0,76,130,1664
28900000,0,1955,2196,1933
29000000,0,125,1173,1982
29100000,0,842,1658,2244
29200000,0,723,135,669
29300000,0,1111,252,184
29500000,0,1830,449,0
29600000,849,8164,4011,4311
29700000,536,5040,7152,4260
29800000,295,457,232,203
29900000,0,1822,1094,1675
30000000,0,2160,162,614
30100000,0,2964,2580,1591
30300000,912,0,681,0
30500000,0,2072,2587,992
30800000,578,191,0,753
31000000,869,320,35,382
31400000,1091,0,61,263
31700000,0,0,745,0
31800000,1055,691,847,1296
31900000,345,595,4076,2166
32000000,0,0,1059,1713
32100000,0,0,883,669
32500000,0,979,158,1154
33000000,0,1088,479,850
33100000,0,0,837,873
33500000,0,1948,1863,258
33600000,0,605,907,1391
33900000,616,0,1724,77
34000000,282,0,499,794
34100000,0,2291,1624,3187
34200000,0,1433,643,833
34300000,0,824,362,72
34800000,0,227,246,1097
35100000,0,1929,1189,820
35200000,0,205,1525,184
35400000,0,169,1295,604
